Other,English
puli-pom,a back body part
ko-min,a certain quantity
"miš, mišk-",a curved body part
"lep, lúp",a felled tree
"mir-pon, mol, nur-mir, nur-mol, pelij, pelis",a k. of berry
turi-mol,a k. of berry (1)
"chakchej, colca, covca, gada, tovta",a k. of bird
"chikchi, suz, zus, zuz",a k. of bird of prey
"laz, lazj-",a k. of brew
"šobdi, šogdi, šu.gdi",a k. of cereal
"miž, miža",a k. of disease
"sul-cež, sul-cëž, sulka, sult-cež, ves, vez",a k. of duck
"nil, niv, nøl",a k. of fir-tree
"gic, ke.lci, kelci, mik, sin",a k. of fish
kolas,a k. of fish trap
nach,a k. of grass
nora vije,a k. of illness
ocher,a k. of insect
ez-is,a k. of metal
"žež-i.v, žož, žož-ul, žuž",a k. of pallet
"zer, zür",a k. of plant
uj,a k. of salmon
"šid, šød",a k. of thin meal
sir-pu,a k. of tree
kom,a k. of trout
"doz, duz",a k. of vessel
lanes,a k. of vessel made of birch
"gorda, kereg",a k. of wild duck
bad,a k. of willow
"kir, kir, sed-kir",a k. of woodpecker
"vel, vev, vól",a large animal
kejnes,a round vessel
"žiž, žïž",a small bird
gurina,a small fish
"nom, nom-, nomj-, num",a small fly
kosis,a water bird
kechcheb,across
"sinad, sined, sined, sinëd, sinëd, sinöd",air
"lol-pu, lom-pu, lopu, vov-pu",alder
bid,all
važ,alt
"komij, ku.mic",an onion-like plant
"da, i",and
"andel, idög",angel
"pemös, poda",animal
si,annual ring
"kodzivkot, kojul, kójul, kojul-kot, kožul-kot",ant
kejiv,ant (1)
"iablöis, ulmö",apple
"ki, soi",arm
"konuvt, konvos, kumlés, kunles, kunul",armpit
"n'öv, nev, nil, núl",arrow
"kin', pöim",ash
"pejim, po.im",ashes
pi-pu,asp
ar,autumn
cher,axe
"dod-vož, ož, vož",axle
mak,back
"tiš, tišk-, tøš",back side of a knife
lök,bad
kuš,bald
"keja, kirs, kor, ku",bark
"chuž, chužj-, cuž, cuž-, cužj-, id",barley
kuda,basket
kaj,bast
"sod-, su.d-",be born
"ped-, pud-",be suffocated
oš,bear
toš,beard
moj,beaver
"vel-, vev-, vo.l-",become
krövat,bed
"maliamuch, maliazi, mazi, moš, muš",bee
sur,beer
kaj,behind
"kine.m, kinem, kot-ku",belly
"siger, sigër",bend
"kichil, kichol",bent
"oz, pul, uz",berry
vož,bifurcation
"idjid, idžid, un-aj, una, una.",big
toj,birch bark
"kij, køj",birch tree
"kai, lebach, pötka",bird
"lem, lemj-",birdcherry
"kuj, kurid, kurit, kurø.t, vel-k.-turun",bitter
"s'öd, sim, sim-",black
"cukci, tar",black-cock
"neš, nešk-",blackjack
"gird, vip, vir",blood
löz,blue
"niž, nøž",blunt
"pel, pelj-, pev, pevj-, pul",board
piž,boat
"mig, migör, tucha, vivtir",body
pu- puv-,boil
"li, lø, ly",bone
"kniga, nebög",book
burna,box
"pi, pia.n",boy
"vem, vim",brain
"vos, vosk-",branch
"keriš, kó.riš, nian'",bread
"këd, keld",bread insipid
"pi, pij",breast
pos,bridge
"su, zu",bristle
šor,brook
vok,brother
perkal',brown
"eš, ešk-, eška, o.ška, öch",bull
nop,burden
öl,butter
bobuv,butterfly
"cer, ceres, cúrös",calf of leg
"nu-, vaj-",carry
lu,carving
"guran, lažgedci-, lažmid",cavity
"nur, nurj-",cereal
voj-,chase
seski-,chew
an,chin
"ca.pki-, capki-, o.kti-, okti-, oktï-",chop
"kich, kor",circle
"soj, suj, sun, sun-soj",clay
"pelk, sej, só.j-, soj sež-",clean
"ob, ob-",closed
"dera, derem, dóra",cloth
"kime.r, kimed-, kimer, pil, piv",cloud
"kin, køn",cold
"rem, remid, róm",colour
jort,comrade
"po.žøm, požem, poži.m, požu.m",conifer
"pež-, pú.ž-",cook
irgen,copper
ped-,cover
"turi, turi.",crane
šor,creek
kusk,cross
"tik, tikj-",cross-beam
"juk, jukert-",crowd
"komel, komil",crust
"se.tør, sete.r, seter",currant
"nuk, nukis",curved
"letsan-vuž, vuž",curved wood
"vundi'-, vundi-",cut
"jor-, jor-kiv, jord-",damn
"pemid, pemit, pi.møt",dark
sasti-,darken
"nil, niv, nøl",daughter
"mon, mun",daughter-in-law
lun,day
"jir, jør",deep place in water
top,dense
"puž, pužim, pužma.l-",dew
mudji-,dig
ses,dirty
tokti,diver
"šer-, šir-, šo.røt-, šør-",divide
"pon, pun",dog
"ez-es, ib-es, úz-øs",door
"on, onm-, un",dream
cib,drinking vessel made of birch
"kes, kos, kos, kos, kos, kós, kosmi-, kosmï-, kus, surem, surmem, surø.m",dry
šeg,dry branch
niž,dull
kuch,eagle
pel,ear
"oz, uz, voz",early
mu,earth
"berd, dor",edge
pichin,edge of shoe
kekjamys,eight
"gir, girja, girja., pije.s, pijes, pijø.s, pižes",elbow
gøriža.,elbow (1)
"žo-pu, žu",elder
ob,elder female relative
kir,elevation
"vijes, vijna, vijt, vijta, vijtas",end
"din, dïn",end of trunk
chup-,engrave
volk,even
kul,evil spirit
"ile, ilin, ive, ivi.n, øla., øla.n, ølø., ølø.n",external
"sin, sinm-",eye
vojir,fang
murka,farrow
"sil, vi, vij",fat
"ai, aj",father
"sil, siv",fathom
"mod, mojd-kil",feel
nin,female
vož,fence
"etcha, ic-mo.n",few
"kvajti-min, kvati-min",fifty
durski-,fight
"ter-, tor-",find place
kid,fine snow
"cun, cún",finger knuckle
"kez, koz, kuz",fir
"pomol, ponel, ponu.l",fir tree
"bi, bia, bija, til-kert, tila",fire
šel,fish gills
"sem, sum",fish scales
mižik,fist
vit,five
"len, li.cøt, lic, licid, licit, lonid, lun-, ven",flabby
"imirt-, imral-, lum",flame
"ord-l'i, ord-li, ord-vi",flank
"pan-lop, pelis-lop, pevis-vop",flat
jaj,flesh
"bi-pur, pes-pur, pur",float
"pid, pød, sod",floor
liškid,floppy
