Other,English
"공, 영 [零], 제로",0
"하나, 한",1 [pure Korean]
일,1 [Sino-Korean]
열,10 [pure Korean]
십,10 [Sino-Korean]
백,100
만,10000
억,100000000
둘,2 [pure Korean]
이,2 [Sino-Korean]
스물,20 [pure Korean]
이십일 세기,21st century
셋,3 [pure Korean]
삼,3 [Sino-Korean]
서른,30 [pure Korean]
넷,4 [pure Korean]
사,4 [Sino-Korean]
마흔,40 [pure Korean]
다섯,5 [pure Korean]
오,5 [Sino-Korean]
쉰,50 [pure Korean]
여섯,6 [pure Korean]
육,6 [Sino-Korean]
예순,60 [pure Korean]
일곱,7 [pure Korean]
칠,7 [Sino-Korean]
일흔,70 [pure Korean]
여덟,8 [pure Korean]
팔,8 [Sino-Korean]
여든,80 [pure Korean]
아홉,9 [pure Korean]
구,9 [Sino-Korean]
아흔,90 [pure Korean]
한,a
오전,a.m.
하나,a; an
땅돼지,aardvark
땅늑대,aardwolf
주판,abacus
버리다,abandon [v]
"단축하다, 생략 하다",abbreviate
"복, 복강",abdomen
"기운 있는, 능란한, 할수 있는",able [a]
변태의,abnormal
낙태,abortion
한,about
쯤,about [time]
언제 쯤,about when
위,above
단축하다,abridge
"외국, 해외",abroad
농양,abscess
"결석, 부재",absence
무제한언,absolute
"완전히, 절대로",absolutely
허튼소리,absurd remark
아부다비,Abu Dhabi
교류,AC
"학계, 학구적인 세계",academia
"대학의, 학원의",academic [a]
"대학교수, 대학생, 학구적인 사람",academic [n]
반주 없게,acappella
가속도 [加速度],acceleration [degree of]
"가속 페달, 악세레터",accelerator
"받아요, 수락하다",accept
수락,acceptance
서고,accident
사고,accident [traffic]
응급실,accident and emergency
속소,accommodation
아코디언,accordion
계좌,account [bank]
때문에,account [on account of]
아파요,ache
아킬레스건,Achilles tendon
시다,acid
산성증,acidosis
승인하다,acknowledge
인정하다,acknowledge [v]
"도토리, 에이콘",acorn
곡예사,acrobat
"건너편에, 맞은편",across
콧대를 세우다,act arrogantly
까불다,act in a silly manner
코가 높다,act proudly
활용적이다,active
배우,actor
영화배우,actor [film]
"배우, 여우",actress
지압,acupressure
영구히,ad infinitum
익숙해지다,adapt [v]
어댑터,adapter [electrical]
가 [加],add [H]
중독,addiction [n]
"첨가 [減加], 추가 [追加]",adding [n]
아디스 아바바,Addis Ababa
"첨가 [減加], 추가 [追加]",addition [n]
주소,address [n]
충분한,adequate
붙어있다,adhere
형용사,adjective [n]
행정관,administrator [n]
감탄,admiration
존경 하다,admire [v]
입장료,admission fee
인정하다,admit [v]
채택한 위하여,adopt
입양아,adoptee
양부,adoptive father
"대인, 어른",adult
"대인, 성인, 어른",adult [n]
간통,adultery
미리,advance
선불,advance payment
모험,adventure
부사,adverb
"광고, 선전",advertisement
조언하다,advise [v]
까뀌,adze [cutting tool]
팥,adzuki bean
비행기,aeroplane
미학,aesthetics
아프가니스탄,Afghanistan
아프리카,Africa
아프리카어,Afrikaans
"다음, 후, 후에",after
해거름 다음에,after dark
오후,afternoon
"뒤에, 후에",afterwards
"다시, 또",again
다시 말하다,again [say again]
"대, 반대",against
걸리다,against [be against]
"나이, 세",age
연세,age [honorific]
나이,age [person's]
시대,age [time]
안건,agenda [meeting]
전에,ago
"기분좋은, 상쾌한",agreeable
합의,agreement
아,ah [interjection]
도움,aid [charity]
에이즈,AIDS
공기,air
스튜어디스,air hostess
공기 오염,air pollution
에어컨,air-conditioning
비행기,aircraft
"항공모함, 항모",aircraft carrier
항공사,airline
비행기표,airline ticket
항공우편,airmail
비행기,airplane
공항,airport
공항버스,airport bus
알카에다,al Qaeda
비상벨,alarm [bank; shop]
알랍콜,alarm call
"알람, 자면종, 자명종",alarm clock
알래스카,Alaska
알바니아,Albania
신천에다,albatross
"연금사, 연금술사",alchemist
연금술,alchemy
알콜,alcohol
애주가 [愛酒家],alcohol lover
에일,ale
가명 [假名],alias
알리바이,alibi
타국,alien land
살아 있다 (살아 있어요),alive [be alive]
"다, 모두",all
하루종일,all day
여러가지,all kinds of
만사,all matters
흙투성이,all muddy
전부,all of it
