Other,English
(a)-kyle-(n),be knowledgeable
"(a)-kyle-(n), etA, etuh",to know
"(ing)-e, A, inge",this
"(my)sAngsAng, AngsAng, mysAngsAng, ngok",to sniff
"-En, ing-En, ingacn, ngoh, oh, soh",that
"-pEt, a-pEt, apact",ash
Aok,Yes
Eke wo,Good evening
Fong wo,Good night
Inek pa,My name is
Ke kulang,You're welcome
Kulo,Thank you
Len wo,Good afternoon
Lotu wo,good morning
Mo,No
Muta,Goodbye
Su inem an?,What is your name?
"ac, mA",and
"acn, En, muhtwacn",woman
acni,to spit
"acs, Es, esyE-(l)",liver
acsracsr,to flow
af,rain
ahtro,egg
"angwe, fæ-k, fahk",to say
"apil, ik",fish
"atäk, atuck, mas",painful
"awi, ayA, kapihr, pip",to tie up
e,fire
e,name
"e, me-E, meac",what?
"efef, fuon, mwekihn",shy
"eis, moli",to buy
el,he
el,she
"el, som",to walk
"el, tahpuhl",to turn
"el-, el-tæl, eltahl",they
"em-(syE), emsyac",mosquito
"eng, engyeng",wind
"fAlA-ng, falfal, fihlihk",to split
fac-,above
fact,fat
"fahluhki, fan",to climb
"fahrfahr, sruh",to hold
fahsuc,thatch
"faht, fiti",to swell
fakfuhk,to stab
fasrfasr,white
fin pihsac,shoulder
"fin tohkoh, fin tuku-n, tok, toko(l), tuku(n)",back
"fin, fuhnuh",if
fohk,intestines
fohkfohk,dirty
"fohng, fong",night
folfol sra,green
fototo,short
fuhkah,how?
fuhsr fuhsr,warm
"fulok, isihk",to burn
"fwac, fwE",nose
"fær, tuhkuh",to come
"i-, ke",at
"ikoac, ikoE-(n)",meat
"ikor, top",to fall
ikuhs,to open
"ikwi, yok, yuki, yuki",to plant
"ikwik, puhla",tail
in-kwacwac,neck
"in-sifac, olo-(l), ulu-(n)",head
"in-sifac, une-(n)",hair
in-siyac,belly
infohk,earth
innek,road
insack,woods
"insrwac, srwac",ear
isacs,to squeeze
"isracsr, ngis, ngisngis",to laugh
"itih, ity",star
"iwE-, lohm, yuwac, yuwE-",house
"kAlkAl, kilA-ng, kuhlkuhl, puhk",to dig
"kahl, pAsr, pisrapasr, puhsr, pysre",to steal
"kakA, kawi, kawi, rahfuhs, rahfuhsi",to scratch
"kalti, kuhluhk, osrak, osrwosr",to throw
"kang, kihmihs, mongo",to eat
"kang, mongo",to suck
kangkuh,wife
kap,to grow
"kihsrihk, kisrik",rat
"kitacl, kuht",we
"kof, sr'no-, sroano",water
kofkof,to swim
"kohl, mwesr",rotten
kohsroh,sharp
"kolai, woht, wot",to vomit
"kolo, kolo-(l), kulu-(k), kulu-n",skin
kom,thou
"kom, komtacl",you
kuhlahsr,smoke
kut,louse
"kwewa, nuhkwewa",all
"lAlæp, yohk",big
lacsac,left
lacyot,right
lihkacski,to shoot
"lo, loh, lohoh, loo-(l)",tongue
"lo-, lu-, luo",two
"loac, loE, lu-(n)",in
loes,long
"lohng, long",to hear
lucng läng,sky
lwen,day
"læ, lah, lwe",branch
"læ, lwe, sahk",stick
"m'et, mwet",person
"mA, motko, muh",to think
"mA, muh",to yawn
"mAta (in aset), mAta (lyplyp), pihtuhk",to sit
"mAta-, muhta",eye
mah,grass
mahtuh,old
"me-oa, meoha",sea
"mihnini, muhs",thin
"mihsrihsr, mysrysr, ou, oyou",cold
"misac, misE, mwet",to die
"mo-tok, sahngweng",to fear
"moh, sA-, se-",no
moul,to live
muh,to see
"mukul, wen",man
mutul,to sleep
mwemwe,to drem
"mæ-lwem, mahlwem",moon
"mæ-tol, mahtol",thick
nahsuhk,bad
nga,I
"ngac, ngE",when?
ngalnguhl,to bite
ngosr,to breathe
"nihm, ny-m, nymnym",to drink
"ninac, ninE, nnæ",mother
ninuhl,needle
"niyac, niyé-(l), niye-(n)",leg
"nætA-(l), tAlik, tuhlihk",child
"o-yE, piyac, yE",where?
"oacoac, oe-k, oek, oEoE",to count
"oal, oali-(k)",mouth
ohk,fog
ohsrihksrihk,narrow
okah okæ ukuk,root
"on-(kiyAki), ona",to lie down
"pAlæl, puhlahl",thunder
paho,dry
paho,wing
"pahpah, tAmwE-(l), tuhma",father
"paki, tæt, twe, uti",to cut
"pohel, poheli",to cook
puhk,sand
puhkuhn yeng,cloud
pwacye,correct
pwepwenu,spider
"pæo-(l), paho, po",hand
"pæpæ, uk, ukuk",to blow
rangrang,yellow
sahfiht,dull
sahrom,lightning
sasuh,new
"se, sie, soko, sra",one
sohk,to fly
sohl,salt
sra,leaf
"sra-(læp), sralahp",wide
sri,bone
srihk sryk srysryk,small
"sroalsroal, srulsrul",black
sruhsrah,red
"sræ, srah",blood
"suhsahk, tuk, tukutuk",to hit
sule,to choose
"sä, suc",who?
"säl, sucl",rope
"tA, tAta, tuh, tuhta",to sew
"titi, titi-(n), twetwe-(l)",breast
toasr,heavy
"tol, tol-(u), tolu",three
tu,to stand
tuhmwac,husband
tuhng tAng,to cry
"tuhram, won",bird
"tuk, tuk-tuk, tuktuk",to pound
twe kof,wet
"unac, une-(n)",feather
uni,to kill
wet,worm
"wi, wiwi",to chew
wihk,to hide
wihs,tooth
wo,good
yac,year
ye,below
yosep,flower
yot,stone
yuru-(n),near
"æng, ahng, yoko",four
