Other,English
# Licence,# GNU Public Licence (GPL)
# Maintainer,# Erdal Ronahî
# Project homepage,# www.linux-ku.com/ferheng
(muz) a (not),A
a (li fêrgehan baştirîn pile),A
a/ê wî,his
abone,subscriber
abor,sustenance
abor,livelihood
aborî,economy
aborî,economically
aborî,economic
aborînas,economist
aca diran,dentine
acûr,russian cucumber
adan,fecund
adan,food
adan,fertile
adan,fruitful
adet,number
adinê rojê,the next day
adinê rojê,the day after
afirandin,create
agahdarî,information
agahî,data
agahî,information
agir,fire
agir,fever
agirê pûş,quick passing flame or passion
agirê qoçan,slow burning fire
agirê qoçan,lasting passion
agirkûjîn,fire department
agirsongî,fire department
ajans,agency
ajda,sprout
ajnekirin,float
ajo,motive
ajotin,drive
akêr,load fixing bars
akêra sinriyê,axle holding pins
aktrîs,actress
al,standard
al,banner
al,flag
ala,flag
ala,standard
alale,tulip
alan,echo
alan dan,resound
alan dan,echo
alandin,tie
alandin,tangle
alastin,lick
alatên çandiniyê,tools
alatên çandiniyê,agricultural instruments
alaşkirin,covering of the joists
alav,agricultural instruments
alav,tool
alav,apparatus
alav,tools
alav,instrument
alav,implement
alayî,regiment
alfabe,alphabet
alî,direction
alî,sides
alî,side
alî,course
alifê vala,woman after the menopause
alifê vala,familiy without a head
alîgir,supporter
alîkar,aide
alîkarî,help
alîsor,pear
alos,tangle
alos,tie
aloz,haywire
aloz,broken
alozî,chaos
alûçe,sloe
amade,ready
amajekirin,explain
amajekirin,state
aman,pot
aman,pots and pans
amanc,purpose
amanc,aim
amanc,goal
amanc,target
amûr,apparatus
amûr,tool
amûret,tools
amûret,agricultural instruments
an,either
an,or
ananas,pineapple
anîn,bring
anîn,get
anîneve,to take back
anîneve,to bring back
anînve,to take back
anînve,to bring back
anîs,anise
anix,anise
ap,uncle
apandîs,appendix
apore,shocked
apore,astounded
apore,appaled
apore,stunned
aqar,area
aqil,brain
aqil,wit
aqil,apprehension
aqilmend,clever
aqilmend,intelligent
aqilmend,shrewd
aqilmend,sagacious
aqilmend,sage
ar,fire
aram,unruffled
aram,silent
aram,tranquil
aram,quiescent
aram,calm
aram,halcyon
aram,still
aram,quiet
aram,stilly
aram,easeful
aramdar,sedative
aramî,quiet
aramî,silence
aramî,peace
aramî,sereneness
ard,flour
argûn,stove
arî,cinder
arîkar,aide
arîkarî,aid
arîse,problem
arîse,issue
armanc,object
armanc,aim
armanc,purpose
armanc,target
armanc,goal
armanc,destination
armanc,end
arvan,flour
asan,simple
asan,facile
asan,plain
asayî,normal
asê,steep
asêkirin,shut
asêkirin,lock
asîman,heaven
asîman,sky
aso,horizon
ast,level
asteng,difficulty
asûde,quiet
asûde,unruffled
asûde,halcyon
asûde,still
asûde,tranquil
asûde,calm
asûde,stilly
asûde,quiescent
asûde,easeful
asûde,silent
aş,food
aştî,peace
aştixwaz,peace seeker
av,water
avahî,edifice
avahî,establishment
avakar,establish
avakirin,construct
avakirin,plant
avakirin,build
avakirin,institute
avakirin,found
avakirin,establish
avdan,water
avdestxane,toilet
avêtin,pitch
avêtin,toss
avêtin,fling
avêtin,dash
avêtin,throw
avêtin,chuck
avîje,clean
avîje,cleanly
avis,pregnant
avisbûn,pregnancy
avjen,swimmer
avjenîkirin,swimming
avjenîkirin,float
avket,waterfall
avrêj,toilet
awa,method
awa,style
awa,way
awa,tune
awarte,exceptional
awarte,exception
awat,desire
awat,hope
awat,wish
awaz,tune
awaz,melody
awêne,glass
awêne,evident
awêne,mirror
awêne,reflector
ax,land
ax,soil
ax,ground
axaftin,talk
axaftin,conversation
ayende,futurity
ayende,future
aza,free
aza,gamy
aza,independent
aza,bold
azad,free
azad,independent
azadî,freedom
azadî,liberty
azadîxwaz,freedom seeker
azeb,single
azîne,method
ba,wind
ba,rheumatism
babet,description
babet,kind
babet,topic
babet,suitable
babet,sort
babet,type
babet,subject
babet,issue
babet,theme
babet,breed
babidest,bankrupt
bablîsok,tornado
bac,tax
bac,duty
bafirok,kite
bahane,cover
bahor,cold
bajar,city
bajar,town
bajarî,urban
bajarokt,town
bajen,fan
bakur,northern
bakur,north
bal,concern
bal,focus
bal,attention
bal,interest
baldar,careful
baldar,chary
bale,ballet
balexane,skyscraper
balinde,eagle
balkeş,attractive
balyoz,ambassador
balyozxane,embassy
ban,housetop
ban,roof
bandor,effect
bandor,action
bandor,influence
bandor,force
bandor,impression
bandorlêkirin,affect
bane,grassland
bane,plateau
bang,call
bang dike,calls
bang kirin,scream
bank,bank
bapîr,gaffer
bapîr,ancestor
bar,responsibility
baran,rain
barandîn,raining
baranî,rainy
bare,topic
bare,issue
bare,theme
bare,subject
baregeh,camp
barîdox,status
barîdox,condition
barîdox,state
barîdox,situation
barîdox,posture
barîdox,position
barkirin,load
barkirin,charge
basark,airconditioner
bask,wing
bask,arm
bask,department
baş,right
baş,fair
baş,fine
baş,good
baş,okay
baş,well
bav,father
bav,sire
bawerî,belief
bawerî,faith
bawerî,believe
bawerî,credence
bawerîpêanîn,believe
bawerkirin,believe
baweşîn,fan
baweşînk,fan
baz,race
bazarî,deal
bazdan,run
bazdan,run away
bazin,bracelet
bazirgan,trader
bazirgan,merchant
bazirganî,commerce
bazirganî,trade
bê,without
bêbav,orphan
bêbingeh,baseless
bêcan,dead
bed,ugly
bed,evil
bed,nasty
bed,wicked
bed,sinister
bed,ill
bêdawî,perpetual
bêdawî,infinite
bêdawî,everlasting
bêdawî,endless
bedbext,unhappy
bedbext,hapless
bedbext,unlucky
bedbext,miserable
bedbext,bad omen
bedbîn,pessimistic
beden,body
bêdeng,quiet
bêdengî,silence
bedew,pretty
bedew,fine
bedew,lovely
bedew,goodly
bedew,beautiful
bedew,beauteous
bedew,fair
bedewî,pulchritude
bedewî,beauty
bêdil,heartless
bêguman,no doubt
bêguman,doubtless
bêguman,surely
behane,cover
behicandin,irritate
behîv,almond
bêhn,odor
bêhn,breath
bêhn,smell
behr,sea
behreme,drill
behreme,borer
behreme,wimble
behreme,auger
behremendî,talent
behremendî,flair
bêje,word
