Other,English
dirigo,"""send out"" a letter or ambassador"
super (prep.),(+ abl.)
"sileo, somnio",(+ acc.)
"blandior, infundo infudi infusum, obviam",(+ dat.)
patiens,(+ gen.)
adstringo (persons),(+ refl.)
palam,(+abl.)
erubesco (+ inf.),(+acc.)
sicut,(+verb in subj.)
"aliquis, ante (prep. + acc.), vel, videlicet",(adv.)
per (+ acc.),(cause)
"corrumpo (documents), fervens",(character)
ut (+ subj.),(command)
culpa,(esp. aginst chastity)
improviso,(ex improviso)
obvius,(in dat.)
pignus,(in pl.)
contingo,(intransitive)
videlicet (adv.),(ironically)
cubile,(marriage bed)
per (+ acc.),(means/instrument)
"vicinus, villa",(med.)
decoquo,(metals)
expeditus,(mil.)
"erumpo, pono posui positum",(milit.)
corripio,(of a disease)
reconcilio,(of persons)
lambo,(of rivers)
per (+ acc.),(of space)
"per (+ acc.), porro",(of time)
sono,(of words)
delecto,(pass + abl)
laboriosus,(persons)
ex (= e ),(prep. + abl.)
distraho (persons),(property)
ut (+ subj.),(purpose)
ut (+ subj.),(result)
redeo,(revenue)
subluo,(rivers)
infirmus,(sometimes)
qua (fem. sing. abl.),(the abbess)
cuius (neut. sing. gen),(the building)
quam (fem. sing. acc.),(the church)
quo (neut. sing. abl.),(the eagerness)
quem (masc. sing. acc.),(the man)
quae que (fem. sing. nom.),(the milkmaid)
quo (masc. sing. abl.),(the money)
cui (neut. sing. dat.),(the monster)
qui (masc. neut. nom.),(the prince)
cuius (fem. sing. gen.),(the queen)
cuius (masc. sing. gen.),(the saint)
quod (neut. sing. acc.),(the sea)
quod (neut. sing. nom.),(the war)
accedo,(things)
"duco, infra (+ acc.), inibi, iuxta (+ acc.)",(time)
lamentor,(trans.)
concido,(wind)
ingredior,(with inf.)
quin,(with verbs of hindering
lugeo,)
statutum tempus,* appointed
adpropinquo,* draw near
gaudium,* joy
princeps,* leader
plecto aliquem capite,* suffer capital punishment
solio,? Herimann
cassus,[+ abl.] deuoid of
securus,[+ abl.] free from
compono,[+ abl.] settle
