Other,English
Auns,Aries (zodiac)
Baltais Nams,White House
Baltā Jūra,White Sea
Ceturtdiena,Thursday
Decembris,December
Dieva dēls,God's son
Dieva gars,God's spirit
Dievs ar mums,God with us
Jaunava,Virgo (zodiac)
Jaungads,New Year
Jaunā Derība,New Testament
Latvietis,Latvian
Piena Ceļš,Milky Way
Pirmdiena,Monday
Sarkanais Krusts,Red Cross
Svētais Gars,Holy Ghost
Svētdiena,Sunday
Uzvaras diena,V-Day
Vecā Derība,Old Testament
Vērsis,Taurus (zodiac)
Vēzis,Cancer (zodiac)
abats,abbot
abi,both
aci pret aci zobu pret zobu,eye for eye tooth for tooth
acs,eye
adata,needle
agrs,early
airis,oar
aita,sheep
akli,blindly
akls,blind (adj)
aklums,blindness
akmens,stone
akmņains,stony
aknas,liver
alga,salary
alksnis,alder
alnis,elk
alus,ale
anāls,anal
apinis,hop
aprīlis,April
apse,aspen
ar,with
arams,arable (adj)
arkls,plough (subst)
art,plough (verb)
arājs,ploughman
arī,also
asaka,fishbone
asara,tear (eyes)
asaris,perch
asinis,blood
ass,axis
ass nazis,keen knife
atraitne,widow
atraitnis,widower
audi,weft (subst)
audējs,weaver
audžudēls,son adoptive
auglība,fecundity
auglīgs,"fecund, fruitful"
augošs mēness,waxing moon
augs,herb
augsts,high
augt,wax (verb)
augļu koks,fruit-tree
aukstasinība,cold blood
aukstā josla,frigid zone
auns,"ram, wether"
auss,ear (man)
austrumi,east
auzas,oat
avene,raspberry
avs,ewe
bada streiks,hunger-strike
bads,famine
balodis,pigeon
balsene,larynx
balss,voice
balsīgs,voiced
balts,white
banga,billow (subst)
barss,ounce (léopard des neiges)
barība,food
baznīca,church
bebrs,beaver
bez darba,"without work, jobless"
bez jumta,roofless
bez lapām,leafless
bez matiem,hairless
bez mātes,motherless
bez saulez,sunless
bez tēva,fatherless
bez vārdiem,wordless
bezbailīgs,fearless
bezdievīgs,godless
bezzobains,toothless
birzs,grove
bite,bee
bišu vasks,beeswax
blusa,flea
blīvs,tight
brasls,ford (subst)
briedis,"deer, hart"
brurvība,sorcery
bruņinieks,knight
brālis,brother
brīnumains,miraculous
brīnums,miracle
bullis,bull
bulta,arrow
bumba,bomb
burkāns,carrot
burve,"witch, sorceress"
burvestība,witchcraft
burvis,"sorcerer, wizard"
burvība,witchery
