Other,English
"- bound, -lía, kolia",to eat
- bruised,to watch
- fandisa,to sit (1)
"- kende koluka, - kende kozwa",to be going to look for
- kokisa mibu 10,to have 10 years old
"- kola, -kola",to grow
- koma,to become
- komba,to sweep
"- komela, -koma",to write
- konda,to get thinner
- kosa,to deceive
- kota,to enter
- kutana,to meet himself
"- kutana, kokútana",to meet
"- kwa, -kpâ",to fall
- lakisa,to show
- lalisa,to lie down
- lamba,to cook
"- lata, - tia",to put
"- latisa, alati",to dress
- leka,to pass
- lela,to cry
- lelisa,to make cry
- lembe,tired (to be)
- lembisa,to tire
- limbisa,to excuse
- linga,to like
- linga,to want
- loba,to speak
"- longoa, - longwa, -kende",to go
- longola,to remove
- luka,to look for
- meka,to try
"- mingled, -mele",to drink
"- mona, -móno",to see
- ndima,okay with
- pambola,to bless
- peeled,lit
- peeled,to be lit
- pelisa,to light
- pola,to rot
- salisa,to help
- salted,to make
"- salted mesa, kosala mesa",to put the table
- salted noki,to rush
- sambela,to pray
"- seka, -sEkE",to laugh
- sekisa,to make laugh
- senga,to ask
- sepela,to rejoice
- sila,finished
- silisa,to finish
- simba,to carry
- solola,to cause
- somba,to buy
- suba,to urinate
- subdued,to go up
"- sukola nzoto, -sukola, kosukola nzoto",to wash
- swana,to dispute
- tanga,to read
- tangela,to read for
- teka,to sell
- telema,to raise
- tika,to let
- tindela,to send
- toka,to boil
- tonda,replete
- tuna,to ask to
"- vandisa, -fanda, -kisa (action), -vánda, -vánda",to sit
"- weighed, -kaba, -pésa",to give
- yamba,to welcome
- yanola,to answer
- yebisa,to make known
"- yiba, -pimbwa",to fly
- zala na elikia,to hope
"- zala na, - zwa, -banga",to have
"- zala, kozala",to be
- zanga,to miss of
"- zela, - zila",to wait
"- zelisa, - zilisa",to make wait
- ziba,to block
"- zibola, -fungola, kofungola",to open
"- zikisa, -pela, -pela, -zíka",to burn
- zonga,to come back
"-bala, -balana",to marry
-balula,to turn
-banda,to begin
-bangisa,to be afraid
-benga,to call
-bengana,to hunt
"-beta, -bÉtE",to hit
