Other,English
"(b'a)-hathat, atiti, baat",smoke
"(ha)-jriy, ajri, hajriy, naji-, néji-",child
"(han)-miying, anbwijban",left
"(i)-lew, (i)-lewah, ilo",in
"(j)-ahjéy, jelä",to know
"(ken)wa(ha)-, könwa",neck
"(kka)-yalyél, jedkä",to choose
"(law)-jéy, (law)-jiye, jéy, jiye-, wéb', wib'e-",belly
(law-)jilng(iy),ear
"(pi)-yaw, (pi)-yawyéw, méd, mölomöleQ",cold
"(til)-yékyék, kaattilöklök",to hide
"(wi)-ddik, dik, ning",small
"(wi)-pahaj, melkwaarar",ash
"(ya)-tentng', könämnäm",to sniff
"-mahrew, küriin, mahrewrew",green
"-yang, emän, emen",four
Aokej,August
Balaire,Friday
Bar ba mok.,Please say it again
Bar iakwe,Good night
Bar iakwe,Goodbye
Bar iakwe,So long
Belle,English
Bilawe,Bread
Branij,French
Cheers!,Cheers!
Ebellok,Open
Ej et am mour?,How are you?
Ejelok bellok,No vacancies
Ejjelok inebata,No problem
Ekilek,Closed
Elong ke bellok bong in in?,Is there vacancy for tonight?
Emman,Good
Epril,April
"Er, rej",They
Eta in...,My name is...
Etam?,What's your name?
Ewi em jirikrik in?,Where is the bathroom?
Ewi jikin tutu iar eo?,Where is the beach?
Ewi mön idaak eo?,Where is the bar?
Ewi room eo aö?,Where is my room?
Ewor ke......,Do you have..
Fall,Fall
Hamedkah,America
Hill,Hill
Ia in...?,Where is...?
Iaikwöj jion tokta,I need a doctor
Iakwe,Nice to meet you
Iakwe in jibbon,Good morning
Iakwe in jota,Good evening
Iakwe in raelep,Good afternoon
"Iakwe, yokwe, Yokwe yok",Hello
Ij etal ñan Ailinglaplap,I'm going to Ailinglaplap
Ij etal ñan Jaluit,I'm going to Jaluit
Ij wiaiki,I'll buy it
Ijjab melele,I do not understand
Ikonaan wiaiki...,I would like to buy...
Ikwöle,I'm hungry
Ilju,Tomorrow
Imaro,I'm thirsty
Inne,Yesterday
Jab jibwe iö!,Don't touch me there!
Jabot,Sunday
Jarere,Saturday
Jeina,Chinese
Jenore,January
Jepene,German
Jeptemba,September
Jeramon ilo rainin am!,Happy Birthday!
Jete awa?,What time is it?
Jete wonen men in?,How much does this cost?
Jete wonen uwe?,How much is the fare?
Jipein,Spanish
Jolok bwid,excuse me
Jolok bwir,Excuse me
Jouij,Please
Jouij im boktok bil eo,Please bring the bill
Jouj im drelon,Please come inside
Jouj im jijet,Please sit down
Juje,Tuesday
Julae,July
Juon tuket ngan...,One ticket to...please
Juun,June
Kin jouj,You're welcome
Kiwajleyen,Kwajalein atoll
Kommol,Thank you
Kommol tata,Thank you very much
Kosher,Kosher
Kwaar itok näät?,When did you come?
Kwo,You (singular; formal)
Kwo jela ke kajin Pälle?,Do you speak English?
Kwo konan ke...?,Do you want to...?
Kwo maron ke jiban?,Could you help (me)?
"Kwoj etal naan ia?, Kwoj etal nan ia?",Where are you going?
Kwoj idaak ta?,What would you like to drink?
Kwoj itok jän ia?,Where did you come from?
Kwoj jokwe ia?,Where do you live?
Kwoj ke ebbok kretet kaat?,Do you accept credit cards?
Kwoj ke kajin...,Do you speak...
Kwoj mönä ta?,What would you like to eat?
Kwom,You (plural)
Lake,Lake
M'ahjel,Marshall Islands
Maaj,March
Majr'w,Majuro (the capital)
Manre,Monday
Map,Map
Mei,May
Nobomba,November
Oktoba,October
Peppore,February
Pikinniy,Bikini atoll
Raan in kemeem,Birthday
Rainin,Today
Spring,Spring
Subway,Subway
Subway station,Subway station
Summer,Summer
"Ta e?, Ta in?",What is this?
Taije,Thursday
Tiijemba,December
Tower,Tower
Valley,Valley
Winter,Winter
Wonje,Wednesday
Yan'yweytak,Eniwetok atoll
Yepjay,Ebeye atoll
abje,shy
aelön,atoll
"aerä, hayer, hayeray",shoulder
aet,yes
"aetok, leyelley",long
"aiboj, ren",Water
aij kuriim,Ice cream
aining,narrow
aitok,Long
"aj, yaj",liver
"alal, rah, rah",stick
alling,Month
allöng,moon
anbwijmarong,right
anemaon,Right
"ang, hang",wind
animiing,Left
aoleb,All
aolep,all
ar,lagoon
"armej, harméj",person
armij en ejjab monge kanniek,Vegetarian
atok,to come
"aö, haheh",to swim
"b'ah, ba",to say
"b'awat(iy), boti",nose
"b'b'ej, böbok",to swell
"b'el-ngak, börrä",to split
"b'éng', bong",night
baham',bomb
baj,Bus
bao,Poultry
bao,bird
bar jet,other
bejtobol,Vegetable
beng,Bank
bia,Beer
biteto,Potato
"bok, piyépéy, ppéy",sand
brij,Bridge
bulön mar,woods
bung,to fall
bwidej,earth
"bwijil, kkéb'",dull
bwiär,to stab
"bénbén, bönbön, wate-k, watwat",to count
bölök,leaf
büngal,dust
bürörö,red
"da, dah, ddah",blood
"dan, dän, dandan",water
"dawal, ditöb",black
"ddew, ddo",heavy
"de-(pakpak), depakpak",wide
dedek,to grow
"dekä, hajji-(kad)",stone
"di, diy, diyi-",bone
e kar ein drein mour eo am!,this was your life
"e, yéy, yéy",he
"eQQl, hel",to flow
ebwe,So so
ebwe,okay
"ek, yapil",fish
elangnge,if
ellok,to lie down
elong,A lot
"em jirikrik, mon keppojak",Restrooms
"em, m'e-(n), yém', yim'e-",house
"en/engne, yen",that
enana,Bad
enana,not good
engoul,forty
"eok, k'e-, k'ey",thou
eor juõn ej yokwe iõ,somebody loves me
epaak,Near
erlok,to open
"erpoot, jikin kelok",Airport
"etetal, yetal",to walk
ettolok,Far
"ewi, yi'yah",where?
"i, yi-, yiy",at
ia,how?
iadatöltöl,to spit
ial,Street
"ial, yiyal, yiyyal",road
"ialo, yiyaléw",yellow
idaak,drink
"idaak, imim, li-me-, ni-me-",to drink
ien jeblaak,Departure
ien ketok,Arrival
iie,needle
"iiöin, yéy",this
ijaje,I don't know
"iju, yijiw",star
"im, yem, yim",and
inebata eo elap,the crisis
"ioo, löng",above
"ittüt, tittit, yitti-, yittit",breast
iïo,year
jQQl,salt
"jaab, jab, yahab'",no
jabön,snake
jalat,Salad
"jaliy, jaljél, to",rope
jang,to cry
jangi-t,cry for someone
jarom,lightning
"jay, jekjek, jepak",to cut
je,belly (1)
jejjat,dry
jejjet,correct
jema,Father
jema-,father
jeor,to turn
jerbal,to work
"ji-(wen), juon",one
jibuki,one hundred
jijet,to sit
"jijino, jiljino",six
jijinongoul,sixty
jik'jik'iy,to pund
"jik'jik, jik'jik'iy, nin",to pound
jikin an turij bok melele,Tourist Information
jikin baj,Bus station
"jikin ejmour, mon rinanginmej",Hospital
jikin paak,Parking
jikin reen wa,Car rental agency
jikin turein,Train station
jikin uno,Pharmacy
"jikuul, mon jikuul",School
"jili-w, jilu",three
"jiljimjuon, jimjuon",seven
jillinguul,thirty
jilu jongoullalim,Three fifteen
jimjuon jongouljilu,Seven thirteen
jimjuon-ngoul,seventy
jimwe,Straight
jine-,mother
jinno,Mother
jirik,A little
jitaam,Stamps
"jiw-(tak), jutak",to stand
"jokwajok, naw'",mosquito
jongoulemen,fourteen
jongouljijino,sixteen
jongouljilu,thirteen
jongouljilu jen jilu,A quarter past three
jongouljimjuon,seventeen
jongouljuon,eleven
jongouljuon jimettan,Eleven thirty
jongouljuon jimettan,Half past eleven
jongoullalim,fifteen
jongoulrualitok,eighteen
jongoulruatimjuon,nineteen
jongoulruo,twelve
jonoul,ten
jouj,please
jourur,thunder
juij,Juice
jukjuk,beat
"jukkwe, kar",to scratch
jukwea,Square
juon engoul-lalim,One forty-five
juon millien,one million
juon taujin,one thousand
juwimmiing pul,Swimming Pool
juõn bwebwenato in yokwe,A love story
juõn wõt ial!,one way
"k'ém', kemiy, kom, Kwe",you
"kad, kadey, kadkad",to throw
kadeQeo,spider
kadu,short
"kaikai, kang, m'engay",to eat
kajin Majöl,Marshallese language
kajin Pälle,English language
"kajji-réyréy, lelejkakkak, réyréy",to laugh
kallib,to plant
kamao lal,Dessert
kanniek,Meat
kanniek in kau,Beef
kanniek in piik,Pork
"kanniök, yitek'",meat
karu,Short
"kedaw, ködQ",cloud
keke,to sew
"ki-jiy, kik, kkij",to bite
kidu,dog
kij,louse
"kij-dik, kijdik",rat
kijeek,fire
kil,skin
kkang,sharp
kkeene,to squeeze
kool,feather
kool,hair
koot,to steel
kukuul,to hold
kuobe,Coffee
"kwöle, wiwah",fruit
kä-,to fly
kääl,new
"kém, kém', kim, köj, köj, köm",we
"köb, tiwij(iy), ttéw",to dig
"köbobo, pawpéw, yawyéw",to tie up
"kömat, meme",to chew
"körä, liye-",woman
köt,rotten
küriij,fat
"lQjet, lQmeto, me-tew",sea
lal,below
"lale, lew-(ey), llew",to see
lalim,five
lallok,Down
lam,lake
lang,sky
"lap, laplap, llap",big
"leelle, ttew-(lak')",far
leen wijki,Fruit
lemengoul,fifty
lenglok,Up
leo belele,Husband
lep,egg
"lew, lewe-, lo",tongue
lik,ocean
lio belele,Wife
lippon,to shoot
lojet,Ocean
lokwa-,tail
lometo,at sea
"lömnak, mang",to think
"m'ajngal, majngal",intestines
"m'm'ahan, mmaan",man
"m'm'éj, mömöj",to vomit
"ma-niy, mäni",thin
"maj, mäj, meja-",eye
"majir', mäjur",to sleep
majkadäl,worm
manman,to hit
manman,to kill
mat,to cook
mebböla,to yawm
"mej, méj",to die
menono,to breathe
"metak, wita-m'éy",painful
"mi-jak, mijak",to fear
"mi-jel, mi-jeljel, mijel",thick
minnin,to suck
miujiem,Museum
mman,good
mon jar,Church
