Other,English
"and, he, ki",a
ana,a cave
pa,a fortified living place
tawaru,a garment
ahumehume,a garment for females
marae,a gathering place
"kaiweka, owhata, wairerewai",a name
ahere,a snare for birds
kokiri,a training centre
puku,abdomen
kaha,ability
aianei,about this time
i runga,above
koi,acerbic
hunga whai rawa,affluent
"i muri iho, muri",after
ahiahi,afternoon
ano,again
ahuareka,agrreable
manaaki,aiding
katoa,all
hoki,also
ahakoa,although
konumohe,aluminium
tonu,always
Amerika,America
tawaru,an outer garment
aitanga-a-punga,an ugly fellow
tupuna,ancestress
tawhito,ancient
"a, hoki, me, me",and
Mãu e whakaahu kë,And corruption guard our State
"pukuriri, riri",angry
Ko Aoraki te maunga,Aoraki is the mountain
ahua,appearance
"âperira, épéréra, Paengawhâwhâ",april
ringa,arm
whakaritea,arranged
"tae, u",arrive
pungarehu,ash
whaka maa,ashamed
uta,ashore
ui,ask
"hei, I, kei, kei, kei, ki, ki reira ki",at
akiko,at a distance
inâianei,at present
i aua huihuinga,at those gatherings
"dawn, quietly",ata
"Âkarana, Tamaki Makaurau",Auckland
"âkuhata, atété, hereturikôkâ",august
"matua kêkê, whaea",aunt
Ahitereiria,Australia
taurana,back
kino,bad
aitua,bad luck
tamaiti,bairn
pareparenga,banks
poriro,bastard
whare kaukau,bathroom
mate,be dead
moohio,be knowledgeable
kauwhautia,be receited
tonoa,be sent
one,beach
tuki,beat
"âtaahua, pai",beautiful
humariretanga,beauty
whakatangata,become men
moenga,bed
rûma moe,bedroom
taua,before mentioned
puku,belly
ahana,belonging to him
i raro,below
ahaka,bent like a hook
Pearîni,Berlin
"puhi, puhihumarire",betorethed
puhi,betrothed
pâpapa,bettle
nui,big
manu,bird
aitanga-a-tiki-kapakapa,birds
"mangu, pango",black
mâ,blank
makariri,bleak
toto,blood
"puâwai, putiputi",bloom
"kahurangi, kikorango",blue
whero,blushing
poti,boat
tinana,body
"iwi, kôiwi",bone
takatapui,bosom friend of the same sex
whakatere,bouy up
kau,bovine
kau,bovine animal
manga,branch
wahi,break
uu,breast
poto,brief
"tiki, tikina",bring
whânui,broad
wahia,broke
pakaru,broken
parâhe,bronze
"teina, tuakana, tungâne",brother
pêpeke,bug
hanga,built
purerehua,bull roarer
taumaha,burdensome
mauwha,bush
"ia, ia, otiia, otira",but
ma,by
ia wai?,by whom?
"kiaka, taha",calabash
ateate,calf
karanga,call
"aio, marino",calm
Kanata,Canada
waka,canoe
"kâpeti, whâriki",carpet
whakairo,carving
"ngeru, puihi",cat
tupato,cautious
raima,cement
hëneti,cents
tûru,chair
pâpâringa,cheek
atawhaitia,cherished
pîpî,chick
"heihei, pîpî",chicken
rangatira,chief
tamaiti,child
tamariki,children
makariri,chilly
kauae,chin
Ôtautahi,Christchurch
uku,clay
piki,climb
kapua,cloud
"akau, takutai",coast
moea,cohabit
"maeke, makariri, makariri",cold
Haéré mai,come
puta,come forth
a tomo mai i roto i ta'u faré,come into my house
haére mai tama'a,come to eat
haerenga,coming
tutua,common person
ahuatia,completed
rorohiko,computer
hapu,conceive
raima,concrete
ahuru,confortable
raupatu,conquest
whakaae,consent
tahu,cook
Raukawa Moana,Cook Strait
wharekai,cooking and eating house
tika,correct
"teina, tuakana, tungâne",cousin
"pukuriri, pukuriri, riri, whiti",cross
au,current
"ritenga, takanga",custom
pouri,darkness
karearoto,darling
