Other,English
(Tlahtocayotl in Cepanca),UK
(Tlahtocayotl in Cepanca),United Kingdom
(to),juice
(to),read
Acallan (Land of ships),Acalan
Acapolco (Land of big canes),Acapulco
African,Africa
African Huitztlan,South Africa
Agustín teopixqui,Agustinian monk
Ahuatetztli,Pluto
Ahuitzotl (Otter),Ahuitzotl
Altepetl Mexico,Mexico City
Anahuac,New Spain
Anahuac (Land near the water),Anahuac
Axian,Asia
Caxtillan,Spain
Chichilhuitztli,Mars
Copan,Cuba
Coreyan Ayamictlan,North Korea
Coreyan Huitztlan,South Korea
Cozcatecuhtli,Saturn
Diotzin,God father
Eutlocpan,Europe
Franzitlan,France
Incatlan,Peru
Indiyan,India
Inglatlalpan,England
Inglatlalpan,UK
Inglatlalpan,United Kingdom
Israellan,Israel
Itallan,Italy
Libanoyan,Lebanon
Liverpol,Liverpool
Londin,London
Manhatitlan,New York City
Mexico,Anahuac
Mexico,New Spain
Mexico Tenochtitlan,Mexico City
PC,PC
Portocallan,Portugal
Roma,Rome
Tetzcantzontli,Uranus
Teutotitlan,Germany
Tonquitl,Venus
Tonquitli,Venus
Turquitlan,Turkey
Xapontlan,Japan
Xordantlan,Jordania
Yancuic Caxtillan,Anahuac
Yancuic Caxtillan,New Spain
Yancuic Leon,New Leon
Yancuic Mexico,New Mexico
Yutan,Utah (state)
Zuecapan,Sweden
a-,no
a-,not
aacatl,aquatic reed
aaci,touch (to)
aacini,looker
aacqui,angry
aacqui,furious
aactia,trot (to)
aactiliztli,trot
aahuatlan,jungle
aahuiani,cheerful
aahuiani,glad
aahuilpan,park
aana,recreate (to)
aapopoti,bubble (to)
aaquetzalli,fan
aaqui,enjoice (to)
aaqui,enjoy (to)
aaquiliztli,enjoice
aaquiliztli,enjoy
aatenqui,blown up
aatenqui,lackluster
aatenqui,lacklustre
aaxiliztli,piss
aaxixa,be scared to death (to)
aaxixa,urinate by fear (to)
abrilli,april
aca,somebody
aca,someone
acacahuaztli,wild grass
acacalocuauhtlan,mountainous region
acachauhtli,cane glue
acachicolli,anchor
acachiquihuitl,cane basquet
acachiquihuitl,cane box
acacuextli,fishing rod
acahuallan,sunflower plantation
acahualli (helianthus annuus),sunflower (plant)
acahuatl,weed
acaitetl,sugar cane
acaixoa,sow sugar cane (to)
acalaquia,embark (to)
acalco,dock
acalco,loading platform
acalco,pier
acalco,wharf
acalcochihuayan,berth
acalcochihuayan,cabin
acalcuachpamitl,banner boat
acalcuachpamitl,pennant boat
acalcuachpancuahuitl,mast
acalcuachpancuahuitl,pole boat
acalcuachpantli,sail
acalcuexcochtli,abaft
acalcuexcochtli,stern
acalhuacaquixtini,boatman
acalhuacaquixtini,ferryman
acalhueltecani,helmsman
acalimachoni,rudder
acallachiani,sailor
acallaneloani,passanger by ship (to)
acallanelotl,cabinboy
acallapanaliztli,shipwreck
acallapanani,shipwrecked
acallapani,be shipwrecked (to)
acallayayaliztli,bilge
acalli,boat
acalli,ship
acalli,vessel
acalli cemantihuitztli,ship fleet
acalli pepexocatihuitztli,ship crew
acalli teyaochihuani,frigate
acalnemachiliani,regent of ship
acaloa,striate (to)
acalohtli,irrigation ditch
acalohtli,sea route
acalpantiliztli,sailing (sport)
acalpantli,windsurf table
acalpatiotl,ship ticket
acalpatlani,airplane
acalpatlani,jetplane
acalpechtli,canoe
acalpechtli,kayac
acalpixqui,vigilant ship
acalquixoayan,harbour
acalquixoayan,seaport
acaltecoyan,dock
acaltecoyan,port
acalteichtecamictini,corsair
acalteichtecamictini,pirate
acaltepachoani,capitan of ship
acaltepiton,lenght
acaltetlalincateconi,ballast
acaltic,fluted
acaltic,striated
acalticanemini,navigator
acalticaneminiliztli,navigation
acalticapanoni,cabinboy
acalton,cone
acaltontli,boat
acaltontli,canoe
acalyacatl,bow
acalyacatl,proa
acamapilli,leading
acamayatl (penaeus riveti),fresh water prawn
acan,nowhere
acanixmauhqui,bold
acanixmauhqui,inprudent
acanoyehui,fail
acanoyehui,inssufficient
acantachini,macula
acantetlanehui,like that
acantetlanehui,similar
acantetlanehui,such
acatanatli,small reed basket
acatcani,restless
acatetepontli,alligator
acatic,cylindrical
acatic,reed-like
acatl,arrow
acatl,cane
acatl,reed
acatlan,cane thicket
acatlan,sugar cane plantation
acatlapitzalli,flute of pan
acatlapitzalli,reed flute
acattopa,firts
acattopa,in the firts place
acattopa,initially
acatzacuiztli,glue
acatzahuixochitl,orchid flower
acaxacahuitztli,grass
acaxitl,pool
acaxitl,reservoir
acaxitl,swimming pool
acaxotlan,health resort
acaxotlan,spa
acaxtontli,font
acaxtontli,pillar
acayetl,cane tobacco
acayoa,sow cane tobacco (to)
acazacatl,thin stick
acazoyemo,maybe don’t be
acecec,could water
acecexocotl,berry
acelana,delouse (to)
acelin,nit
acelli,nit
aceloni,nitter
acetl,snow water
achalchihuitl,marble
achalchihuitl,veined marble
achcaitl,pronoun
achi,some
achi,something
achi miecpa,frequently
achichilyahuitl,red corn
achichipictli,stalacmite
achichipictli,stalactite
achiotic,earth red
achipotzacellotl,corn pop
achitzin,a little bit
achto,firts
achtontli,ancestor
achtontli,great-grandfather
achtopa,firtly
achtopa,in the firts place
aci,arrive (to)
acicamati,understand (to)
acicamatilli,understood
acihuamichtli,mermaid
acitihuetzi,snatch (to)
acitlalin,pearl
acitlalli,pearl
acitlalmichin,starfish
acitli,lapwing (bird)
acitotolin,water gen
aco,high
aco,up
acoatl,aquatic snake
acoatl,water snake
acocalli,mansion
acocalli,residence
acochiliztli,wake
acochiztlamicqui,death evening
acocholoa,lack (to)
acocholoa,need (to)
acococo,iris
acocotli,swallowing
acocqui,agile
acocqui,light (no heavy)
acocqui,nimble
acohuehuetiliztli,contemplation
acohuetzi,cheer (to)
acohuetzi,console (to)
acohuetziliztli,consolation
acohuetziqui,confortable
acohuetziqui,conforting
acohuetziqui,consoling
acohui,up (to)
acolchimalli,spinal column
acolchimalli,spine
acolchimatli,shoulder blade
acolitoni,acolyte
acolitoni,altar boy
acolli,shoulder
acolmaitl,arm
acolnacayotl,biceps
acomana,agitate (to)
acomana,excite (to)
acomana,incite (to)
acomanaliztli,agitation
acomanaliztli,uproar
acomanani,agitating
acomanani,troublemaker
acomitl,large earthen vat
acomitl,vat
acopaitztiuhtzontli,kinky hair
acopaltepetl,achropolis
acopechpatolli,pool table
acopechtli,desk
acopechtli,table
acopinalli,ditch
acopinalli,trench
acoquitza,advance (to)
acoquitza,progress (to)
acoquitzaliztli,advance
acoquitzaliztli,progress
acordioni,accordion
acotlazaliztli,consolation
acoyaliztli,contemplation
acoyani,contemplative
acoyoctli,cave-in
acoyoctli,main drain
acoyoctli,main sewer
acoyotl (enhydra lutris),sea otter
actitlazatiliztli,sinking
acuacuahue (phocoena sinus),porpoise
acuacuahue (phocoena sinus),see cow
acualitiliztli,curse
acualitiliztli,damnation
acualli,bad
acualli,devil
acualli,inhuman
acualli,wrong
acuallotl,malice
acuallotl,wickedness
acualtlahtolli,coarseness
acualtlahtolli,roughness
acualtlahtolli,rudeness
acualtlahtolli,vulgarity
acuatzin (ruta graveolens),rue
acuayollo,ignorant
acuayollo,uncultured
acuayollo,uneducated
acuecueyachin,leech
acueyotl,wave
acuezcomatl,cliff
acuilotl,river mosquito
acuitzilli,river prawn
acuitzilli,river shrimp
acxoyatl (pinus lambertiana),white fir
africa,be African (to)
africahuitztlalia,be South African (to)
africanecatl,African
africanhuitztlaltecatl,South African
africantlahtolli,African language (Afrikaans)
africatl,African
africatl,African language (Afrikaans)
ahahuilli,toy
ahuacatl,testicle
ahuacatli,avocado
ahuachichitl (acer rubum),maple tree
ahuacuauhtlan,jungle
ahuacuauhtlan,tropical forest
ahuatecolotl,barn owl
ahuatetztli,short
ahuilcuicatl,pleasure song
ahuilcuicatl,song of debauchery
ahuilcuicatl,song of vice
ahuiltia,play (to)
ahuitl,aunt
ahuitotl (myocastor coypus),otter
ahuitzonxoloni,toy
ahuitzotl,water squirrel
aic,never
ailhuicatl,ocean
ailhuicatl,sea
alacatl,marrow
alatl (gallopavus dosmesticus,young turkey
alotl (aratinga leucophtalmus,parrot
altepehuatl,citizen
altepepan,at the city
altepetl,city
altepetl,town
altepetlacatl,citizen
altepetuzan,rat
alticalli,bathroom
amacapolin (morus nigra),blackberry
amaitl,lagoon
amantecatl,artesian
amatl,paper
amatohtli,map
amatomin,bill
amatzcalli,oyter
amazolli,old paper
ameh-,you (very polite)
amehuan,you (very polite)
amehuan-,they (very polite)
amehuantin,they (very polite)
amehuatzin,my lady
amehuatzin,my lord
amehuatzin,my majesty
amen,amen
ameyalatl,mineral water
ameyalatl,spring water
ameyalli,fountain
ameyalli,source
amictlan,lagoon
amini,hunter
amiqui,be thirsty (to)
amiqui,thirsty
amitla,nothing
amiztli,seal
amo,no
amo,not
amo cualli,bad
amo cualli,wrong
amocualneci,deformed
amocualneci,misshapen
amocualneci,ugly
amolayotl,shampoo
amolli,soap
