Other,English
"-a, -o, -u, aeò, ijùb, waña",mine
"-n, an, wòn, wònò",be
"-n, an, wòn, wònò",exist
"Abanokwe, Biogorengwe",warrior killed in Ganaba
Agar,grandfather in legend
Aiwo,district
"Amweb, Baguewa, Dabague, Eyouwout, Gamodogodug",legend
Anabar,remember most ancient things
Anatan,remembers most ancient things
Anibare,district (N.) (relatively empty)
"Anubumin, iò ôbùm, obum",night
Awiyeda,died in Gabab
Bagadugu,ancestors
Bagawer,son of Baguewa in legend
Baitsi,Catholic Mission founded
Boe,district: major (with Aiwo)
Buada,family name
Deboe,tribe second in prestige
Degoya,owner of Gatoe channel
Demagomogum,bad boy in legend
Denigomodu,district foreigners (S.)
"Denigomody, etañmek, tekawa, tekawa kadudu, Waboe",village
Dogonun,son of Dabague in legend
Domaneb,village Nibok dist
Dwaetji,Detudamo's ancestor
E)kamawir Omo,best wishes
"Eaeo, oaio, òaio",strong
Eamwit,eel
Eamwit,tribe most important
Ederaene,child's name?
Edibanono,legend with medicinal plants and perfumes
Eguigu,young girl in legend
Eidaruwo,1500th Nauruan
Eigamoiya,queen of Nauru
Enogog,"string figure: woman who ""lives on air"""
Enomo,name: good girl
Ewa,district (N.)
Eyouwit,girl in legend
Gabab,channel: which kills
Gadu,at Denigomody
Gago,channel (narrow)
Gagori,channel: at Waboe
Gamodogug,legend: husband...
Ganaba,channel: 'the killer'
Ganabereber,channel 'kind of fish'
Ganama,channel: at Ewa
Ganara,channel 'blood'
Ganeno,channel 'not very deep'
Ganiamwe,channel 'eel'
Ganibawo,channel: Boe 'shark'
"Ganiwuro, Gatoe",channel
Ganokwang,channel 'abundance'
Gonge,channel: Ewa (& Onge)
Gonokwoy,channel 'fish'
Gott,God
Ianweron,Heaven
Ianweron,sky
Iao,Light
Ieru,legend of disaster through dirtiness
Imeg i anor?,Where is the beach?
Inga etangan ren?,Where is the bar?
Inga wanga daroom?,Where is my room?
Iow,Peace
Iruti,tribe: extinct
Mekua,cave in channel
Meneng,district: major president's house
"Nibok, Uaboe",district (S.)
Omon,undersea place where people live
Onge,channel: Ewa (& Gonge)
Tarawong (ka),Goodbye
Ubenide,election district
Wea touwea na!,Don't touch me there!
Yaren,district: major (S.)
"a, à, aña",I
"aanaquan, mwin, ñanaquan, nganakwan",mouth
abab ñame,to murder
"abab, abi",kill
"ababaro, oniñon",excite
"abi, akaberere, ake, eake, etetowen, ira",to fight
"abi, ira",beat
"abi, ira",cudgel
"abi, ira, irer",hit
"abi, jiw",extinguish
abio,loop
abu,four hundred
ada ituga,upward
"ada, adei, amei, añ",we
"ada, wòra",our
adad,as ball
adad darar,catching noddies with net
adad emorr,catching flying fish with net
adaga,why
adamonin,first
adawer,nine hundred
aditur,green
ado,nine
"adorei, taramawirei",adore
"adorei, taramawirei",worship
adsin,bile
adsin,gall
adu iyong,downward
"aduei, eadu, idon",present
"aduei, idon",bestow
"aduei, idon, oija",give
"aduma, adumwa (aduma)",ninety
aduqua,fertile
aduqua,fruitful
aduwen,god
adûmei,print
"adûmei, enenei, ijen, mwat, owañada",press
"aeiu, aeu",seven
aemo,seventy
aen,voice
aeoq,four
"aeow, ea, imùr",after
"aeow, ea, imùr, iruwin",behind
"aeoweaeow, eo toki",always
"aeoweaeow, eo toki",continually
"aeoweaeow, tamo edae",anytime
aewer,seven hundred
agen kaiser,empress
agen man,brother-in-law
agen àn,sister-in-law
"agen, aget eman, ân",wife
"agen, aget àn",husband
"aget eman, ân, eman",woman
"aia, kania, terò",esteem
"aia, ât",see
aibu,one hundred
aibu epaun,fifty kg
aibu epaun,hundredweight
aibu erañan,one hundred thousand
"aigetow, eken, oniñ",little
"aigetow, eken, vad",few
"aijima, aiyma",fifty
"aijimo, ayimo",five
aijimower,five hundred
"aiju, ayu",three
aijubu,three hundred
"aikwen, aiquen, ion",one
aita,she
"aita, ei",he
"aiwòrin, ewòrin",once
"aiwòrin, ewòrin",sometime
"akaberere, etetowen",wrestle
ake,struggle
ake,to dispute
"ake, eake, ekañaeot, kañaeot",quarrel
akerow,ashore
akerow,stranded (be)
akodu akoda,up and down
akowòñ it eb,border
akowòñ it eb,frontier
"akòda, ewewòda",ascend
"akòda, ewewòda",climb
"am, wam",your
ama,forty
amar,hammer
"amea, amune, amuno",this (1)
amen Pijen eb,heir
amen abab imin gogòrò,butcher
amen abab ñame,murderer
"amen ador, amet taramawir",adorer
"amen ador, amet taramawir",worshiper
amen adorei tamnei,idol worshiper
amen ake,soldier
amen ake,warrior
"amen baka, amen iqui",scoundrel
amen buok,assistant
amen buok,helper
amen edar,scribe
amen edar,writer
"amen egegae, amen eten",advocate
"amen egegae, amen eten",intercessor
amen ekòm,judge
"amen ekòm, temoniba",official
amen eow,conductor
"amen eow, itùb (tùbwin), temoniba",leader
"amen eow, temoniba",chief
amen erow,merchant
amen erow,tradesman
amen etemedem,inciter
"amen eà erowin, amen ñeijùb",successor
amen eò mañijùñij,hero
amen iat gefàngniss,prisoner
amen ij-bar,barber
amen ijeiji,eater
amen ijo,angler
amen ijo,fisherman
amen iqui,cheater
amen iqui,deceiver
"amen iqui, amen torere",thief
amen kababaite,cringing person
"amen kababaite, ewewò, kababaite",sneak
"amen kabaàt, amet dàirinaija",fool
amen kait añòg,interpreter
"amen kakairù, amet dorer",speaker
amen kanom,baker
amen kar,counterfeiter
amen kar,imitator
amen karig,drawer
"amen karig, amen òrig",creator
amen katsimor,savior
amen kedujow,flatterer
amen kekepo,collector
amen kereri,instructor
amen kereri,teacher
amen keòweò,measurer
amen keòweò,surveyor
amen kiàò,farmer
"amen kògòmwe, dogida, mayayo",doctor
amen makur,worker (m.)
amen makur debitsi,smith
amen miow,coward
amen ober,overseer
"amen ober, amen òñaneme, amen ôñaneme",spy
amen oduwet eñòg,witness
"amen oija, amen totow",giver
"amen ranga ekwan, ekawada, etegerer me etogarit",string figure
amen raña imin gògòrò,shepherd
amen ririñ,doer
amen ririñ,maker
amen ririñ ekabiroro,wheelwright
amen tabaite,charlatan
amen tabaite,liar
"amen tabaite, amen torere, amet derùga",swindler
"amen torere, amet derùga",rogue
"amen tsitsin, tsim",cook
amen tsitsino,bigot
amen tsitsino,dissembler
amen tsitsino,hypocrite
amen tòkòñòkòñòñ,beggar
amen àtet,suitor
"amen òka, amen ôman",artist
amen òman,scholar
amen òñaneme,emissary
amen òñaneme,scout
amenangame,largest part of tribe
"ameong, eamoñ",sweat
amet doganigae,victor
amet dùra,sinner
amet taramawirei eani,Gentile
amet taramawirei eani,heathen
amet taramawirei eani,pagan
amie,ye
"amià, wamià",yours
"amo, ian obwen",in front
"amo, ian obwen, ian obwen, ñago amo",before
amoye,leaf and branch cure nwirara
amwemwiten,call a person
an bùm in ima jesu,Good Friday
an bùm in pudu jesus,Christmas
an kadaro temoniba,Holy Communion
an wag eman,men's house
an wak imin òeta,bird cage
an-baran,chin (his)
anabaran,chin
"anakeba, emane",sennit
"anapan, anemen",cheek
anarama,twenty
anarama ma ado,twenty nine
anarama ma ado,twenty-nine
anarama ma aeiu,twenty seven
anarama ma aeiu,twenty-seven
anarama ma aeoq,twenty four
anarama ma aeoq,twenty-four
anarama ma aijimo,twenty five
anarama ma aijimo,twenty-five
anarama ma aiju,twenty three
anarama ma aiju,twenty-three
anarama ma aiquen,twenty one
anarama ma aiquen,twenty-one
anarama ma aoju,twenty eight
anarama ma aoju,twenty-eight
anarama ma aro,twenty two
anarama ma aro,twenty-two
anarama ma año,twenty six
anarama ma año,twenty-six
angam,Angam Day
"ango, año",six
anien,onion
"anikiwi, eanakiwi, ini",coconut
anim,roof
anim,thatch
"animion, atsied, oijuwòñ, tsiet",know
animo,thirty
"animwen, atsiu, ean",on
"animwen, atsiu, ean, ewewin, ewewin, i, ian, yan",in
"animwen, ean, i, ian",at
"animwen, ean, i, ian",to
anin,soul
anin,spirit
"anin, eani",ghost
"anin, ekamarar, ibùriò",disposition
"anin, ekamarar, ibùriò",mind
"anin, tamnei",picture
anor,reef
anorin,throat
antobwijùbwij,early
"aojomo, aoyomo",eighty
"aoju, aoyu",eight
aojuwer,eight hundred
aonanak,I make noise
aoyoyin,I feed them
"apait imin (epait-domo), epaitdomo, epaitomo",egg
"apar, eò ñanümwi, eògedujow",fast
apen-wekañ,kidney
"apwe, ebereber, ijo, iju, iù, ñawor, yuw",fish
aquòret ebe,brooch
aquòret ebe,clasp
"ara, era",blood
"arag, arak, ema",sick
arak,painful sick
"arak, ema",ill
"aran, arran, ibùm",day
aranon,neighbor
aranon,next one
"aranon, dañan",comrade
"aranon, dañan",friend
araquin,length
"araròn, kararò",grind
"araròn, kararò",mill
"ararû, òebwepoi",pile up
"ararû, òebwepoi",stride
araña,one thousand
araña,thousand
araña erañan,million
aren,style
"aren, deden",manner
areureu,dry sand of beach
arew,young tame frigate bird used as lure
aro,two
"aro, ibùn, inon",pair
arobu,two hundred
arowong,whirl in channel Gadu
"arowong, babwiji",embrace
"aròen, aròn",breed
"aròen, aròn",stem
"aròen, aròn, Eamwidimwit, Emangum, Emea, Eoaaru, Reneback, Yamidara",tribe
"aròen, aròn, dòrabat, ije",trunk
aròùrö,beach
aròùrö,strand
ata,ten
ata erañan,ten thousand
ata ma ado,nineteen
ata ma aeiu,seventeen
ata ma aeoq,fourteen
ata ma aijimo,fifteen
ata ma aiju,thirteen
ata ma aiquen,eleven
ata ma aoju,eighteen
ata ma aro,dozen
ata ma aro,twelve
ata ma año,sixteen
"aton, iruwin",outside
atsi,adopt
"atsin, atsin ean, atsiu, ian obwen, tsinin",from
"atsin, atsin ean, atsiu, tsinin",of
"atsin, atsin ean, tsinin",out of
atsinoegaga,elf of the bush
atsiu,upon
"atsiu, ean, itûrin",by
atugagan,midnight
"aturin, itùr",shadow
"autsioran, ijoran, yoran",morning
auwauwà,caress
auwe,thou
"auwe, awe, ñauwe, wo",you
auwà eken ion ea ion,prefer
"auwà, eauwà, eauwauwà, ebon",love
"auwàtegen, kananoañ, oqued",merciful
"auwàtegen, kananoañei",pity
awaran,root
"aân, aen",liver
aânei,iron
añ,envious
añ,jealous
"añama, angoma",sixty
añan,surf
"añan, torere",to steal
"añañòn, miowi",hate
añower,six hundred
"ba, ijababa, tsiba",to break
"bababo, ebabobo",yellow
babweji,hatch
babweji,plot
"babweji, barü, ôgòg",hold
babwiyi,to hold (in hand)
badden,button
"badedi, badedi, ebadetsi, ebadetsi, tsiw, tsiw (ia tabak)",smoke
badenei,to button
"badetsit emwarere, emarañata",dust
badon,trunk (of tree)
"bae, ikumo",pig
