Other,English
"-fast, -sikker, bevis, korrektur",proof
-messig,-wise
"-sentral, plassere i senter, sentrum",centre
-sinnet,minded
"-tøy, -varer",-ware
Allehelgensaften,Halloween
Amerikas forente stater,United States of America
"Antarktis, antarktisk, sydpols-, sydpols-",antarctic
Athen,Athens
Celsius,centigrade
Danmark,Denmark
Dansk,Danish
"De, deg, Dem, dere, du, man",you
EU,EC
England,England
Europa,Europe
"Europeer, Europeisk",Eoropean
Finland,Finland
Firenze,Florence
Fotgjenger,pedestrian
Frankrike,France
Fransk,French
Gud,God
Gøteborg,Gothenburg
Hellas,Greece
"Holland, Nederland",holland
Japan,Japan
"Japaner, Japansk",japanese
"Kineser, Kinesisk",chinese
Kristus,Christ
København,Copenhagen
Køln,Cologne
Latinsk,Latin
Marokko,Morocco
Moskva,Moscow
Munchen,Munich
Napoli,Naples
Nederland,Dutchland
Nederlandsk,Dutch
Neger,Negro
Negrer,Negroes
Nordisk,Nordic
"Nordmann, Norsk",norwegian
Norge,Norway
Ole Lukkøye,Sandman
Portugisisk,Portuguese
Praha,Prague
Påske,Easter
Rødhette,Little Red Riding Hood
Skandinavia,Scandinavia
Stillehavet,Pacific Ocean
Storbritannia,Great Britain
Storbritannia,United Kingdom
Sverige,Sweden
Warsawa,Warzaw
abbed,abbot
abbedi,abbey
abbedisse,abbess
"abbor, vagle",perch
abnorm,abnormal
abnormitet,abnormality
"abonnement, undertegning",subscription
"abonnent, bidragsyter",subscriber
"abonnere, skrive under, subskribere",subscribe
abort,miscarriage
"abort, misfoster",abortion
abortere,abort
"abortere, slå feil",miscarry
"absolutt nødvendig, imperativ, myndig",imperative
"absolutt nødvendig, vesentlig",essential
"absolutt, fullstendig",unmitigated
"absolutt, fullstendig, uttale",utter
"absolutt, javisst",certainly
"absolutt, ubetinget, ukvalifisert",unqualified
absorbere,absorb
"absorbere, drikke",imbibe
abstrahere,think in abstract terms
"abstrahere, lage, skape",create
"absurd, meningsløs",preposterous
"addere, knytte, legge til, skyte inn, tilføye, tilsette",add
"addisjon, tilføyelse",addition
adel,nobility
adelig,titled
"adelig, edel, fornem",noble
adelsmann,nobleman
"adelsmann, like, likemann, stirre",peer
"adelsstand, adelstittel",peerage
adgang forbudt,no trespassing
"adgang, innførsel, inntreden, stikkord",entry
"adgang, inngang, inngangsport, innkjørsel",entrance
"adgang, innleggelse, innrømmelse",admission
"adgang, tilgang",access
"adgangstegn, billett, seddel",ticket
"adjø, farvel, ha det",adieu
"adkomst, henvende, innfallsvinkel, innstilling, nærme seg",approach
adle,ennoble
adle,knight someone
adle,raise to nobility
"adlyd, adlyde",obey
"administrasjon, drift, forvaltning, ledelse, ledelsen",management
administrativ,administrative
"administrere, forvalte, greie, styre",manage
"administrere, forvalte, styre",administer
"administrerende direktør, formann, president",president
"adresse, henvende, henvendelse, tiltale",address
adressebok,directory
"adskilt, tydelig",distinct
"adspre, avlede, omdirigere",divert
"adspredelse, avledning, omkjøring",diversion
"advare, formane, varsle",warn
"advarsel, formaning, varsel",warning
advokat,advocate
advokat,attorney
advokat,barrister
"advokat, jurist",lawyer
affeksjonsverdi,sentimental value
affekterthet,mannerism
"affære, anliggende, sak",affair
aften,eve
"aftens, kveldsmat",evening meal
"aftens, kveldsmat",supper
"agentur, virksomhet",agency
agere,play-act
aggresjon,aggression
"aggressiv, pågående, stridbar",aggressive
"agn, lokkemat, åte",bait
"agrar, jordbruks-",agrarian
"agurk, slangeagurk",cucumber
"akademiker, akademisk",academic
"ake, kjelke, slede",sled
"akkar, blekksprut",octopus
akkord,chord
akkreditere,accredit
akkumulator,accumulator
akkumulator,storage battery
"akkumulator, batteri",battery
"akrobat, vannglass, ølglass",tumbler
"aks, nagle, pigg, pigge, spiss",spike
aksel,axis
aksel,axle
"aksel, pil, sjakt, skaft, spyd",shaft
akselerator,accelerator
"aksent, brytning, tonefall, uttale",accent
"aksentuering, betoning",accentuation
akseptabelt,acceptable
akseptant,acceptor
"aksje, beholdning, bestand, lager, skjefte",stock
"aksje, del, dele, fordele, part",share
aksjefond,mutual fund
aksjemekler,stockbroker
aksjeselskap,limited company
aksjonær,shareholder
"akt, gjerning, handle, handling, lov, spille",act
"aktelse, an, anse, betrakte, blikk, ense, hensyn, se på",regard
"aktelse, anseelse",esteem
"aktelse, respekt, respektere",respect
"aktelse, vurdering",estimation
akter,abaft
akter-,aft
"akterdekk, hyttedekk",poop
"akterstevn, hard, streng",stern
"aktet, hederlig, vel ansett",reputable
"aktiv, virksom",active
