Other,English
,"zilch, zero, nought, nil, naught"
-fast,proof
-messig,-wise
-sentral,centre
-sikker,proof
-sinnet,minded
-tøy,-ware
-varer,-ware
Allehelgensaften,Halloween
Amerikas forente stater,United States of America
Antarktis,antarctic
Athen,Athens
Celsius,centigrade
Danmark,Denmark
Dansk,Danish
De,you
Dem,you
EU,EC
England,England
Europa,Europe
Europeer,Eoropean
Europeisk,Eoropean
Finland,Finland
Firenze,Florence
Fotgjenger,pedestrian
Frankrike,France
Fransk,French
Gud,God
Gøteborg,Gothenburg
Hellas,Greece
Holland,holland
Japan,Japan
Japaner,japanese
Japansk,japanese
Kineser,chinese
Kinesisk,chinese
Kristus,Christ
København,Copenhagen
Køln,Cologne
Latinsk,Latin
Marokko,Morocco
Moskva,Moscow
Munchen,Munich
Napoli,Naples
Nederland,"Dutchland, holland"
Nederlandsk,Dutch
Neger,Negro
Negrer,Negroes
Nordisk,Nordic
Nordmann,norwegian
Norge,Norway
Norsk,norwegian
Ole Lukkøye,Sandman
Portugisisk,Portuguese
Praha,Prague
Påske,Easter
Rødhette,Little Red Riding Hood
Skandinavia,Scandinavia
Stillehavet,Pacific Ocean
Storbritannia,"Great Britain, United Kingdom"
Sverige,Sweden
TV,television
Warsawa,Warzaw
abbed,abbot
abbedi,abbey
abbedisse,abbess
abbor,perch
abnorm,abnormal
abnormitet,abnormality
abonnement,subscription
abonnent,subscriber
abonnere,subscribe
abort,"miscarriage, abortion"
abortere,"abort, miscarry"
absolutt,"unmitigated, utter, certainly, unqualified"
absolutt nødvendig,"essential, imperative"
absorbere,"absorb, imbibe"
abstrahere,"create, think in abstract terms"
absurd,preposterous
addere,add
addisjon,addition
adel,nobility
adelig,"titled, noble"
adelsmann,"peer, nobleman"
adelsstand,peerage
adelstittel,peerage
adgang,"access, entrance, admission, entry"
adgang forbudt,no trespassing
adgangstegn,ticket
adjø,adieu
adkomst,approach
adle,"knight someone, raise to nobility, ennoble"
adlyd,obey
adlyde,obey
administrasjon,management
administrativ,administrative
administrere,"administer, manage"
administrerende direktør,president
adresse,address
adressebok,directory
adskilt,distinct
adspre,divert
adspredelse,diversion
advare,warn
advarsel,warning
advokat,"barrister, attorney, lawyer, advocate"
affeksjonsverdi,sentimental value
affekterthet,mannerism
affære,affair
aften,eve
aftens,"supper, evening meal"
agentur,agency
agere,play-act
aggresjon,aggression
aggressiv,aggressive
agn,bait
agrar,agrarian
agurk,cucumber
akademiker,academic
akademisk,academic
ake,sled
akkar,octopus
akkord,chord
akkreditere,accredit
akkumulator,"battery, accumulator, storage battery"
akrobat,tumbler
aks,spike
aksel,"shaft, axis, axle"
akselerator,accelerator
aksent,accent
aksentuering,accentuation
akseptabelt,acceptable
akseptant,acceptor
aksje,"stock, share"
aksjefond,mutual fund
aksjemekler,stockbroker
aksjeselskap,limited company
aksjonær,shareholder
akt,act
aktelse,"esteem, regard, respect, estimation"
akter,abaft
akter-,aft
akterdekk,poop
akterstevn,stern
aktet,reputable
aktiv,active
aktivert,activated
aktivitet,activity
aktivitetspakke,activity pack
aktor,prosecutor
aktuell,"topical, current"
aktverdig,"respectable, worthy"
akustikk,acoustics
akvarell,water-colour
albaner,albanian
albania,albania
albue,elbow
aldeles,altogether
alder,age
alderdom,old age
aldrende,elderly
aldri,never
alene,alone
aleneforeldre,single parent
alfabet,alphabet
alle,"everybody, each, everyone, all"
alle untatt,all but
allegorisk,allegorical
allerede,already
allergi,allergy
allergisk,allergic
allestedsnærværende,ubiquitous
alliert,ally
allikevel,"nevertheless, still, anyway"
allmektig,omnipotent
allmenn,"public, common, general"
allmenngyldig,"common good, general value"
allsidig,"all-around, versatile"
alltid,"invariably, always, ever"
allvitende,omniscient
allé,"avenue, alley"
alm,elm
alminnelig,"universal, vulgar, general, common"
alminnelig stemmerett,universal suffrage
almisse,alms
alpe-,alpine
alt,"everything, already, the lot, all"
alt i alt,altogether
altan,balcony
alter,altar
altetende,omnivorous
altfor,too
altmuligmann,handyman
altomfattende,universal
altså,so
aluminium,"aluminium, aluminum"
alun,alum
alvor,gravity
alvorlig,"earnest, grievous, grave, serious"
ambassade,embassy
ambassadør,ambassador
ambolt,anvil
amme,"wet-nurse, nurse"
amper,testy
amulett,charm
an,regard
analfabet,illiterate
analfabetisme,illiteracy
analog,analogous
analogi,analogy
