Other,English
'Ninga fika bwanji ku ....,How do I get to _____ ?
-a,add noun class character
-ake,put the appropriate nounclass
"-ambiri, kwambiri",very much
-anga,my
-anji,which
-anu,your (formal or plural)
-ao,their
-athu,our
-ba,steal
-badwa,be born
-bala,carry child on back
-bala,rising-falling
"-bala, chilonda",sore
-balidwa,give birth by
-bangula,roar
-bereka,give birth
-bisa,hide something
-bisala,hide yourself
-bowa,be boring
-buula,groan
"-bwera, -dza",come
-bwerera,return
-bweretsera,bring
-bwereza,repeat
-bweza,take back
-bwezera,return to
-bwino,good
-byala,plant
"-bzala, -mera",grow
-cha,dawn
-chala,toe
-chedwa,be late
-chenjera,be clever
-chenjeza,warn
"-chepa, -ng'ono",small
"-chepesta, pang'ono",little
"-cheza, -yendera",visit
-chezera,spend a long
-chinjera,cunning
-chinjiriza,protect
-chira,get cured
-chiritsa,make someone feel better
-chita,do
-chita,to do
-chita chiwembu,be hostile
"-chita mantha, -opa",be afraid
-chita manyazi,be shy
-chititsa mantha,scare
-chitka,happen
-chiza,administer medicine
-choka,depart
-chokera,depart from
-chotsa,remove
-chuluka,become many
-chulukana,increase
-chulukistira,compound something
-chulukitsa,multiply
-da,be dark
-da,hate
"-dabwa, -zizwa",be surprised
-dalira,depend on
-dandaula,be sad
-di,indeed
-dinda,stamp
-dodoma,taken aback
-dodometsa,make someone startled
"-dula, -tema",cut
-dutsa,cross
-dwala,be ill
-dwalitsa,make someone ill
-dwaza,care for
-dya,eat
"-dya miseche, miseche",gossip
"-dya mutu, -ganiza",think
-dyetsa,feed
-dzandila,stagger
-dzera,come for a particular reason
"-dzera, -pitirira",go past
-dziwa,know
-dziwitsa,make known
-dzola,apply to body
-dzudzula,criticize
-dzuka,wake up
"-dzuka, -uka",get up
-dzutsa,wake somebody up
-enda,walk
-fa,die
"-fala, -yala",spread
-fanana,be similiar
-fiira,be red
-fika,arrive
"-fisula, -futula",break fast
"-fooka, -lefuka",be weak
"-fotokoza, -fotokoza",explain
-fula,extract
-fulumira,hurry
-funa,want
"-funsa, funso, mafunso",question
-funsira,ask for a reason
-funsira,propose for marriage
-funtha,be crazy
-funtna,become mad
-fupi,short
-futa,erase the blackboard
-fuula,shout
-gawa,divide
-gawana,share
-gaya,grind
-gogoda,knock
-goma,salute
-gomera,take one's hat off
-gona,lie down
-gonera,sleep with
-gonja,be conquered
-gonjesta,defeat
-gula,buy
"-gulitisa, -gulitsa",sell
-gumula,demolish
-gunda,collide
-gwa,fall
-gwera,fall into
-gwetsa,drop
-gwira,grab
-gwira,to catch
-gwira ntchito,work
-gwiritsa ntchito,use
-gwirizana,get along
-i,equivalent of 'er'
-ika,put
-ima,stop
-imba,play an instrument
"-imba mluzu, mluzu",whistle
-imira,stand for
-ina,other
-ipa,be bad
-iwala,forget
-jambula,record
"-kala, -kanda",scratch
-kalamba,grow old
-kali,fierce
-kama,long time ago
"-kamba, -lankhula, -yankhula",speak
-kambirana,discuss
-kana,deny
-kangana,quarrel
-kazi,female
-kazinga,fry
-ketsa,flow
-kha,dribble
-khala,stay
-khazikika,get settled
-khazikitsa,establish
-khoma msonkho,pay tax
"-khoma, nyundo",hammer
"-khota, mphepo",wind
-khoza,be able to
-khoza,do something right
"-khoza, -tha",be able to do something
-khudza,touch upon
-khulupirika,be dependable
"-khumba, chifuniro",desire
-khumbira,covet
-kocheza,dock
-kodza,urinate
"-koka, -suta, utsi",smoke
-kola,trip (somebody)
-koma,taste good
-komalira,take lunch
-komana,meet
-konda,love
-kondwa,rejoice
-kongola,be beautifu
-konza,prepare
-konzeka,be prepared
-konzekera,be prepared for
-kopa,attract
-kopeka,attracted to
-kukuta,munch
-kula,become big
-kulu,big
-kumbuka,remember
-kumbutsa,remind
-kwata,make love
-kwatira,web
"-kwatira, -kwatitsa",marry
-kwatiwa,get married
-kwawa,crawl
-kwemba,smoke pot
-kwera,ride
-kweza,raise
-kwitisa,make angry
-kwiya,get angry
"-kwiyitsa, -utsa mkwiyo, mkwiyo",anger
-labadira,pay attention
-lakwa,make a mistake
-landa,take away
-landira,receive
-langa,advise
-langa,punish
-langidwa,get punished
-langiza,point
-laula,be obscene
-lavula,spit
-ledzera,get drunk
-lefula,weaken
-leka,quit
-lela,bring up children
-lemba,write
-lemekeza,honor
"-lemekeza, chita ulemu",To show respect
-lemera,be rich
-lenga,create
-lengeza,broadcast
-lephera,fail
-li ndi,have
-libe,not have
-lima,cultivate
-limbikira,work hard
-lingana,be equal to
-lira,cry
-lola,grant permission
"-londola, -tsata, -tsatira",follow
-longolola,yack
-longoloza,make someone involved
-longosola,repair
-lonjera,greet
"-lota, loto",dream
-lowa,enter
-luma,bite
"-lumbira, -tukwana",swear
-lumpha,jump
-lungama,be honest
-maka,mark
"-maliza, -tsiriza",complete
-manga,construct
-manga ulendo,setting out for a journey
-masula,untie
-menya,hit
-menya nkhondo,make war
-meta,shave
-meza,swallow
"-mitsidwa, -thima, -zima",extinguish
-muna,male
-mva,feel
-mva,hear
-mveka,well known
-mvera,listen
-mwa,drink
-nama,tell lies
-namiza,cheat
"-nayi, khumi n'zinayi, Nai, nayi",four
"-nena, -odila",say
-ng'amba,tear
-ng'anima,flicker
-ngati,how many
-ni,command indicator
-njenjenera,tremble
-njoya,enjoy
-no,shows proximity to speaker
-nso,also
-nyada,be proud
-nyaditsa,make proud
-nyamuka,stand up
-nyamula,lift
-nyenga,deceive
-nyenya,goof off
