Other,English
('s),(possessive)
(( Symbols )),(( Symbols ))
((...)C)                   §,(ends with a C) [specific C can be provided]
((...)V)                   §,(ends with a V) [specific V can be provided]
(...'),(obviative)
(...!),(emphatic)
(...=),(word fragment boundary)
(...0),(inanimate)
(...0X),(indefinite inanimate)
(...1),(animate first person)
(...1p)                    §,(exclusive plural animate first person)
(...2),(animate second person)
(...21)                    §,(inclusive plural animate first person)
(...3),(animate [third person])
(...3X),(indefinite animate)
(...d),(demonstrative)
(...D),(dependent)
(...i),(interrogative)
(...p),(plural)
(...X),(indefinite actor)
(?),(dubitative mode)
(+),(suffix boundary)
(<),(by/from …)
(>),(to/becomes …)
(§),(see reverse search)
(§…/…),(multi-part entry)
(A),(a to aa shift V)
(AB),((geo) in Alberta)
(AL),(E. Ojibwe/Algonkin Dialect)
(alt),(alternate)
(AR),((geo) in Arkansas)
(BC),((geo) in British Columbia)
(C(...))                   §,(begins with a C) [specific C can be provided]
(C),(consonant)
(CC),(consonant -- non-weak)
(CN),(N. Superior Ojibwe Dialect)
(cnj)                      §,"(conjunctive/""B"" Form)"
(con),(contemptive)
(CS),(S. Superior Ojibwe Dialect)
(CT),((geo) in Connecticut)
(DA),(Dakota Language)
(DC)                       §,((geo) in the District of Columbia)
(DE),((geo) in Delaware)
(dim),(diminutive)
(EN),(English Language)
(EO),(each other)
(f),(female)
(FN),(First Nation)
(FR),(French Language)
(ga),(grammatical affix)
(GE),(German Language)
(geo)                      §,((ni) of geographical place name)
(IA),((geo) in Iowa)
(IC),(initial vowel change)
(IL),((geo) in Illinois)
(IN),((geo) in Indiana)
(IR),(Iroquois Language)
(IS),(its/itself)
(KS),((geo) in Kansas)
(KY),((geo) in Kentucky)
(loc),(locative)
(m),(male)
(MA),((geo) in Massachusetts)
(MB),((geo) in Manitoba)
(MD),((geo) in Maryland)
(ME),((geo) in Maine)
(MI),((geo) in Michigan)
(MN),((geo) in Minnesota)
(MO),((geo) in Missouri)
(MT),((geo) in Montana)
(N),(n to zh shift C)
(n),(noun)
(na),(unspecified (n3))
(NB),((geo) in New Brunswick)
(NC),((geo) in North Carolina)
(ND),((geo) in North Dakota)
(NE),(Manitoulin Ojibwe Dialect)
(NH),((geo) in New Hampshire)
(ni),(unspecified (n0))
(NJ),((geo) in New Jersey)
(NL)                       §,((geo) in Newfoundland and Labrador)
(nm),(number)
(nN),(n to nzh shift CC)
(NO),(Severn Ojibwe/Oji-cree)
(nom),(proper noun/name)
(non-init),(non-initial form)
(NS),((geo) in Nova Scotia)
(NW),(Salteaux Dialect)
(NY),((geo) in New York)
(ø),(deleted/dropped)
(OH),((geo) in Ohio)
(OK),((geo) in Oklahoma)
(ON),((geo) in Ontario)
(OS),(one’s/ownself)
(OT),(others)
(PA),((geo) in Pennsylvania)
(pc),(particle)
(PE)                       §,((geo) in Prince Edward Island)
(pej),(pejorative)
(pf),(prefix)
(pr),(pronoun)
(prt),(preterit mode)
(pv),(preverb)
(pv1)                      §,(tense/aspect/mood/syntactic (pf))
(pv2),(directional (pf))
(pv3),(relative (pf))
(pv4),(lexical (pf))
(QC),((geo) in Québec)
(RD),(reduplication syllable(s))
(RI),((geo) in Rhode Island)
(RT),(root form)
(S),(s to sh shift C)
(SB),(somebody)
(SD),((geo) in South Dakota)
(SE),(SE. Ojibwe/Ottawa Dialect)
(sf),(suffix)
(SK),((geo) in Saskatchewan)
