Other,English
goeta,a
madhyaanna purbaru,a.m.(ante meridien)
parityaga,abandon
pareetyakya,abandoned
apadasta,abash
hraasa,abate
kanseikhana,abbattoir
pareehaara,abdicate
talipeta,abdomen
apaharana,abduct
bipathagaami,aberrant
mulatabee,abeyance
ghrunya,abhorent
ghrunaa,abhorrence
paalana karibaa,abide
"sambala, sambala / saamarthya",ability
samartha/sakhyama,able
nityakarma,ablution
aswaabhaabika /asaadhaarana,abnormal
basagruha,abode
bilopana,abolish
bibhatsajanaka / ghrunya,abominable
garbhapaata,abortion
prachura bhabe upalabdha,abound
uparakta,above
aanchudaa,abrasion
bidesh,abroad
pratyahaara,abrogate
aakasmika / atarkita,abrupt
feraar,abscond
palataka,absconder
anupastithee,absence
anyamanaska,absent mind
charama,absolute
sampurna sankhyagarishtataa,absolute majority
sampurna bhabe,absolutely
dosha mukta,absolve
aubososhana,absorb
aubososaka,absorbent
aubososana,absorption
nibruta,abstain
bhautika sangyaaheena,abstract
ajauktika,absurd
grahana,accept
grahaneeya,acceptable
saanidhyalaabha,access
adhisthita hebaa,accession
"durghatana, durghatana / aakasmika",accident
aupratyaashit / daibaat,accidental
abhinandana / prashansaa,acclaim
prashansaa,accolade
saujanya pradarshana,accomodating
aabaasa sthaana,accomodation
anujayee,according
hisaab,account
kayeefeeyatjogya,accountable
hisaab bidyaa,accountancy
hisaabrakhyaka,accountant
shukhshyamadarshitaa,accumen
sangraha / aaharana kareebaa,accumulate
satheek,accurate
abhisapta,accursed
doshaarop,accuse
abhijukta,accused
abhyasta,accustomed
katu,acerbic
byathaa,ache
haasala kareebaa,achieve
lakhyasiddhee,achievement
barnaheena,achromatic
sweekaar / sweekrutee,acknowledge
charama utkarsha,acme
abagata,acquaint
parichita,acquaintance
dakhala,acquire
sangruhita / arjita / praaptee,acquisition
aaharanapreeya,acquisitive
nirdosh ghosita,acquit
abhinaya,acting
kreeyaa,action
kaarjyakalaap,activity
abheenetaa,actor
prakruta / baastaba,actual
prakrutare / prakruta pakhyare,actually
prakhara / prabala,acute
prabaada / prabachana,adage
"khapa khuaaibaa, khara khuaaeebaa",adapt
sanjukta / sanjog,add
nisa pratee aasakti,addict
atirikta,additional
thikanaa / sambodhana,address
"agrasara, agrasara / agreema",advance
bigyapana,advertisement
upadesh,advice
paraamarsha,advise
"sneha, sneha / anooraaga, sneha / anooraaga/ mamataa",affection
snehi,affectionate
bhayabheeta,afraid
birudhha,against
bayasa,age
sanstha,agency
sanmmata / sammatee,agree
chuktee,agreement
lakshya,aim
satarka,alert
kumbheera,aligator
olhaaeebaa,alight
samaan bhaabare,alike
prusteesaadhana sambandheeya,alimentary
khaadyanali,alimentary canal
poshana bhatta,alimony
"samasta, samasta / samooha",all
Maida,All purpose flour Maida
aarop,allegation
aarop / abheejog,allege
aanugatya / aasakti,allegiance
asahisthutaa,allergic
upasama / laaghaba / hraasa,alleviate
sankeerna patha,alley
bandhutaa sthaapana,alliance
ekatrita / milita,allied
sarvashaktimaan,allmighty
praaye,allmost
bantana karibaa,allocate
aumatee debaa,allow
nidhista bhatta,allowance
misra dhaatu,alloy
parokhyare ullekh kareebaa,allude
pralobhana dekhaaibaa,allure
manohara,alluring
sahajogee,ally
baadaam,almond
Badam,Almonds
swaasthya samaajsebaka,almoner
bhikshyaa,alms
urdhare / uchare,aloft
"ekaanta, ekaanta / ekaaki",alone
sungare,along
paarsware,alongside
sameta,alongwith
durei rahiba,aloof
aau madhya,also
bedee,altar
kalaha,altercation
ekaantareeka,alternate
bikalpa,alternative
jadeeo,although
ucchhataa,altitude
sampoorna bhaabare,altogether
niswarthaparataa,altruism
"sarbadaa, sarbadaa / sadaabele / sadayba",always
misrana karibaa,amalgamate
ekatra / sangraha kareebaa,amass
anabhignya / dakshyataahina,amateur
bismita,amazed
bismayakara / chamakprada,amazing
raashtradoota,ambassador
sabyasaachi,ambidextrous
ekaadhika artha thibaa,ambiguous
parisara,ambit
ucchhabhilaashee,ambitious
dheere suste chaalibaa,amble
ghaata,ambush
subidhaajanaka baisistasamuha,amenities
suvidhaa sujog,amenity
bandhu bhabapanna,amiable
bandhutwapurna,amicable
madhyare,amid
bandhutwa / mitrataa,amity
smrutee haraaibaa,amnesia
smaranasakti bihina byaktee,amnesiac
unmata,amok
gahanare,among
naiteekataa baheerbhuta,amoral
pareemana,amount
gupta pranaya,amour
prachura,ample
bislesana,analysis
bislesaka,analyst
bislesana sankraantiya,analytical
araajakataa,anarchy
ghrunya bastu,anathema
purbapurusha,ancestor
langara,anchor
"puratana, puratana / ateeta sambandheeya",ancient
sahaayaka,anciliary
ebanm,and
kshyudra upaakhyaana,anecdote
punaray / aau thare,anew
paree / debadoota,angel
debataa sadrushya,angelic
krodha,anger
krodhaanwita,angrily
pasu / jantu,animal
Pana Mahuri,Aniseed
paadaganthee,ankle
paaunjee,anklet
dhwansa / nischinha kareebaa,annihilate
ghoshanaa,announcement
baarsika,annual
baarsika bhatta,annuity
neeyamara byateekrama,anomaly
naama biheenataa,anonymity
benaami,anonymous
uttara,answer
uttaradayee,answerable
satrutaa,antagonism
purba parichaya,antecedent
krusnasaara mruga,antelope
uee hunkaa,anthill
haasyajanaka kaarjya,antic
purba anumaan,anticipate
nairaasyajanaka parinatee,anticlimax
puraatana bastu,antique
asamaajika,antisocial
durbuta,antisocial element
sampurna biparita,antithesis
utkanthaa,anxiety
jekaunasee,any
alagaa bhaabare,apart
barna bidwesh,apartheid
poshaka,apparel
prakata,appear
saanta kareebaa,appease
Seoo,Apple
upakarana,appliance
prayogyajogya,applicable
prarthee,applicant
abodhaarana,appraisal
anumodana / sammatee,approval
anumodana,approve
"kshetra, kshetra / anchala",area
jukti,argument
aabheejatiya,aristocracy
samvraanta byaktee,aristocrat
baahu,arm
byabastaa,arrangement
aagamana,arrival
pahanchibaa,arrived
kutrima,artificial
Hengu,Asafoetida
aarohana,ascend
paaunsa,ash
pachaara,ask
drushteekona,aspect
apabaad / durnaama,aspersion
ichhuka,aspirant
abheelasha / aakanksha,aspiration
abhilaash,aspire
aakramana,assault
sammatee,assent
drudhokti,assert
nirdhaarana kareebaa,assess
mulyabaan sampatee,asset
"pragaadha parisrama, pragadha pareesrama",assiduity
daaeetwa debaa,assign
sahaayaka,assistant
nischita kareebaa,assure
bipathare,astray
jyotishasaastra,astrology
"abilambe, abilambe / turanta",at once
khelaalee,athlete
paramaanu,atom
nrusansa kaarjya,atrocity
salagna,attach
aakramana,attack
aabhimukhya,attitude
aakrushta,attract
aakarshana,attraction
aakarshaniya,attractive
nilaam,auction
uddhata / nirllaja,audacious
purba aavaas debaa,augur
"subha, subha / anukula",auspicious
kshyamataa nyasta karibaa,authorise
prabhutva,authority
aatmajeebanee,autobiography
swayan chaleeta,automatic
upalabhdha,available
utkata dhanalobha,avarice
prateesodh,avenge
bimaanachalaka,aviator
upeksha /prataranaa,avoid
jagrata,awake
"oopadhi /bidhan, pradaan",award
sachetana,aware
sachetanata,awareness
duraku / durare,away
phodani,awl
akshya danda,axle
gaadh neela,azure
sishu,baby
abibaahita purusha,bachelor
pachha bhaaga,back
aaga pachha,back and forth
oharijeebaa,back out
nikrusta sthaana,back seat
merudanda,backbone
atee kathina,backbreaking
baari,backyard
Kharaap,Bad
satrutaa,bad blood
duschartra byaktee,bad egg
badmijaaj,bad temper
soochaka phalaka,badge
odho,badger
kautuleeyaa pareehaas,badinage
tikta manobhaava,badtemper
kinkartavyabimudha,baffle
tholi,bag
aasabaab patra,baggage
thopa,bait
bharasaamya,balance
baaje katha / arthaheena katha,balderdash
suraveeta malam,balm
sugandhajukta,balmy
baaunsa,bamboo
bibhraanta kareebaa,bamboozle
nisedh kareebaa / nisedhaadesh,ban
tuccha / saamaanya,banal
Kadali,Banana
dasyu,bandit
aaghaat pratyaaghaat,bandy
durjoga,bane
nirbaasana / desaantikarana,banish
debaaliyaa,bankrupt
patakaa,banner
aadambarapurna bhojee,banquet
pareehaasa,banter
muno / tikhyana ansa,barb
nrusansa,barbarian
baarika,barber
gaayaka,bard
asishta / uddhata,barefaced
khali paadare,barefoot
kwocheet,barely
mulachaala karibaa,bargain
bakkala / bhukeebaa,bark
madasaalaara parichaarikaa,barmaid
prateebandha,barrier
utkantheeta,bated
snaana / gaadhoeebaa,bath
gadhuaaghara,bathroom
baarambaar aaghaat kareebaa,batter
juddha / rana / samara,battle
juddha poshaaka,battle dress
juddha khetra / rana khetra,battlefield
ardha paagala,batty
mulyanaheena alankaara,bauble
haasyatmaka o asleela,bawdy
besyaalaya,bawdy house
chitkaar kareebaa,bawl
samudra tata,beach
khudra o ujwala,beady
thanta,beak
sikhha,beam
bahana karibaa / bhaaloo,bear
nibeeda aaleengana,bear hug
sahaneeya,bearable
daadhee,beard
pasu,beast
pasu aacharana,beastly
sundara,beautiful
saundarjya,beauty
sundara sthaana,beauty spot
jehetu,because
sanketare daakeebaa,beckon
"khata / palanka, khata / palanka /sajya",bed
sajyaa ghaa,bed sore
bisrunkhalita karibaa,bedevil
kolaahalapurna abastaa,bedlaam
apareechanna / lochaa kochaa,bedraggled
bichhonaa chaadara,bedspread
"birudi, birudi / mahumachhi",bee
GOMANSA,beef
mahufenaa,beehive
sidhhaasalakha jeebaa,beeline
mada,beer
ghateebaa,befall
purbaru,before
aaguaa / purbaru,beforehand
bandhutaa kareebaa,befriend
hattabudhhi kareebaa,befuddle
janaka kimbaa baapaa hebaa,beget
bhikaari,beggar
aarambha,begin
anabhignya byaktee,beginner
eershyaa / dwesha kareebaa,begrudge
thakeebaa,beguile
pakhyaru,behalf
aacharana pradarshana,behave
chaaleechalana / aacharana,behaviour
mundakaat,behead
vishaala praanee / padartha,behemoth
aadesh / anurodh,behest
pachhare,behind
krutagnya,beholden
aabasyaka hebaa,behove
steethhee / abastithhee,being
beelambeeta,belated
heudee maaribaa,belch
utpeedana kareebaa,beleaguer
bhool dhaaranaa debaa,belie
dhaaraana / biswaas,belief
kalahapriya aacharana,beligerence
nyuna kareebaa,belittle
radee chhadeebaa,bellow
peta,belly
naavee,belly button
petara jantranaa,bellyache
jinisapatra / aasabaabpatra,belongings
priyajana,beloved
nimnare / taule,below
bilaap karibaa,bemoan
bivraanta,bemuse
maanabindoo,benchmark
nuaaeenbaa / bakra karibaa,bend
taule,beneath
subhakaamana,benediction
daana,benefaction
hitakaaree,benefactor
hitakaara,beneficial
bikaasa mulaka kaarjya,beneficial work
upakruta byaktee,beneficiary
upakaar,benefit
Buta,Bengal gram
Buta dali,Bengal gram (Split)
agyna,benighted
dayaalu,benign
ichhapatra sampattee,bequest
shokaatura / shoka santapta,bereave
bancheeta,bereft
kolee,berry
prarthanaa / nibedana kareebaa,beseech
pakhare / sangare,beside
abarodh kareebaa,besiege
moheeta,besotted
chasamaajukta,bespectacled
sarvottama / shreshtha,best
sadupajog,best use
suvechha,best wishes
biswasghaat,betray
uttama,better
madhyare,between
madhyama maarga,betwixt
suswaadu paaneeya,beverage
saabadhaan / satarka,beware
sammohita baa mantramugdhha,bewitch
aara paakhare / anya pate,beyond
purba matara pravaab,bias
dueesirista pesee / baaku pesi,biceps
chota bisayare kalaha karibaa,bicker
nilaam karibaa,bid
apekhya karibaa,bide
bada,big
duee patnee grahana,bigamy
garbee,bigheaded
udaara,bighearted
andhabiswaasee,bigot
pradhana byaktee,bigshot
duee pakhya bisista,bilateral
pitta,bile
dueebhaasee,bilingual
bandheebaa,bind
bandhaalee,binder
bandhana,binding
durabikhsyana jantra,binocular
dueepada,binomial
jaibabibhinnataa,biodiversity
jeeba sambandheeya,biological
duiansa bisista,bipartite
dueemeru / dueedhruba,bipolar
pakhi,bird
janma / utpattee,birth
janmagata adhikaar,birthright
maeensee,bison
chota khanda,bit
tanna tanna kari,bit by bit
aakrosha paraayana,bitchy
kamudeebaa,bite
peetaa / tikta,bitter
advoota,bizarre
anyatha gapibaa,blab
kala,black
aaghaat jogu bibarna,black and blue
Biri dali,Black gram
Biri,Black gram (whole)
kalaa pattaa,blackboard
neecha / khala loka,blackguard
bhaya dekhaai artha aadaay,blackmail
baalungaa,blacksheep
kamaara,blacksmith
dosha debaa / aarop karibaa,blame
sweta padibaa,blanch
durbala,bland
khusamad,blandish
kambala / ghodei debaa,blanket
uchha sabda karibaa,blare
udaasina,blase
bisforana,blast
utkhepana,blast off
lajyaahina,blatant
ujuala agnisikhaa,blaze
rangaheena / neerasa,bleak
trutee,blemish
misrana karibaa / misijeebaa,blend
aashirvaad,bless
ghrunya byaktee,blighter
drushteeheena / andha,blind
eka muhaan gali,blind alley
drushtee parisara bahaare,blindspot
photokaa,blister
prabala bimaana aakramana,blitz
prabala tushaarpaat,blizzard
phulibaa,bloat
eka topaa,blob
abarodh karibaa,block
nirbodha,blockhead
rakta,blood
rakta bisaakteeekarana,blood poisoning
raktachaapa,blood pressure
rakta samparka,blood relation
bhayaanaka,bloodcurdling
prasfutita / phuteebaa,bloom
unnateera prathamaabstaa,blossom
kalaa daaga,blot
phunkeebaa / pabana kareebaa,blow
spastabaadee / daadhabihina,blunt
aspasta,blur
deha,body
SIJHA,boil
pustaka / bahi,book
seemaanta,border
dhanu sara,bow&arrow
baalaka,boy
PAUNRUTI,bread
bhaangiba / ulanghana,break
chaatee,breast
aunaniswaasee,breathless
utkocha,bribe
besyaalaya,brothel
aagata,brought forward
baaltee,bucket
nirmaana saamagree,building materials
jwalanta,burning
bus,bus
byabasaaya,business
byabasaayee,bussinessman
byasta,busy
ghee,butter
prajapati,butterfly
kraya,buy
kreta,buyer
kala bala kausale,by hook or by crook
Bandha Kobi,Cabbage
taara guchha,cable
gupta jineesha baa dhana,cache
praved karutheebaa chinha,cachet
kukudaa paree bobaaibaa,cackle
karkasa swara baa sabda,cacophony
naagapheni,cactus
asaadaachaaree,cad
saba sadrushya,cadaverous
neecha / asista,caddish
senaara mula srenee,cadre
pinjaraa,cage
satarka bhaabare,cagey
gopana chukteere samprukta,cahoots
phusulaaeebaa,cajole
hisaaba,calculation
hisaabi,calculative
baachhuree,calf
badhira charma,calloused
nischala / saanta,calm
bandhutwa,camaraderie
asila,came
oto,camel
sibira,camp
abheejaan,campaign
karpoora,camphor
hataa,campus
Tume bax ti ku athai paribaki,Can you lift the box?
radda,cancel
baatil,cancelled
karkata roga,cancer
nishkapata / spastavadee,candid
praarthee,candidate
prartheepatra,candidature
mahambatee,candle
misiree,candy
beta,cane
topa,cannon
sarua haalukaa dongaa,canoe
"kshyamataa, kshyamataa / saamarthya",capacity
olateebaa,capsize
mugdha,captivated
mantramugdhhakaari,captivating
kabjaa,capture
Gujurati,Cardamom
jatna,care
jatnataara  sahita,carefully
jatnabaan,caring
Gajar,Carrot
kaartoos,cartridge
Kaju,Cashew nut
jaatee,caste
bilei,cat
Phool Kobi,Cauliflower
kendra,centre
utsava,ceremony
chowkee,chair
aawhaana,challenge
soojog,chance
paribartana,change
charitra,character
charitra gathana,character building
durachaari / lampata,characterless
kamaneeya,charming
"nirdhaarana, nirdhaarana / tadarakh",check
"CHHENA, GHEEAA",cheese
raasaayanika,chemical
Buta,Chick Peas
KUKUDA,chicken
santaana,child
China,Chinese
pasanda,choice
girijaghara,church
Khatta,Chutney
aparaadh,cime
Dalchini,Cinnamon
Teja Patra,Cinnamon leaf
karataali,clap
safaa,clean
nirmala / swacha,clear
chatura,clever
aarohana / chadhiba,climb
nibuja,closed
udjaapita,closing
Labanga,Cloves
koeelaa,coal
tateeya,coastal
upakulabarti anchala,coastal area
Nadia,Coconut
"sangatheeta, sangatheeta / sangraha",collect
sangraha / sambhaara,collection
samabeta,collectively
ranga,colour
barnaheena,colourless
paaniyaa,comb
aasa,come
sansparsha,come in contact
saadhaarana,common
saadharana gyana,common sense
tulana,compare
"pratijogi, pratijogi / pratidwandee",competitor
abheejog,complaint
sampoorna,complete
kathaa rakheebaa,compliant
jatila,complicated
samaadhaana,compromise
ekaagrataa,concentration
nirupana,conclude
siddhanta,conclusion
abastaa / paristithee,condition
samabedana,condolence
aabadhha karibaa,confine
dwanda,confusion
sambandha,connection
samparka bichhinna,connection fail
kramaagata,consecutive
rakshyanasheela,conservative
bichaara,consider
nirmaana,construction
graahaka / upabhoktaa,consumer
sansparsha,contact
sandharva,context
nirantara,continuously
niyantrana,control
rosei / raandhibaa,cook
bhata,cooked rice
samabaaya samity,cooperative society
nakala,copy
Dhania Patra,Coriander leaves
Dhania Gunda,Coriander powder
Dhania,Coriander seeds
sansodhana,correction
"durneeti, durneeti / bhrashtaachaar",corruption
tulaa,cotton
pratiaakramana,counter attack
gananaa,counting
kutchery,court
agana,courtyard
aabruta,covered
gaai / gomata,cow
guhala,cowshed
srustee,create
srujjanasheelata,creativity
aparaadh,crime
aparaadhee,criminal
sochaniya,critical
samaalochanaa,criticize
samaalochana,critisize
ateekrama,cross
nisthura,cruel
bhusudibaa,crumble
chaasa,cultivation
saanskrutika,cultural
sanskruti,culture
Jeera,Cumin
Jeera,Cumin seeds
"dhoorta, dhoorta / chatura",cunning
Dahi,curd
Tarkari,Curry
abhisapta,cursed
abhisapta jeebana,cursed life
rukshya,curt
graahaka,customer
kaatibaa,cut
dainika,daily
nitya byabahaara,daily use
bipada,danger
andhaara,dark
Khajoor,Dates
Kanya / putree,daughter
Kanya,Daughter
dina,day
paaradina,day after tomorrow
dibaswapna,day dream
marana /mrityu,death
"nirdharita, nirdharita / nispati",decide
nispati,decide / decision
"nirdharjya /, nirdharjya / nirnaya",decision
nirnaayatmaka,decisive
ghosanaa,declaration
ghoseeta,declared
saundarjya bardhaka,decorative
hraasa,decrease
gabheera,deep
"parajeeta, parajeeta /parasta",defeat
daabi / chaahidaa,demand
ghana,dense
bibhaga,department
pratyaabartana,departure
nirvara,depend
nirvarjogya,dependable
nirvarasheela,dependent
abasaada,depressed feeling
banchita,deprive
gabheerataa,depth
"abarohana / olei, abarohana / olheiba",descend
barnanaa,describe
barnanaa,description
kaamana / ichha,desire
MIHTA,dessert
gantabyasthala,destination
karmaa / karmafala,destiny
dhwansa,destroy
binaasha,destruction
bikaasha,development
bahirbhuta,deviate
upasaka,devotee
bhakti,devotion
kaakara,dew
sabdakosha,dictionary
Tu madhyana bhojana kal ki?,Did you have your lunch?
"paarthakya, paarthakya / prabheda",difference
mataved,difference of opinion
bhinna,different
"kathina, kathina / kashta",difficult
deega,direction
nirdeshaka,director
anusashana,discipline
aavishkaara,discover
aalochana,discuss
aalochanaaa,discussion
byadhee,disease
samparkaheena bhaabare,distant
bitarana,distribute
zilla,district
bibhraata,disturbance
bibhakta,divide
harana,division
Tume mote bholapao ki?,Do you love me?
Kana aapana kahi paribe?,Do you speak...
doctor,doctor
kukura,dog
sankaa,doubt
sandehajanaka,doubtful
poshaaka,dress
Peeba,Drink
paaneeya jala,drinking water
budibaa,drown
