Other,English
Abo ta bai skol?,Do you go to school
Afganistan,Afghanistan
Afrika,Africa
Albania,Albania
Aleksandria,Alexandria
Alemania,Germany
Algeria,Algeria
Angola,Angola
Antia,Antilles
Antigua,Antigua
Anunsiashon,"Annunciation, Lady Day"
Arabia,Arabia
Argentina,Argentine
Aruba,Aruba
Asenshon,Ascension
Asia,"Asunshon, Asia"
Asunshon,Ascencion
Atlántiko,Atlantic
Babilonia,Babylonia
Barbados,Barbados
Benezuela,Venezuela
Berlin,Berlin
Biernasanto,Good Friday
Biernèsanto,Good Friday
Biernèsantu,Good Friday
Bolivia,Bolivia
Bon Aña!,Happy New Year!
Bon Pasco!,Happy Easter!
Bon bini,welcome
Bon dia!,Good morning
Brasil,Brazil
Buda,Buddha
Bulgaria,Bulgaria
Bètlehèm,Bethlehem
Bélgika,Belgium
Chili,Chile
China,China
Con ta bo nomber?,How is your name?
Corda skribi mi bek!,Write me soon!
Cua?,Which?
Cuanto?,How much?
Dinamarka,Denmark
Djos,God
Dominikano,Dominican Republic
Día di Aña Nobo,New Year's Day
Día di tur Difuntu,All Soul's Day
Día di tur Santu,"All Hallows, All Saints' Day"
Egipto,Egypt
Ekuador,Ecuador
Etiopia,"Ethiopia, Abyssinia"
Filipina,Philippines
Finnlandia,Finland
Fransha,France
Fransia,France
Galisia,Galicia
Gresia,"Greecce, Greece"
Guatemala,Guatemala
Haiti,Haiti
Hamaika,Jamaica
Hapon,Japan
Hesukristo,Jesus Christ
Hesukristu,Jesus Christ
Honduras,Honduras
Huebes santu,Maundy Thursday
Hulanda,"Holland, The Netherlands"
India,India
Indonesia,Indonesia
Inglatera,England
Irak,Iraq
Iran,Iran
Iran,persia
Israel,Israel
Italia,Italy
Jufrow,Miss
Kanada,Canada
Kaprikornio,Capricorn
Kastia,Castile
Kenia,Kenya
Kolombia,Colombia
Korea,Korea
Kosta Rika,Costa Rica
Kristo,Christ
Kristu,Christ
Kuba,Cuba
Kòrsou,Curaçao
Laman Karibe,Caribbean Sea
Lamá Karibe,Caribbean Sea
Maroko,Morocco
Mars,Mars
Mener,"Mister, sir"
Merka,United States
Mi ta bini di...,I am coming from...
Mèksiko,Mexico
Nigeria,Nigeria
Nikaragua,Nicaragua
No lubidá!,Don't forget!
Noruega,Norway
Oropa,Europe
Osean Atlántiko,Atlantic Ocean
Oustralia,Australia
Pabien!,Happy Birthday!
Panamá,Panama
Paraguai,Paraguay
Pasko,"Christmas, yule"
Pasko Grandi,Easter
Pasku,"Christmas, yule"
Pasku Grandi,Easter
Pentekòste,"Pentecost, Whitsunday"
Perú,Peru
Pirineo,Pyrenees
Polonia,Poland
Portugal,Portugal
Repúblika Dominikano,Dominican Republic
Repúblika Dominikanu,Dominican Republic
Roma,Rome
Ruba,Aruba
Rumania,Romania
Rusia,Russia
Sahara,Sahara
Spaña,Spain
Suisa,Switzerland
Sur-Afrika,"South Afrika, South Africa"
Sürnam,Surinam
Tunesia,Tunisia
Turkia,Turkey
Ulanda,"Holland, The Netherlands"
Unda e bar ta?,Where is the bar?
Unda e playa ta?,Where is the beach?
Unda mi kamber ta?,where is my room?
Uruguai,Uruguay
Vatikano,Vatican
Venus,Venus
Viena,Vienna
Viètnam,Vietnam
Yava,Java
Yehova,"Jevovah, Jehovah"
Yerusalèm,Jerusalem
Yupiter,Jupiter
Zambia,Zambia
Zelandia,Zealand
a kousa di,"because of, through (1), on account of, owing to"
aanmaning,"exhortation, admonition"
abatuar,"abattoir, slaugtherhouse"
abdikashon,"abdication, abdcation"
abdiká,"to abdicate, to resign"
abdómen,"abdomen, belly"
abeha,bee
abestrus,ostrich
abismo,"abyss, precipice, gulf"
abismo precipicio,chasm
abla,"language, tongue"
abo,"ye, you, thou"
abogado,"solicitor, lawyer, intercessor, counsel, advocate"
abolishon,"abolition, abrogation"
abolí,"to abolish, to abrogate"
abominabel,"disgusting, abhorrent, abominable, nauseous, alien"
abonado,subscriber
abono,subscription
aborto,"abortion, miscarriage"
abortá,to abort
aboso,"ye, you, thou"
abou,down
abou di,"below, under, underneath, beneath"
abreviashon,abbreviation
abreviá,"to abbreviate, shorten"
abrupta,"abrupt, sudden"
abundansha,abundance
abundansia,"abundance, plenty"
abunsansha,plenty
abuso,abuse
acercá,"to come close, to come on, to advance"
adaptabel,"suitable, of use"
adaptashon,"adaptation, adjustment"
adaptá,"to apply, to adapt, to adjust, place, to practice"
adbómen,lower part of the body
adekuá,"suitable, of use"
ademas di,"apart from, except, except for, besides"
aden,inside
ader,vein
adoptashon,adoption
adoptá,to adopt
adorabel,adorable
adoradó,"worshiper, adorer"
adorá,"to adore, to worship"
adresá,"to adress, to address"
adrès,"adress, address"
adulto,"adult, full-grown"
aeroplanu,aircraft
afabel,"affable, kind, friendly"
afabilidat,kindness
afecto,affection
afirmashon,assent
afirmativo,affirmative
afirmá,"to affirm, to say yes"
afligí,"to grieve, to afflict"
aflikshon,affliction
afrikanchi,African marigold
afrikanu,African
afzènder,sender
afèr,"affair, matter, case, business"
agensia,agency
agente,agent
agitashon,"agitation, flutter, excitement"
agonia,"agony, death throes"
agosto,August
agradabel,"enjoyable, nice, pleasant, lovely, agreeable"
agradesidu,thankful
agrario,"agrarian, farm, agricultural"
agregashon,"addition, adjunct"
agregá,"to add, add"
agreshon,"aggression, aggro"
agresivo,"aggresive, aggressive"
agresor,"aggressor, assailant, attacker"
agrikultor,"farmer, agrarian"
agrikultura,"agriculture, tillage, farming"
agènda,"agenda, appointment book"
ainda no,not yet
aira,air
aire,air
airodinámika,aerodynamics
aironauta,aeronaut
airoplano,"aeroplane, plane"
airopuerto,airport
airu,air
aisna,as
aistensia,aid
aistènt,aid
aistí,aid(1)
akademia,academy
akadémiko,academic
akaso,"sometimes, several times"
aki,"here, this way, hither"
aklarashon,"explanation, account"
aklará,"to explain, to account for, to clarify"
aklimatisá,to acclimatize
akohé,"to receive, have, to get (1)"
akomodashon,accomodation
akomodá,accomodate
akontesimentu,"chance, event"
akontesimientu,"occurence, opportunity"
akontesé,"to happen, to occur, to come about"
akordeon,accordion
akordeonista,"accodionist, accordionist"
akrobat,acrobat
akseins,"excise, execise-duty"
akseptabel,acceptable
akseptá,"to accept, to take, to take in, to receive"
akshon,"action, accomplishment, achievement, act, activity"
aksidental,"accidental, random, chance, adventitious"
aksidentalmente,by accident
aksidente,accident
aksènt,"accent, stress"
aktitut,attitude
aktividat,"activity, vigour"
aktivo,"active, in action"
aktivá,"activate, to turn over, to start, to swotch on"
akto,"act, accomplishment, achievement, action, diploma"
aktor,actor
aktris,actress
aktua,act
aktual,"current, up-to-date, topical, present-day, present"
aktualidat,topicality
akuario,aquarium
akuedukto,aqueduct
akuerdo,accord
akuerdo,"accordance, chord, concord, concurrence, agreement"
akumulashon,accumulation
akumulá,"to accumulate, to stack, to pile up, to heap"
akusado,"accused, defendant"
akusadó,accuser
akusashon,"accusation, accusal"
akusativo,accusative
akusá,to accuse
ala,"wing, fin"
alabansa,praise
alabaster,alabaster
alabá,"praise, to praise, laud, to commend"
alafin,"at last, at long last"
alakran,scorpion
alarm,alarm
alarmante,alarming
alarmá,"to alarm, to sound the alarm, to raise the alarm"
albem,album
alegre,"cheerful, merry, happy, gay, glad"
alegria,"joy, gladness"
alegría,"joy, gladness"
alein,alum
aleman,German
alfabèt,"alphabet, ABC, rudiments, eelements"
alfabétiko,alphabetical
algebráiko,algebraic
algu,"something, anything"
algun,"some, any, a few"
aliansa,alliance
aliento,"breath, respiration"
alimentashon,alimony
alimento,"food, nourishment"
alimentá,"to feed, to nounrish"
aliterashon,alliteration
alkansabel,accessible
alkansá,"to achieve, to accomplish, to reach, to get (1)"
alkoholismo,alcoholism
alkoholista,alcoholic
alkohòl,alcohol
alkohóliko,alcoholic
alma,soul
almanak,almanac
almender,almond
almendra,almond
almuerso,"lunch, snack"
alopiá,gallop
aloé,aloe
alsera,"sidewalk, pavement"
altamente,"very much, very, quite"
altar,altar
alternativo,"alternative, option"
altu,"tall, lofty, high"
altura,"height, altitude"
altá,altar
aluminio,aluminium
alérgiko,allergic
alòp,gallop
amabel,"kind, nice, pretty, dainty"
amaka,hammock
amandel,"almond, tonsil"
amanesé,"morning, dawn, daybreak"
amante,lover
amargura,"bitterness, acerbity"
amatùr,"amateur, fancier"
amazona,Amazon
ambei,haemorhoids
ambishon,ambition
ambisioso,ambitious
ambos,both
ambulans,"field hospital, ambulance"
amenasa,"menace, threat"
amenasá,"to menace, to threaten"
ami yama...,my name is...
amiga,"friend (woman), friend"
amigu,"friend (man), friend"
amikal,friendly
amistat,friendship
amoniak,ammonia
amor,"love, affection"
amplia,"enlarge, increase, augment"
amputashon,amputation
amputá,to amputate
amtenar,"official, officer"
amèn,amen
analfabeto,illiterate
analfabétiko,illiterate
analisá,"to analyse, to analise"
analogia,analogy
analítiko,"analytical, analytic"
analógiko,analogous
anan,they
anarkia,anarchic
anarkismo,anarchism
anarkista,anarchist
anasa,"pineaplle, pineapple"
anatomia,anatomy
anatómiko,anatomical
anchu,broad
anchura,width
anedókta,anedocte
anemia,anaemia
anfiteatro,amphitheater
angel,angel
angelikal,angelic
anglikano,Anglican
angua,needle
anhelo,longing
anhelá,"anche, yearn, ache, long for"
animal,"animal, beast"
anis,anise
anke,"anchor, though, although"
anochi,"at night, in the evening, during the night"
anos,"us, we"
anotashon,"note, annotation"
ansia,fear
anskun,"glove, mitten"
antaeyra,the day before yesterday
antes,"previously, formerly, ahead"
antes cu,"across from, previous to, before"
anti,"upon, across from, opposed to, opposite, against"
antiano,Antillian
antibiótika,antibiotic
antifas,mask
antiguo,"old fashioned, out of date"
antik,"ancient, antique"
antikuado,"old fashioned, out of date"
antikuá,"old fashioned, out of date"
antipatia,"aversion, dislike"
antipátiko,nasty
antiséptiko,antiseptic
antiwa,"old fashioned, out of date"
anto,then
antoho,"desire, want, wish"
antologia,"anthology, chrestomathy"
antorcha,torch
antropologia,anthropology
antropólogo,anthropologist
antèna,"antenna, aerial"
anual,"yearly, annual"
anulashon,abolition
anulá,"to abolish, to abjure, to abrogate, to remit"
anuncía,"announce, to give notice, to advertise"
anunsio,"advertisement, ad"
anzué,hook
análisis,analysis
anónimo,"anonymous, without a name, nameless"
aparato,"apparatus, set, device"
aparecé,to emerge
aparensia,appearance
aparentemente,"apparently, seemingly"
aparesé,"appear, to perform, to appear"
aparishon,appearance
apart,"apart, separate, special, particular"
apartamento,"flat, apartment"
apartá,"to separate, to divide"
apatia,"apathy, anpathy"
apel,apple
apelashon,appeal
apelmus,apple-sauce
apelsina,orange
apelá,to appeal
apenas,"only just, scarcely, hardly, barely"
aperitivo,"dram, snifter, snorter, nip, peg"
apertura,"opening, aperture"
apesar,"in spite of, notwithstanding, despite"
apetit,appetite
aplasá,"to postpone, to adjourn, to delay"
aplikashon,"application, use, employment"
apliká,to apply
aplo,apple
aploudí,"to clap, acclaim, to applaud"
aplouso,"acclamation, acclaim, approval"
apnormal,abnormal
apostròf,apostrophe
apostóliko,apostolic
apoyá,"to support, to sustain, to lean, to encourage"
apreciado,dear
apreciá,to appreciate
aprel,April
aprikòt,apricot
april,April
aprobashon,"approval, acclaim"
aprobá,to approve
aprokisimadamente,about
aproksimadamente,approximately
apsolutamente,absolutely
apsoluto,absolute
apstrakshon,abstraction
apstrakto,abstract
apsurdo,absurd
apusina,orange
apátiko,apathetic
apèndisítis,appendicitis
apòstel,apostle
ara,plough
arabir,"Arabian, Arab, Arabic"
araña,spider
archipiélago,archipelago
arena,arena
arestá,to arrest
argentinero,Argentine
argif,"archives, redords, files, archive/s"
argumentashon,argumentation
argumento,"argument, plea"
argumentá,maintain
ariba,"above, upon, upstairs, on, on top, over, overhead"
aristokrasia,aristocracy
aristokrat,aristocrat
aristokrátiko,aristocratic
aritmétika,arithmetic
ariña,"fluor, meal, flour"
arkaismo,archaism
arkangel,archangel
arkeologia,archaeology
arkeológiko,archaeological
arkeólogo,archaeologist
arkitekto,architect
arkitetura,architecture
arkitetóniko,architectonic
arma,arm
armbant,bracelet
armonia,harmony
armonioso,harmonious
armonisá,"to accord, to harmonize, to fit together"
arogante,arrogant
arohá,"to throw up, vomit, throw up"
aroma,"aroma, flavour"
aromátiko,"aromatic, nutty, fragant"
aros,rice
arpa,harp
arshitèkt,architect
arsobispu,archbishop
arséniko,arsenic
arte,art
arteria,artery
artifisial,artificial
artista,artist
arubano,Aruban
arubiano,Aruban
as,"ace, bait"
asbak,ashtray
asbèst,asbestos
asbèstro,asbestos
aseituna,olive
aseptabel,acceptable
aseptá,"to accept, to take, to take in, to receive"
asera,"pavement, sidewalk"
aserka,nearby
asesino,"murder, murderer"
asesiná,to murder
asfalt,asphalt
asfaltá,to asphalt
asil,asylum
asimilashon,assimilation
asimilá,to assimilate
asina,"such, that, that way, thus, so, like that"
asistensia,"help, aid"
asistent,helper
asistènt,"helper, assistant"
asistí,"to assist, to witness, abet, accomodate, to help"
asiátiko,"Asiatic, Asian"
asma,"asthma, wheeziness, shortness of breath"
asmátiko,"asthmatic, wheezy"
asombro,"wonder, surprise, astonishment"
asombroso,"astonishing, amazing"
asombrá,to wonder
asonbrá,to marvel
aspekto,"aspect, view, sight, look, appearance"
aspirashon,"aspiration, ambition"
aspirin,aspirin
aspirá,"to aspire, to hope for"
asta,even
asta la vista,"goodbye, so long, bye"
astrologia,astrology
astronomia,astronomy
astronómiko,"astronomical, astronomic"
asuntu,"affair, matter, case, business"
ata,"behold, there, look, here is/are"
ata aki,here is the...
ataka,"attack, access, aggression, assault"
atakad,assailant
atakadó,"aggressor, assailant, attacker"
ataká,to attack
atardi,afternoon
ateismo,atheism
atenshon,"attention, acuity, advertence, advertency"
atento,attentive
athetivo,"adjective, adjectival"
atkirí,"to obtain, to achieve, acquire, to get, to attain"
atkisishon,"acquisition, accession, gain"
atlas,atlas
atleta,athlete
atletismo,athletics
