Other,English
'ayin,'
Wage,A war
"cabax quot, paqta quot, quot",abundance
mhecib quot,accountant
Xišmat,achievement
Edam,Adam
ašl,adjacent
"xazar, xezrat",aid
Kil,all
'hd,alone
Mazbah,altar
ab,ancestor
ww,and
macah,anoint
"khl, khl",antimony
baxel heric,architect
yad,arm
"Mhannat, šaba, sb'",army
hoš,arrowhead
emmen,artisan
aynook,Arwad Island
arac,ask
habr,associate
naqam,avenge
beet,b
šohr,back
jilleb,barber
Malhamit,battle
"bšy, ken",be
y'bd,be lost
s'r,be small
yolod,bear (children)
"zaqn, zkn",beard
Bi'rut,Beirut
"bat'n, kirc",belly
berak,bless
barkit,blessing
"damm, dume",blood
sm,bone
gbl,border
"ibsit, Ijjen, jolon",bowl
"arn, urnit",box
"ah, ah', hay",brother
bini,build
našab,Build
binne,builder
"bena, mabnat, maqarr",building
qabar,bury
t'abah',butcher
Jbeil,Byblos
xijil,calf
gl,calf'
syprm 'rrm,calling birds
nujjar,carpenter
xajlit,cart
nasak,cast
nissek,caster
"baqar, bkr",cattle
yalad,child
ec,citizen
dar,clan
kisy,cloth
phm,coal
"h'allit, urn, urnit",coffin
h'abr,colleague
asop,collect
'kn',color of lapis lazuli
xamud,column
"b'e, hlk",come
yerid,coming
jazal,confiscate
qaddac,consecrate
akal,consume
dgn,corn
taman,cost
bin xam,countrymen
kisi,cover
"emmen, heric",craftsman
kammum,cumin
nebel,cup
isi,cure
xurrab,custodian
"h'rz, mexrab",custody
daalet,d
bitt,daughter
yawm,day
mot,death
Nasah',defeat
callam,deliver
berah',depart
yarad,descend
abed,destroy
abed,devastate
met,died
xapar,dirt
xakkar,disturb
xakrate,disturbance
kalb,dog
klbm wgrm,dogs and whelps
"dalet, dlt",door
shb,drag
Sih'h'eb,drayman
Kil,each
abiib,ear of corn
"'rs', arš, erš, urš",earth
"'kl, akal",eat
"h'ajr, h'ašr",enclose
ib,enemy
pilles,engineer
rah'h'ab,enlarge
b',enter
dor,era
"mih'iq, mih'y",erase
bini,erect
Kil,every
naqab,excavate
naxxum,excellent
jarac,expel
pn,face
"ahel, dr, ozrat",family
mazrax,farm
"hlb, tbrt",fat
ab,father
abat,fathership
jar,fear
ujrat,fee
h'iss,feel
srt,fellow wife
acta,female
"cadd, šd",field
mala,fill
tm,finished
"'s, ec",fire
beker,firstborn
"noon, nun",fish
"š'r, Sha'ur",flesh
pim,foot
la,for
b'mr 'm bgd,for a lamb
m-'šn 'urn,for burning
kirc,form
"h'amet, hemyet",fortress
arbxiim,fourty
ahiim,fraternity
daxt,friendship
"bid, min",from
pr,fruit
pajax,fulfill
giimel,g
sayd,game wild
cexer,gate-keeper
asop,gather
"adon, malik",gentleman
nixmat,gift
barky,Gift
yaton,give
ruh,go
"gd', jady, xazzi",goat
qabux,goblet
Iil,god
Iylit,goddess
mniih,good
hin,grace
hanun,gracious
bin bin,grandson
qabr,grave
adiir,great
ab adiir,great father
jajax,greedy
surby,group
nsr,guard
hë,h
hët,h'
Mhos,half
"yad, yd",hand
acar,happiness
sus,hawk
"r'š, ra'c",head
rapa',heal
šlm,healthy
cmax,hear
"lb, lib, lib",heart
camiim,heavens
xazar,help
edr,herd
han,here
gbr,hero
b'r,hole
quddoc,holy
waw,hook
krn,horn
sys,horse
"bet, byt",house
Edam,human
mi'at,hundred
mhur,hurry
bal,husband
"'nk, ana",I
ima,if
b,in
darak,infantary
nahal,inherit
racam,inscribe
"bjuwwa, juwwa",inside
celim,intact
mullas,interpreter
ay,island
milhim,joiner
yslt,joint
dariik,journey
kaf,k
sp,kind of vessel
adon,king
matbah,kitchen
"yd', yidxe",know
laamed,l
"dt, iddet",lady
'mr,lamb
Miqdeh,lamplighter
dmt,land
lasoun,language
kbiir,large
Libnen,Lebanon
berah,left
ktebit,letter
"qadah, ur",light
kama,like
pasht,linen
gr,lion whelp
mšrt,list of duties
"hiwi, hiyi",live
'rk,long
'd,lord
hob,love
mhib,lover
meem,m
'mt,maid
"ec, jeber",male
Aynun,Malta
"'dm, Edam",man
"rb, šgy, šgy-t",many
balal,mash
Baxlheric,master craftsman
caxur,meat
seher,merchant
"jabrut, xizz",might
haliib,milk
lib,mind
yerih,month
yerih,moon
parxac,mosquito
imm,mother
xakbur,mouse
p-y,mouth
rajal,move
Hiram,my brother is exalted
murr,myrrh
nun,n
summar,nail
šm,name
xamm,nation
xapriit,netherworld
"hadiic, hdš",new
"leil, ll",night
la,no
"'l, 'y",not
minhit,offering
zarex,offspring
"camn, šmn",oil
qadiim,old
zet,olive
xi,on
'hd,one
basal,onion
patah,open
patha,opening
yatiim,orphan
bint,own
bil bk'r,owner of large cattle
bil idr,owner of small cattle
alep,ox
pee,p
ta'im,pair
maxbar,passage
r',pasture
rabad,pave
calem,peace
"edamim, gooy",people
napac,person
rippe,physician
zabr,pitcher
maqam,place
Matxum,plant
tih,plaster
Mutah,plasterer
matuh,plastering
hrace,ploughing
maskiin,poor
malak,possess
diq,powder
jabrut,power
'dr,powerful
"khn, kmr",priest
Kehin,Priest
Kehinit,Priestess
Orsit,Province
shb,pull
taher,Pure
qoof,q
reeš,r
Ijdi,Raid
"Ayyil, Yibil",Ram
Mijleb,Razor
malak,Reign
Xammi,Relative
"Yoskor, Yzkur",Remember
haddac,Renovate
Ca'al,request
arac,Request
hallas,Rescue
Micl,Resemblance
Cakab,Rest
haddac,Restore
ksrt,ribs
siddiq,Righteous
Qam,Rise
drk,road
dariik,Road
Janab,Rob
Jej,Roof
šrš,root
Ciric,Root
malak,Rule
brh,run away
"saadee, saamek, sin",s
šin,š
"Izram, Zabah, Zabeh",Sacrifice
hebil,Sailor
Bayxat,Sale
Mekir,Salesman
Ocrit,Sanctuary
Jurrar,Sawyer
"Dabar, mr",say
"Amr, Dabar",Say
Roh,Scent
Jarad,Scrape
Majrud,Scraper
Yam,Sea
"hatm, tabxat",Seal
hetim,Sealer
"'mr, hzy, hzy, r'y",see
zrx,seed
zarex,Seed
Catle,Seedling
Baqqac,Seek
npš,self
Makar,Sell
"Adyriim, Ra'ciim",Senate
"Amat, Xabd",Servant
Xabdo,Servant of Adon
Racac,Shake
Jalam,Shear
sa'n,Sheep
Mjann,Shield
Kesep,Silver
Iht,Sister
yšb,sit
Mehir,Skillful
zbh,slaughter
tabah,Slaughter
tbh,slaughterer
Amat,Slave (Female)
škb,sleep
Roh,Smell
bir,son
Bin,Son
Baniim,Sonship
Qawl,Sound
zri,sowing
dbr,speak
napac,Spirit
Xayn,Spring
tabax,Stamp
kbkb,star
Bqy,Stay
Janab,Steal
Nasob,Stele
'bn,stone
"Ibben, sur",Stone
hnkt 'mr,Strangler of the lamb
Xizmat,Strength
xizz,Strong
mhyr,subordinate
Camc,Sun
rb,sunset
taaw,t
teet,t'
Nijic,Tax Collector
Dabar,Tell
"Maqdac, Ocrit",Temple
fillec,the one who builds
Iz,Then
Awl,These
Qoton,Thin
't,thou
Elep,Thousand
dhy,throw
Nimr,Tiger
hrš,till
dor,Time
yawm,Time of
iry,to gather
abiib,to grow ripe
Birr,Tomb
Lcen,Tongue
Mijdil,Tower
Mekir,Trader
Xabr,Trans
mullas,Translator
"Nahar, Nsoor",Triumph
Btah,Trust
Kitten,Tunic
šnm,two
bšr,type of sacrifice
Taht,Under
bn,understand
Xammiq,Valley
Mi'en,Vessel
"hawta, Kapr",Village
Karm,Vineyard
kol,voice
"Nadar, Nidir",Vow
dariik,Voyage
waaw,w
Ijdi,Wage
xajlit,Wagon
Jdar,Wall
Malhamit,War
Jabbur,Warrior
Miim,Water
'nhn,we
Nihna,We
Anim,Wealth
m,what?
Jiljol,Wheel
ay,Where
lbn,white
Laban,White
Ici,Who
mii,who?
Ecta,Wife
hamr,Wine (Red)
hikmat,Wisdom
Dool,Without
'št,woman
Ecta,Woman
Umer,Word
p'l,work
"hatt, Katab",Write
ktebit,Writing
yood,y
hsr,yard
Itta,You
zayin,z
