Other,English
"A-atara, Ekacca, Ekangsika",certain
Abhi,higher knowledge
"Abhibhavati, atigacchati",overcomes
"Abhibhè, abhibhú, jetu",conqueror
Abhidhamma,Higher Doctrine
Abhidhamma,discourses of the Pali canon
Abhidharma pitaka,higher teachings
Abhijhbnhbti,perceives
Abhimaºgala,great festival
Abhimukha,facing towards
Adhibhèta,mastered
Adhisessati,will lie upon
Adhisla,higher morality
Adhista,very cold
AdhitiÊÊhati,stands upon
Adhivasati,dwells in
Aghb,went
"Aha, divasa",day
Ahaµ,I
Ajja,to day
Alaya-vijñana,consciousness
Alikavhbd,liar
Amacca,minister
"Amatogadha, Ogaha",diving into
Amba,mango
Amhhbkaµ,our
Amitabha,the Buddha of the Western
"Amu, Etadisa, rupa",such
Ananda,Buddha's friend
Anatman,not-self
Annitya,change
Anottappin,reckless
Antevhbsiko,pupil
Antima,last
Anu,under
Anulomato,in accordance with
Anupubbaµ,due course
Anurhbja,successor
Apa,away from
Apara,subsequent
Apashblhbya,from the hall
Apidhhbna,lid
Arahant,Worthy one
Arhat,who has achieved nirvana
Asanga,one of two brothers
Asi,sword
AsikaÂaho,swordfight
Asita,the astrologer
Asuras,demigods
Avalokiteshwara,boddhisattva of compassion
"Avalokitesvara, Lawkanat, Lokanat, lokanatha",a Mahayana Buddhist deity
"Avidya, moha",delusion
"Bawdithat, bodhisatta",the Buddha-to-be
"Beimbathaya, Bimbisara",king of Magadha
"Bhaddakaccãna, Yasodhar",wife of Prince Siddhatta
Bhante,Venerable Sir
Bhante,reverend sir
Bhassa,conversation
Bodh-Gaya,Buddhagaya
Bodh-Gaya,a town in bihar
Bodhisatta Metteyya,the would-be next Buddha
Brahm Sahampati,the high divinity of Dhamma
Buddha,Buddha
Buddha,Founder of Buddhism
"Buddha, sambuddha",enlightened one
Buddha-Dhamma,Doctrine taught by the Buddha
Buddhism,a religious teaching
Buddhist Faith,the three ratanas
Buddhist text,The canon of Buddhist writings
Byamma,class of higher gods
Catumadhu,4 types of honey
Cetiya,pagoda
Cha,six
Channa,Gotama's attendant
Culamani,shrine in Tavatimsa heaven
Devadatta,brother-in-law
Devadatta,"buddha's ""evil"" cousin"
D²paªkara,an ancient Buddha
"E?agga, passayika",is to be read
Edha,funeral
Edhati,to prosper
Edisa,such like
"Ehi, ento",come
Ej,motion
"Ekacciya, Ekad, Ekadatthu",once
Ekadasa,eleven
Ekajjha,in the same place
Ekamanta,function
Ekameka,one by one
Ekangsa,one part
Ekangsa1,belonging to one shoulder
"Ekanika, pacceka",by oneself
Ekanta,one sided
Ekantarika,with one in between
Ekaso,singly
Ekato,formation
"Ekatta, Ekattat",unity
Ekavidha,of one kind
Ekibhava,being alone
Ekodi,one attention
"Ela, Odaka, udaka",water
Elagal,the plant Cassia Tora
"Elaka, Ummara",a threshold
Elaluka,kind of cucumber
Elambaraka,creeping vine
Ellaka,a ram
Ena,to this
Eni,a kind of antelope
Eraka,a kind of grass
Eraka1,driving away
Eranda,the castor oil plant
Eravana,Indra's elephant
Ereti,to move
Erita,moved
Esan,surgeon's probe
Esati,with confusion of
Esika,a pillar
