Other,English
(ż),female
...temu,ago
Aborygen,aborigine
Aborygeni,aborigines
Adwent,Advent
Afrykanin,African
Albania,Albania
Albańczyk,Albanian
Algierczyk,Algerian
Amazonka,Amazon
Amerykanin,"American, Yank, Yankee"
Anglik,Englishman
Anglosas,Anglo-Saxon
Anioł Pański,angelus
Apacz,Apache
Arab,Arab
Argentyńczyk,Argentinean
Aryjczyk,Aryan
Ateńczyk,Athenian
Australijczyk,Australian
Austriak,Austrian
Azja,Asia
Azjata,Asian
Baran (zodiak),Aries
Bałtyk,Baltic
Bejrut,Beirut
Belfast,Belfast
Belgia,Belgium
Belgrad,Belgrade
Bermudy,Bermuda
Berno,Bern
Biuro Ochrony Rządu,Gouvernment Security Office
Bliski Wschód,The Middle East
Blisko,"near, close, nearly"
Bogu dzięki,thank God
Boże Narodzenie,"Christmas, Xmas, Yule, Yuletide"
Bóg,God
Cejlon,Ceylon
Europa,Europe
Francja,France
Grecja,Grecce
Grek,Greek
Grenlandia,Greenland
Gruzja (in Europe/not in USA),Georgia
Gwiezdne Wojny,Star Wars
Hindus,Hindu
Hiszpan,Spaniard
Hiszpania,Spain
Jankes,Yank
Jankes,Yankee
Japonia,Japan
Japończyk,Japanese
Jowisz,Jupiter
Jugosłowianin,Jugoslav
Jugosłowianin,Yugoslav
Kair,Cairo
Kalifornia,California
Kambodża,Cambodia
Kamerun,Cameroon
Kamica pęcherzyka żółciowego,cholelithiasis
Kanada,Canada
Kanadyjczyk,Canadian
Koreańczyk,Korean
Meksyk,Mexico
Murzyn,"Negro, nigger, Jim Crow"
Murzynka,Negress
NRD Niemiecka Rep. Demokrat.,The German Democratic Repulic
Na samą myśl o czymś,"at the very, mere thought of sth"
Naczelny Sąd Administracyjny,Supreme Administrative Court
Niemcy,Germany
Norman,Norman
Normandczyk,Norman
Norweg,Norwegian
Paryż,Paris
Polska,Poland
Popielec,Ash-Wednesday
Roku Pańskiego,A.D.
Roku Pańskiego,Anno Domini
Rzeczpospolita Polska,RP
Rzym,Rome
Samarytanin,Samaritan
Stany Zjednoczone,USA
Syjon,Zion
Telewizja Polska,TVP
To się rozumie samo przez sie,it goes without saying
UKF ultrakrótkie fale,FM frequency modulation
Ulster,Ulster
Warszawa,Warsaw
Wielka Brytania,UK
Wisła,Vistula
Wniebowstąpienie,Ascension Day
Wojna Światowa,World War
Wojsko,Army
Wojsko Polskie,WP
Wysoki sądzie,Your Honour!
Wyspy Kanaryjski,the Canary Islands
Włoch,Italian
Włochy,Italy
Zulus,Zulu
Zwiastowanie,Annunciation
a dala,away
a niepokojem,anxiously
abakus,abacus
abakusy,abacuses
abdykacja,abdication
abdykować,abdicate
abecadło,alphabet
aberracja,aberration
abnegacja,abnegation
abolicjonista,abolitionist
abolicjonizm,abolitionism
abolicjoniści,abolitionists
aborcja,abortion
aborcje,abortions
aborcyjnie,abortively
absencja,"absenteeism, non-attendance"
absolutnie,absolutely
absolutny,absolute
absorbować,absorb
absorbujący,absorbing
abstrakcja,abstraction
abstrakcyjny,abstract
abstrakcyjny,abstract
abstynencja,abstinence
absurd,"absurdity, nonsense"
absurdalnie,adsurdly
absurdalny,absurd
aby,"for, in order to, to"
aceton,acetone
ach!,ah
aczkolwiek,albeit
adaptacja,adaptation
adaptować,adapt
adekwantność,adequacy
adiutant,aide-de-camp
administracja,administration
administracyjny,administrative
administrator,administrator
admiralicja,admiralty
admirał,admiral
adnotacja,annotation
adopcja,adoption
adoptowany,adopted
adoptować,adopt
adoracja,adoration
adrenalina,adrenalin
adres,address
adresat,addressee
adresatka,addressee
adresować,address
adwokat,"barrister, attorney, advocate"
aerobik,aerobics
aerodynamika,aerodynamics
aeronautyczny,aeronautic(al)
aeronautyka,aeronautics
aeroport,airport
aerostatyka,aerostatics
afekt,affection
afektacja,affectation
afektowany,"affected, niminy-piminy"
aforyzm,aphorism
afrykatka,affrucate
afrykański,African
agat,agate
agawa,agave
agencja,agency
agent,agent
agitacja,agitation
agitator,agitator
agitować,agitate
aglomeracja,agglomeration
aglomerat,agglomerate
agnostycyzm,agnosticism
agnostyk,agnostic
agonia,agony
agrariusz,agrarian
agrarny,agrarian
agresja,"agression, aggression"
agresor,aggressor
agrest,gooseberry
agresywny,aggressive
agromadzenie,assembly
agronom,agronomist
agronomia,agronomy
akacja,acacia
akademia,academy
akademicki,academic
akcelerator,accelerator
akcent,accent
akcentować,accent2
akceptacja,acceptance
akcesoria,"accessory, appliance"
akcja,action
akcjonariusz,"sharesholder, stockholder"
aklamacja,acclamation
aklimatyzacja,acclimatization
aklimatyzować,naturalize
aklimatyzować się,acclimatize
akompaniament,accompaniment
akompaniator,accompanist
akompaniować,accompany
akordeon,accordion
akr,acre
akredytacja,accreditation
akredytowany,accredited
akredytować,accredit
akrobata,acrobat
akrobatka,acrobat
akrobatyczny,acrobatic
akrobatyka,acrobatics
akrobatyka (powietrzna),aerobatics
akronim,acronym
aksjomat,axiom
akt,"act, nude"
akt urodzenia,birth certificate
akt zgonu,death cetificate
akt ślubu,marriage cerificate
aktor,actor
aktorka,actress
aktorstwo,acting
aktualności,news
aktywa,assets
aktywnie,actively
aktywny,active
aktówka,briefcase
akupunktura,acupuncture
akustyczny,acoustic
akustyka,acoustics
akwarium,aquarium
alabaster,alabaster
alarm,alarm
alarm,alert
albatros,albatross
albański,Albanian
albinos,albino
albo,or
albo .... albo,either .... or
album,album
albumina,albumen
alchemia,alchemy
alchemik,alchemist
aldehyd,aldehyde
ale,but
alegoria,allegory
alegoryczny,allegoric(al)
aleja,"avenue, alley"
alergia,allergy
alergiczny,allergic
alfa,alpha
alfabet,alphabet
alfabetyczny,alphabetic(al)
alga,alga
algebra,algebra
algebraiczny,algebraic
algierski,Algerian
alibi,alibi
alienacja,alienation
aligator,alligator
alimentacja,alimony
alimenty,alimony
aliteracja,alliteration
alkaliczny,alkaline
alkaloid,alkaloid
alkohol,alcohol
alkoholik,alcoholic
alkoholizm,alcoholism
alkoholizować,alcoholize
alkoholowy,alcoholic
alkowa,alcove
almanach,almanac
aloes,aloe
alokować,allocate
alpaga,alpaca
alpaka,alpaca
alpejski,Alpine
alpinista,alpinist
alt,alto
altana,arbour
altanka,"arbor, alcove"
alternatywa,alternative
altruista,altruist
altruistyczny,"altruistic, unselfish"
altruizm,altruism
altówka,viola
aluminiowy,aluminium
aluminium,aluminium
aluwialny,alluvial
aluwium,alluvium
aluzja,allusion
aluzyjny,allusive
amalgamat,amalgam
amarant,amaranth
amator,amateur
amatorski,amateurish
amatorstwo,amateurishness
ambasada,embassy
ambasador,ambassador
ambasadorowa,ambassadress
ambicja,ambition
ambitny,ambitious
ambiwalentny,ambivalent
ambona,look-out (in forest)
ambona,pulpit (in church)
ambra,ambergris
ambrozja,ambrosia
ambulans,ambulance
ambulatorium,out-patients' clinic
ameba,amoeba
amerykanizm,Americanism
amerykański,"American, Yank, Yankee"
amerykański hymn narodowy,Yankee Doodle
ametyst,amethyst
amfibia,amphibian
amfiteatr,amphitheatre
amfora,amphora
aminokwas,amino acid
amnestia,amnesty
amnezja,amnesia
amok,"amok, amuck"
amon,ammonium
amoniak,ammonia
amoniakalny,ammoniac
amoralny,amoral
amper,ampere
amperomierz,ammeter
amplifikator,amplifier
amplituda,amplitude
amputacja,amputation
amputować,amputate
ampułka,ampoule
amulet,amulet
amunicja,ammunition
anachronizm,anachronism
anagram,anagram
analfabeta,illiterate
analityczny,analythical
analiza,analysis
analizować,analyse
analogia,analogy
analogiczny,analogical
analogiczny,analogous
anarchia,anarchy
anarchiczny,anarchic(al)
anarchista,anarchist
anarchizm,anarchism
anatomia,anatomy
anatomiczny,anatomic(al)
anchoreta,anchorite
anegdota,anecdote
anegdotyczny,anecdotal
aneks,annex
aneksja,annexation
anemia,anaemia
anemiczny,anaemic
anemometr,anemometer
anemon,anemone
anestetysta,anaesthetist
anewryzm,aneurism
anewryzm,aneurysm
angielski,English
angina,angina
anglikański,Anglican
anglista,anglicist
anglistyka,anglistics
anglofil,anglophile
anglosaski,Anglo-Saxon
angora,angora
ani,not even
ani jeden ani drugi,neither
ani...ani,nor
anielski,angel
anielski,angelic
anihilacja,annihilation
anihilować,annihilate
anilina,aniline
animacja,animation
animozja,animosity
anioł,angel
anoda,anode
anomalia,anomaly
anonim,anonym
anonimowość,anonymity
anonimowy,anonymous
antagonistyczny,antagonistic
antagonizm,antagonism
antarktyczny,antarctic
antena,antenna
antenaci,ancestry
antidotum,antidote
antologia,anthology
antonim,antonym
antracyt,anthracite
antropologia,anthropology
antropologiczny,anthropological
antybiotyk,antibiotic
antyczny,antique
antydatować,antedate
antyk,antique
antyklerykalny,anticlerical
antykwariusz,antiquary
antykwarski,antiquarian
antylopa,antelope
antymon,antimony
antynomia,antinomy
antypatia,antipathy
antypiryna,antypyrin(e)
antypody,antipodes
antysemityzm,anti-Semitism
antyseptyczny,antiseptic
antyteza,antithesis
antytoksyczny,antitoxic
antytoksyna,antitoxin
anulowanie,annulment
anulować,"annul, nullify"
anyż,anise
anyż (nasienie),aniseed
aorta,aorta
aparat,appartus
apartament,apartment
apasz,apache
apatia,apathy
apatyczny,apathetic
apel,"appeal, assembly"
apetyczny,appetizing
apetyt,appetite
aplauz,applause
aplikować,administer
apogeum,apogee
apokalipsa,apocalypse
apopleksja,apoplexy
apoplektyczny,apopletic
apostata,apostate
apostolski,apostolic(al)
apostoł,aspostle
apostrof,apostrophe
apostrofa,apostrophe
apoteoza,apotheoses
apoteoza,apotheosis
aprobata,"adhension, applause, approbation, approval"
apsyda,apse
apteka,chemist's
aptekarz,apothecary
arab (koń),Arab
arabeska,arabesque
arabski,Arabic
arak,arrack
arbiter,arbiter
arbiter,arbitrator
arbitralny,arbitrary
arbitraż,arbitration
arbitrażowny,arbitral
archaiczny,archaic
archaizm,archaism
archanioł,archangel
archeolog,archaeologist
archeologia,archaeology
archeologiczny,archaeologic(al)
archi-,arch
archipelag,archipelago
architekt,architect
architektura,architecture
archiwa,archives
archiwista,archivist
archiwum,archives
arcy-,arch
arcybiskup,archbishop
arcyksiążę,archduke
arcyksiężna,archduchess
areał,acreage
arena,arena
areszt,arrest
aresztowanie,apprehension
aresztować,"apprehend, arrest"
argentyński,Argentinean
argon,argon
argument,argument
argumentowanie,argumentation
aria,"air, aria"
arka,ark
arkada,arcade
arkady klasztorne,ambulatory
arktyczny,arctic
armata,cannon
armatura,armature
armia,army
arogancja,arrogance
aromat,aroma
aromatyczny,aromatic
arsen,arsenic
arsenał,arsenal
arsenowy,arsenic
arteria,artery
artezyjski,artesian
artretyczny,arthritic
artretyzm,arthritis
artykulacja,articulation
artykuł,article
artykułowany,articulate
artykułować,articulate
artyleria,artillery
artylerzysta,artillery-man
artysta,artist
artysta (estradowy),artiste
artystyczny,artistic
aryjski,Aryan
arystokracja,"aristocracy, nobility"
arystokrata,aristocrat
arystokratyczny,aristocratic
arytmenyka,arithmetic
arytmetyczny,arithmetic(al)
arytmia,arrythmia
arytmia,arrythmy
as,ace
asceta,ascetic
ascetyczny,ascetic
asceza,asceticism
aseptyczny,aseptic
asfalt,asphalt
askorbinowy,ascorbic
asonans,assonance
asortyment,assortment
aspekt,aspect
aspiracja,aspiration
aspirant,aspirant
aspirator,aspirator
aspirować,aspirate
aspiryna,aspirin
aster,aster
astma,asthma
astralny,astral
astrolog,astrologer
astrologia,astrology
astrologiczny,astrologic(al)
astronom,astronomer
astronomia,astronomy
astronomiczny,astronomic(al)
astygmatyzm,astigmatism
asymetria,assymetry
asymetryczny,asymmetric(al)
asymilacja,assimilation
asymptota,asymptote
atak,"assault, attack"
atakować,attack
atakwoać,assail
atawistyczny,atavistic
atawizm,atavism
ateista,atheist
ateizm,atheism
ateński,Athenian
atlantycki,Atlantic
atlas,atlas
atleta,athlete
atletyczny,athletic
atmosfera,atmosphere
