Other,English
a'ni,windstorm
a'no,blind man
a'sango,To be too familiar with
a gantha,bringing home of a wife
Aakhri sawaal kun so hai?,What is the last question?
Aawega,Will come
Aawo,You come
Aaya chha,Came
Aba'r,very recently
abara,Now
abarakam,This time
abaratha,In vain
abegana,A desert
abi,Now
abidha,Not eaten by worms
abidho,Difficult
abo,"totouch, To throw"
abuja,Not requiring to ask about
acala,sickness
achalyo,small vessel
achanta,Fearlessly
achara,pearl
ächho,good
adai,here
adana,Boiling water for rice
adanabo,To become angry
Adans,arrogance
addo,stage erected in the open air
adhakkai lebo,To take to task
Adhäo,land kept for grazing of animals
ädhü,unmannered one
adika,Midnight
Adkan,obstruction
ado,In the way of
adoabo,To be of use to one
aduvo,cross piece of wood
agadda,Rude
agal,wooden rod to fasten the leave
agatape,Haste
agatohobo,To be hasty
aghana,A hole in the ground
aglo,foremost
Agünch,advance
Aguni,eastern direction
agyo,A fire-fly
Ai,these
Aid,to be free from worries
aidulo,Peevish
ailo,Useless
aim,This
aindhai,here
aindolagabo,To dig a hole
airo,reed with which chatáí is made
aisyo,like this
ajamya,Out of season
aji,Exclamation
ajuro,engage one to carry a message
Ajyo,request to come
aka,"That, A family of Khandelwál, honour"
akabo,to reprimand
akalakaravo,A medicinal plant
akaya,Power
akdho,medicinal shrub plant
Al,insect which attack crops
äl,Child's mischief
alabala,Nonsense
alabala,Nonsense
alagabo,To be pleased
alajhana,Intricate
alamatoli,An evasive answer
alaphata,Gratis
alaphoka,Indecent songs
alasabo,Intrans
alasala,Relationship
albad,mischief
allapalla,A rumour
alo,wet
älo,nest of a bird
Alsano,to become withered
althi-Palthi,pose of one's sitting on floor
am,When
amaladara,An opium-eater
amarasa,The juice of the mango
amarati,A narrow-mouthed brass
amasyo,A he-goat
amim,Obstinacy
ammara,The sky
ammarasumsa,Extravagance
amsaro,Protection
amuñjo,The stagnant
amvamsabo,To rage
amvanda,Income
amvara,Delay
amyo,In this way
anabolo,Enmity
anacintyo,unexpected
anagacunta,Meddlesome
anakhayako,disobedient
Anan sanan,distinguishing feature
anasa,ill-feeling
anavim,One who never bows
anda,The smell of burning cloth
andai,here
andai,Here
andalo,Two hands full
andara,A cave
anganu,The floor of a house
Angar,burning piece of wood
angi,traditional blouse worn
angli,finger
anhui,not happened
aninta,Naughty
ank,numbers and words
ankala,bull branded by a hot iron
ankh dükhani,bacterial eye infection
ankhadli,song sung when the husband
anmita,in excess
anosagaro,A mild term for envious
ant,the knot
antana,Hardened skin
antarai,At a distance
anthabo,To set as the sun
antham,In the evening
anthana,Evening
anthanau,Evening
anthunni,The west
anti,street game of rural children
anto,a coil
antro,distance
anwati,future
apanon,ours
apasa,Around
apattam,In great abundance
apatthi,constant use
aphanda,Uselessness
aphandi,One who does a needless
ar,and
ara,"And, Rising from a sitting posture"
arabara,On all sides
arailagabo,To earnestly desire
ardano,call of cattle
ardat,loud sound of breaking s.th.
aronukato,A general name for a feast
asa,that
asaka,A gift of flowers to Brahman
asal,real
asamada,Sickness
asamada,Sickness
asamada,sickness
asapata,Pregnancy
aso,Like this
aso,Like this
aso,like this
asudo,Not being in use
asum,From that day
atakyoda,hurdled
atala,Plenty
atamasuka,A cloak
atapatagabo,To talk nonsense
atasa,Heat
atha,Honour
athai,here
athamyam,Words
athana,stable
athinai,Hither
athuni,western direction
ati-dora,cocoon and weaving thread
ati-pati,go into anger-chamber
audabo,To entrust
augana,Sickness
auladaula,Extremely generous
aulum,Recollection
aumli,Alloyed silver
aumlo,Wrongside of anything
aundakaramako,Unfortunate
aunthela,Inedible grass
aupatalebo,To pick a quarrel
Aur kitto door jaano hai?,How much distance to go?
aurum,more
ausan,to mix the powder
austa,Age
autantalo,Stiff-necked
avadi,distance of about 2 kilometers
availi,will come
avo,A big iron cooking
avokavo,A general name for a feast
awati,the boiling stage of recipe
babara,A swelling
babarabo,To swell
babarabo,to be officious
babaramanda,Uncontrolable
babari,great
babo,"father's elder brother, to use"
bachhi,young cow
Bachyoda,left out
badai,there
badako,Great in value
badali,cloud
badanu,A drinking vessel
badera,ancestors
badero,senior
badhawo,song sung by daughters
badhnon,to grow
badilo,obstinate
badita hobo,to passa
badka,ancestors
badkulya,round dish
bagabo,to lead
bagala,"a mouthful of any thing, flying fox"
bagar,bundles of bajra
bagara,stack of hay
bagari,A caste of huntsmen
bagaro,What remains after sifting
bagatari,A kind of waist-coat
bai,"they, The jam of a door, Exclamation"
baidhaki,Pregnant young cow
baimso,A handle of a knife
bainka,reputation
baisandara,exclamation
baisandara,Exclamation
baisandara,Exclamation
baiso,look here
Baitho,Sit
bajaraga,Calamity
bajraq,a fatal weapon
bajro,a desert cerial crop
baju bandh,armlet
bajya,hard
bakarabo,to speak
bakhana,To find fault with unnecessary
bakhari,storage place for grains
bal,to burn
balada,A herd of bullocks
balaji,Lord Hanuman
balam,husband
baleva,A necklace worn
balito,Firewood
balumbabo,To embrace
balyi,silly woman
balyo,"silly man, sometimes of contempt"
baman,brahman
bamhanna,sister
ban,Ganesha pujan ceremony
bana,previous cerimony of marriage
bana,cotton plant
banaita,Quarrelsome
banasti,stalk of a cotton plant
banatañchatam,As far as is possible
banch,to read
