Other,English
-njos,below
Armãn,Aromanian (person)
Armãneashce,Aromanian (language)
Armãnã,Aromanian (person)
Buna dzuã!,Greetings!
Ciao!,Bye!
Cum eshci? (informal),How are you?
Cum hits? (formal),How are you?
Cum ti chljamã?,What's your name?
Da,Yes
Haristo,Thank you
Iu easte toaletlu?,Where's the bathroom?
Iu iasti mardzina di amare?,Where is the beach?
Iu iasti uda a mea?,Where is my room?
Iu potu s'aflu una beari?,Where can I find a drink?
Iu potu s'aflu una beari?,Where is the bar?
Limba armãneascã,Aromanian (language)
Mine escu studentu,I am a student
Nu achicãsescu,I don't understand
Nu mi cartea aclo!,Don't touch me there!
S-nã videm cu ghine!,Goodbye!
Ti-plãcãrsescu (informal),Please
Tsi fats?,What are you doing?
Vã-plãcãrsescu (formal),Please
Zburats anglicheashce?,Do you speak English?
a featiljei,to the girl
a fratelui,to the brother
a fratslor,to the brothers
a hiljlor,to the sons
a hiljlui,to the son
a muljariljei,to the woman
a socrilor,to the fathers-in-law
a socrului,to the father-in-law
a stealilor,to the stars
a steaoljei,to the star
ac,needle
aclo,there
actsii,action
adzâ,today
aestu,this
aestâ,this
afla,find
aflâ,find
agudescu,to hit
ai,to have
aibâ,to have (1)
aistu,this
albu,white
albã,white
alghinã,bee
alti,other
altsâ,other
altu,other
altâ,other
am,"have, but, to have"
amalãmã,gold
amare,sea
amirã,king
an,year
ancoa,to here
anghil,angel
anj,year
anjurdzescu,to smell
anu,year
aoa,here
aparnjitâ,begining
aproape,near
apã,water
aratse,cold
arbineascâ,albanian
arbinescu,albanian
arbore,tree
arbure,tree
architã,wing
ardu,"to burn, burn"
ari,to have
arinã,sand
ariz,barley
armân,aromanian
armâneascâ,aromanian
armâneashti,aromanian
armânescu,aromanian
armâni,remain
armânji,aromanian
armânu,remain
armânâ,remain
armãn,stay
arosh,red
arpã,wing
arthima,arrow
aruc,to throw
arãdu,to laugh
arão,river
arãu,bad
arãu,river
ascuchiu,to spit
asearã,yesterday
ashcergu,to wipe
ashi,this way
asime,silver
aslan,lion
atsel,that
atsia,here
au,to have
aua,here
aush,old (not young)
avdi,hear
avdu,"to hear, hear"
avdzâm,hear
avea,to have
avea,to have (1)
avea mãcatã,she had eaten
aveai,to have
aveam,"had, to have"
aveatâ,to have (1)
avem,to have
avgustu,august
azboairã,to fly
azã,today
banã,life
barbã,beard
beau,to drink
biduclju,flea
birã,beer
bisearicâ,church
boatse,voice
bou,ox
bratsã,arm
broscã,frog
buburec,kidney
budzã,cheek
budzã,lip
buf,owl
bumbac,cotton
bun,good
bunâ,good
buric,belly
bânâtor,citizen
bârbatu,man
bãrbat,husband
bãrbat,"man (adult male), man"
ca,like
cad,to fall
cafi,each
cafiringhie,brown
cai,who
cal,horse
caldu,warm
cale,road
canâ,no one
cap,head
caprã,goat
cara,if
cari,"who, which"
carne,meat
carte,letter (mail)
carte,paper
cash,cheese
casã,house
ceae,tea
cheatrã,rock
cheatrã,stone
cheptu,breast
chiale,skin
chiatrã,stone
chicutã,drop
chiro,time
chiro,weather
cicior,foot
cicior,leg
cileche,steel
cinushe,"ash, ash(es)"
cireashe,cherry
citie,roof
cljao,key
coadã,tail
coajã,skin
cornu,horn
corpu,body
cos,to sew
crivate,bed
cu,with
cuinã,kitchen
culã,tower
