Other,English
"-či, -ti",(infinitive)
"0, nič, nula",zero
3 polni konektor,3 prong connector
4 valji v vrsti,4 cylinder inline
Albanija,Albania
Amerika,America
Amerika,U.S.A.
Američan,American (male)
Američanka,American (female)
Anglež,Englishman
Angležinja,English woman
Anglija,England
Ankara,Ankara
Atena,Athens
Avstralija,Australia
Avstrija,Austria
Avstrijec,Austrian (m)
Avstrijka,Austrian (f)
Belgija,Belgium
Benetke,Venice
Berlin,Berlin
Bolgarija,Bulgaria
Bratislava,Bratislava
Britanija,Britain
Bruselj,Brussels
Budimpešta,Budapest
Bukarešta,Bucarest
Danska,Denmark
Dublin,Dublin
Dunaj,Vienna
Finska,Finland
Francija,France
Francoz,french man
Francozinja,french woman
Grčija,Greece
Hag,Hague ...the
Helsinki,Helsinki
Indija,India
Irec,Irish (m)
Irka,Irish (f)
Irska,Eire
Irska,Ireland
Italija,Italy
Italijan,Italian (m)
Italijanka,Italian (f)
Kanada,Canada
Kopenagen,Copenhagen
Lizbona,Lisbon
Ljubljana,Laibach
Ljubljana,Ljubljana
London,London
Madrid,Madrid
Madžar,Hungarian (man)
Madžarka,hungarian (lady)
Madžarska,Hungary
McPhersonove noge,McPherson struts
Nemec,german man
Nemka,german woman
Nemčija,Germany
Nizozemska,Netherlands (The..)
Norveška,Norwegian
Nova Zelandija,New Zeland
Oslo,Oslo
Pariz,Paris
Poljska,Poland
Portugalska,Portugal
Praga,Prague
Rim,Rome
Romunija,Romania
Rus,russian (m)
Rusija,Russia
Rusinja,russian (f)
Severna Irska,Northern Ireland
Skloniti se,bend down (v)
Slovaška,Slovakia
Slovenec,Slovenian man
Slovenija,Slovenia
Slovenka,Slovenian woman
Sofija,Sofia
Sredozemsko morje,Mediterranian
Sredozemsko morje,Sea
Turek,Turk (m)
Turkinja,Turk (f)
Turčija,Turkey
Varšava,Warsaw
Velika Britanija,Great Britain
Velika noč,Easter
ZDA,USA
Združene Države Amerike,United States of America
a,do you? (colloq)
"a, ampak, toda",but
abeceda,alphabet
abonma,abonnement
"abonma, naročnina",subscription
"administracija, uprava",administration
adresar,address book (pc)
"advokat, odvetnik",advocate
"aerodrom, letališče",airport
afna,ape (coloq)
"agencija, organ",agency
agresija,agression
akord,chord
aktivna matrika,active matrix
"aktivnost, dejanje, dejavnost",activity
aktovka,attache case
aktovka,briefcase
aktovka,sachel
akumulator,battery (car
"akumulator, barka, ladja",boat
"akumulator, blisk, bliskanje, tipka",etc.)
ali,do you... (in asking a question)
ali,or
alkohol,alcohol
alkoholik,alcoholic
alpsko smučanje,alpine skiing
alternator,alternator
amortizer,shock (car)
"amortizer, blažilnik",shock absorber
"ampak, vendar",however
amper,ampere
amplitudna modulacija,amplitude modulation
ananas,pineapple
angleški rog,english horn
"angleščina, angleško",english language
anketa,questionnaire
anketa,survey
anoda (elek),anode (elec)
anoda (elek),plate (elec)
antena,antenna
antibiotik,antibiotic
anything,karkoli
aparat,camera
"aparat, mašina, stroj",machine
apartma,condo
"apartma, stanovanje",apartment
apno,lime
april,april
arhitekt,architect
armatura (avto),dash (car)
artritis,arthritis
asfalt,asphalt
asfalt,bitumen
asfalt,tarmac
asistent,assistant (m)
asistentka,assistant (f)
aspirin,aspirin
astrologija,astrology
astronavt,astronaut
"ata, oče",father
avdio,audio
avgust,august
avt,out
avt,out of bounds
avto,automobile
avto,car
avtobus,bus
"avtobusna postaja, postajališče",bus stop
avtocesta,autoroute
avtocesta,highway
avtomatičen,automatic
avtor,author (m)
avtorica,author (f)
