Other,English
Alperna,Alps
Antarktis,Antarctic
Belgien,Belgium
Brasilien,Brazil
Canada,Canada
Chile,Chile
Cypern,Cyprus
Danmark,Denmark
E-pöst,E-mail
Egypten,Egypt
England,England
"Er tillgivne, högaktningsfullt",Yours sincerely
Estland,Esthonia
Europa,Europe
Frankrike,France
Grekland,Greece
Göteborg,Gothenburg
Haag,Hague (the)
Högsta domstolen,the Supreme Court
Indien,India
Irland,Eire
Irland,Ireland
Island,Iceland
Italien,Italy
Japan,Japan
Kalifornien,California
Kina,China
Kristus,Christ
Köpenhamn,Copenhagen
Lettland,Latvia
Litauen,Lithuania
Mohammed,Mahomet
Moskva,Moscow
Nederländerna,Netherlands - the
Nilen,Nile - the
Norge,Norway
Näcken,Watersprite - the
Orienten,Orient - the
Ostindien,East Indies - the
Polen,Poland
Preussen,Prussia
Rhen,Rhen - the
Rom,Rome
Rumänien,Roumania
Ryssland,Russia
Skandinavien,Scandinavia
Skottland,Scotland
Spanien,Spain
Storbritannien,Great Britain
Sverige,Sweden
Themsen,Thames - the
Turkiet,Turkey
Tyrolen,Tyrol
Tyskland,Germany
U-balk,U-iron
Ukraina,Ukraine
Ungern,Hungary
Va!,What!
Wien,Vienna
X-krok,picture hook
a posteriori,a posteriori
a-minor,A minor
abbedissa,abbess
abborre,perch
abbot,abbot
abdikera,abdicate
ablution,ablution
abnorm,abnormal
"abonnemang, prenumeration",subscription
"abonnent, prenumerant",subscriber
abonnera,subscribe (to)
abort,abortion
abortivmedel,abortifacient
abradera,abrade
"abrupt, burdus, kantig, plötsligt, tvär",abrupt
abscess,abscess
"absolutist, nykterist",teetotaller
abstinens,abstinence
"absurd, orimlig",absurd
acceleration,acceleration
"accent, betona",stress
"accent, betoning, brytning, tonfall",accent
"accentuera, betona",accentuate
"accept, antagande",acceptance
"acceptera, anamma, antaga, godtaga",accept
accis,excice
ackord,chord
"ackord, avtal, överenskommelse",agreement
"ackordera, förhandla, underhandla",negotiate
ackordsarbete,piecework
ackreditera,accredit to
ackumulator,accumulator
"ackurat, noga",accurate
"ackvirera, anskaffa, skaffa, utveckla",procure
adaptation,adaptation
"adaptera, aptera, lämpa, passa",adapt
addera,add (up)
adel,nobility
adelskap,knighthood
aderton,eighteen
adhesion,adhesion
adjungera,co-opt
adjö,good-bye
adla,annoble
"adlig, förnäm, ädel, ädling",noble
administrera,administrate
adoptera,adopt
"adressat, mottagare",addressee
"adressera, rikta, tilltal, tilltala, utanskrift",address
"adresskalender, telefonkatalog",directory
adverb,adverb
advokat,solicitor
"advokat, sakförare",lawyer
aerob,aerobe
"aerodrom, flygfält",aerodrome
aerosol,aerosol
affisch,poster
"affisch, löpsedel, plakat",placard
"affischtavla, plank",hoarding
affischör,billposter
"affär, göromål, rörelse",business
"affärsidkare, handlare",tradesman
"affärsman, köpman",business man
affärsmässig,businesslike
afrikan,African
"afton, kväll",evening
"aga, prygel",flogging
agenda,agenda
agent,agent
agentur,agency
"agera, akt, dåd, göra, handla, verka",act
"agera, gyckel, lek, pjäs, skådespel, spel, spela",play
"agg, missunna",grudge
"agg, ondska",spite
aggregat,aggregate
"agitera, uppröra",agitate
agn,husk
"agn (om fisk), bete, hetsa",bait
"agnar, reta",chaff
ajournera,adjourn
akademi,academy
akademiker,academician
akademiker,university graduate
akilleshäl,Achilles heel
akleja,aquilegia
akne,acne
akrobat,acrobat
akronym,acronym
akryl,acrylic fabric
"akt, ceremoni",ceremony
"akt, dokument, handling, urkund",document
"akta, bevaka, patrull, vakt",guard
"akta, sköta, sörja för, ta hand om, ta vara på, vårda",take care of
"aktad, ansedd",respected
aktas för väta,be kept dry
"akter, akterskepp, barsk, bister, hård",stern
akterdäck,quarterdeck
akterlanterna,stern light
akterlig,abaft
aktersalong,aftersaloon
aktersegel,aftersail
aktibolag,limited company (Ltd.)
"aktie, andel, anpart, del, dela, deltaga, lott",share
"aktiebörs, fondbörs",stock exchange
aktieägare,shareholder
"aktion, gärning, handling, process, rättegång",action
aktionsradie,range of action
"aktiv, verksam",active
aktivera,activate
"aktivitet, verksamhet",activity
"aktning, hänseende, respekt, respektera",respect
