Other,English
"'Ae, 'oia, ë",yes
'Aita e päpü i?'u,I don't understand
"'Ia ora na 'oe 'orua, 'outou",good afternoon
"'Ia ora na 'oe 'orua, 'outou",good evening
"'Ia ora na 'oe 'orua, 'outou",good morning
"'Ia ora na 'oe 'orua, 'outou",good night
"'Ia ora na 'oe 'orua, 'outou",hello
'O vai to oe i'oa?,What is your name?
'Umara pütete,potato
"'a'ahu, 'a'ati, hohoni",to bite
'a'ano,wide
"'a'ano, ('aa)oaoa, ('aa)oaoa, piripiri",narrow
"'a'e, eàeenietematto, pa'uma, ta'uma",to climb
"'a'ii, eaee",neck
'aa'au,intestines
"'aafaro, mau, tano, ti'a",correct
'aama'a,branch
"'aapii, 'äpï, hoou",new
"'aava'e, maram, marama",moon
'aavae,foot
"'aavae, 'ävae",leg
"'aero, 'itere, eairo, ehaòwpè, hi'u",tail
"'afulu, 'ahuru, ahuru, e àhuru, hoolhoo, tini",ten
"'ai, 'amu, eei",to eat
"'aihere, matie",grass
"'aihere, ururaa'au",woods
"'aima, 'aita, E'ere, E'ita",no
"'aio, 'aui, aruri",left
"'ama, tutu'i",to burn
'aore,zero
"'are'are, mätä'are",wave
'ata,to laugh
'atau,right
'atopa,october
'au'au,to chew
"'au, eaow",to swim
"'ee'a, ara, ea'tia, poroomu, puruumu",road
"'ee, ma",and
'eiaa,to steal
'eiaha,not
'eperëra,april
'ere'ere,black
"'eru, 'ö, heru, pao, tüpä",to dig
"'eu, tunu",to cook
"'i'o, eeree, ina'i",meat
"'ina, 'oe'oe, 'oi",sharp
'ino,bad
"'iore, eyoare",rat
"'iri, eweyoraèe",skin
"'iri, pa'a",bark
'ite,to know
"'ite, hi'o",to see
'o v'ai,who?
"'oe huru ?, E aha t?, Maita'i oe?",How are you?
"'oe, tooanahahow, tooanahoe",thou
"'ohipa, ha'a",to work
"'oia, 'oona",he/she
"'oofa'i, owhai",stone
'oofii,snake
"'oopee, pee",rotten
"'oopuu, 'öpü, eoboo",belly
"'oorua, 'outou",you
"'oouma, 'öuma, eom, eoo, tiitii, uu",breast
"'oru, hoònnehoònne, pahu",to swell
"'ote, eotte, miti, miti",to suck
"'oti'ati'a, eetoò, ti'a, tuu",to stand
"'u'umu, eninnei, nene'i, tämau",to squeeze
'ume,to pull
"'uo'uo, (tea)tea, teà",white
"'upa'a, 'üpa'a",liver
"'ura, 'ute'ute",red
"'urii, uri",dog
"'utu, oatoo",louse
'ä'au,guts
"'äfaro, ti'a",straight
"'ähiri, 'ia",if
'äivi,Hill
'änani,orange
"'änimara, manu",animal
"'änävai, (tahera'a)pape, tahora",River
'ätete,august
"'ë'aturu, tahua pahï",Bridge
"'ë, 'ë, vetahi('ee)",other
"'ëtäretia, fare purera'a(pure)",church
"'ï, api",full
'öna,he
"'ü'ui, 'ui'ui",to rub
"(harurura'a) pätiri, paatiri, patiree",thunder
E aha te ora?,What time is it?
E aha tei'oa ote'ie?,What is this?
E hia moni teie?,How much does it cost?
Faraoa,ache
Fare moni,bank
Hite,Hicks
I hea 'oe e faeia ai?,Where do you live?
Ma'a tupu,vegetables
Manuia!,cheers!
Mä'a,fruits
Mäuruuru,thank you
"Nana, Pärahi",good-bye
Patine,Parkinson
Petrodero,Pickersgill
Poline,Spoving
Pua'a,pig
Pua'atoro,beef
Tahiti,Tahiti
Taibe,Stainsby
Taofe,coffee
Tate,Clark
Te haere nei 'oe i hea?,Where are you going?
Tei hea (roa) ...?,Where is...?
Tei hea (roa) te fare iti?,Where is the bathroom?
Tei hea te fare inuinura'a?,Where is the bar?
Tei hea te pae miti?,Where is the beach?
Tolano,Solander
Towara,Gore
Treene,Green
Tämä'ara'a ahiahi,dinner
Tämä'ara'a po'ipo'i,breakfast
a'a,root
"a'ua'u, a'ua'u pua'a",to hunt
"aafea, ehai, inaafea, naahea, nehàia, nehàia",when?
"aatea, ätea, roa",far
"aha, aha (interrogative)",what
"aha, aha, tee'naa, teeraa, terrä",that
"aha, e aha",what?
ahea,when
"aheine, vahine, vahine",woman
"ahi, auahi, wahaeahei",fire
"ahiahi, taharaa mahana",sundown
"airareè, ma'ue, rere",to fly
"aiwee, fa'aro'o",to hear
"amama, haamama",to yawn
"ana'e, ato'a",all
ananahi atu,afternoon
"ao, ata, eat",cloud
"ao, mahan, mahana",day
"aora, ra'i, ra'i, reva",sky
"arero, treero",tongue
"arooato, piti 'ahuru, ta'au",twenty
"aroä, porömu, purümu",Street
aru,forest
"au, naow, vau, waow",I
"au, nira, tui",to sew
"auauahi, eohoo",smoke
aute,hibiscus
"avy, pape, vai",water
"e hanere, haanere, nanaihere, rau",one hundred
"e hitu, fitu, hitoo, hitu",seven
"e iva, iva",nine
"e maha, ha, haa, maha",four
"e ono, ono, whaine",six
"e pae, ha, illemei, pae, rima",five
"e piti, piti, rooa, rua",two
"e tauatini, mano, tauatini",one thousand
