Other,English
-aman,male animal
"-feto, buatinak",female
-inan,female animal
"-mane, mane",male
-oan,young
Ami ba tasi balu iha tuku hitu,We go overseas at seven o'clock.
Ami bele ha na'an fahi,We will eat pork
Ami bele la'o dalan ne'e?,Can we travel this road?
Ami buka pousada ida,We are looking for an inn
Ami fila fali ba uma,We are going home
Ami hakarak atu sosa sigaro,We want to buy cigarettes.
Ami hakarak atu sosa tais balu,We want to buy some tais
Ami hakarak atu sosa ti'u balu,We want to buy some woven wallets
Ami la kohi ha na'an asu,We will not accept dog meat to eat
Ami sei ba aban,We will go tomorrow
Ami sei fila fali iha tuku rua,We will return at two o'clock
Ami to'o ona,We have (just) arrived
Balu di'ak,not bad
Bere Lelik la'o tiha,Bere Lelike has gone
Buat ne'e sa?,What is that?
Bus ba tuku hira?,What time does the bus leave?
Bus mai tuku ida,The bus arrives at one o'clock
Bus to'o tuku hira?,What time does the bus arrive?
Ema ida ne'e furak?,Is that a nice person?
Ema ne'e ukun di'ak?,Is the government good?
Eskola hahu tuku hira?,What time does school begin?
"Eskola tinan hahu bain hira?, Eskola tinan hahu bain hira?",When does the school year begin?
Estadus Unidus,United States
Ha'u bele ba iha mota balu ba?,Can I go on the other side of the river?
Ha'u hakarak atu ha sasouru,I want to eat sasouru
Ha'u hakarak atu sosa ai fuan,I want to buy fruit.
Ha'u hakarak atu sosa hahan,I want to buy food
Ha'u hakarak haris,I want a shower
Ha'u hakarak sa'e kuda ida,I want to ride a horse
Ha'u nia belu nia naran Robert,My fiend's name is Robert
Ha'u nia kaben naran Betty,My wife's name is Betty
Ha'u nia naran John,My name is John
Ha'u nia naran John.,My name is John.
Ha'u sei ha modo de'it,I will only eat vegetables
Ha'u sei hemi ai mouruk ne'e,I must take this medicine
Hahan ne'e naran sa?,What is the name of this food?
"Hare dalan di'ak, Hatos kuda di'ak",farewell
Hau hela iha Fatu Kai,I live in Fatu Kai
Ida ne'e di'ak?,Is this good?
Iha fatin ida ne'e naran sa?,What is the name of this place?
Ita ba iha ne'e be?,Where are you going?
Ita bele fase rope sira ne'e?,Will you wash these clothes?
Ita bele koalia Tetun?,Can you speak Tetum?
Ita fa'an hena?,Do you sell cloth?
Ita fo hahouris uain hira?,When will you give birth?
Ita futar bele hela nafatin,You can stay as long as you wish
"Ita hela iha ne'e be?, O hela iha ne'e be?",Where do you live?
Ita ko'alia English?,Do you speak English?
Ita nia kaben naran sa?,What is your wife's name?
Ita nia knua naran sa?,What is the name of your village?
"Ita nia naran sa? (ita=polite), O nia naran sa? (To servants)",What is your name?
Ita sei loke oda matan,You must close the door
Ita sei loke oda matan,You must open the door
Ita tinan hira? (ita=polite),How old are you?
João se maka gosta serveja,John is the one who likes beer
Labrarik sira ne'e ba eskola?,Do those youths go to school?
Maria bo'ot liu Joao,Maria is bigger than John
Maromak,God
Mau Leto ba tiha uma,Mau Leto went home[
Nasoens Unidas,United Nations
"Ne'e osan hira?, Ne'e osan hira?",How much is this?
Nia mai tiha horiseik,He came yesterday
O iha kaben hira?,How many wives have you?
O sei lori ida ne'e ho ami,You must take this with us
Oan hira o nian?,How many children are yours?
"Oras ne'e?, tuku hira?",What time is it?
Povu Timor Lorosa'e nian,The people of East Timor
Rai bokon,It is wet
Rai manas,hot weather
