Other,English
se lau lua ngafulu ma lima,125
take,a direction
se vaka lelei,a good canoe
Te lakau,a stick
Te tangata tomua i te lasi,A very big man indeed
fakakai,a village
Ki te a?,about what?
"lunga, maua, maualunga, naua lunga",above
katoa,all
"a, se",an
"maa, mo",and
"a, ana, i",at
a fea?,at what time?
ana fea?,at what time? (past)
"alo, kona, koopuu, manava",belly
lalo,below
lahi,big
manu lele,bird
toto,blood
puaka tangata,boar
ivi,bone
"aakau, laalaa",branch
uu,breast
Aumai se pi maku,bring me a drinking nut for me
Aumai se pi moku inu ake,bring me a green coconut
Aumai se potu tifa,Bring me a piece of pearl shel
tamaliki,child
"moko, mokotia",cold
tonu,correct
tamafine,daughter
"aho, ao",day
palapala,dirty
kulii,dog
Sa tuku,don't give...
Se puke aku!,Don't touch me there!
maloo,dry
"efu, pa",dust
Whose is the stick?,E a ai lakau konei?
when will it be finished?,E oti mafea?
when is your sister coming?,E vau a fea tou taina?
Takitasi,each separately
taliga,ear
kele,earth
fua,egg
"valu, valu",eight
"angafulu ma tasi, sefulu tasi",eleven
Tamaliki takitokotasi,every single child
mata,eye
mama`o,far
hinu,fat
"tama, tana",father
fulu,feather
"-fine, fafine",female
afi,fire
ika,fisk
lima,five
"ma, mo",for
Mo Penaia,for Penaia
"aka, ake, atu",for the comparative degree
"ki, sili, tomua",for the superlative degree
Mo a te fale na?,for what is that house?
"I te a?, Mo a?, mo te a?",for what?
"fa, faa",four
fa ngafulu,fourty
mai,from
mai lunga i,from upon
fua,fruit
nui,full
Tuku,give
Tuku ki a ia,give it to him
Tuku ki a Penaia,Give it to Penaia
mauku,grass
moto,green
tupunga,growth
"fulu, lauulu",hair
lima,hand
E isi sau foe na?,have you a paddle there?
Ko vau koe?,have you come?
ia,he
Ne tuku ne ia,he gave
"A ia ko tuku, E tuku ne ia",he gives
A ia e supa ki,He is extremely stupid
Sei se tangata mafl pela,He is the strongest man of all
Ka tuku ne ia,he will give
ia,he/she
ulu,head
mamafa,heavy
"ana, hna, ona, tena, tona",his
Tona pulou,his hat
Ona pulou,his hats
Tona manafa,his land
Tona vae,his leg
ona vae,his legs
Ko Penaia tona ingoa,his name is Penaia
E o ai fale kola?,hose are those houses?
hale,house
Ne fai pefea ne ia?,how did he do it?
Tokofla tino?,How many people?
E fia?,How many?
aavaga,husband
"-ku, au, kau",I
Sei soku fiafia pela,I am extraordinarily happy
Seki (or siki) tuku ne au,I did not give
Se tuku ne au,I do not give
Ne tuku ne au,I gave
E tuku ne au,I give
Ka tuku ne au,I shall give
A au ka se tuku,I shall not give
Mana se tuku ne au,I should not give
"ehe, me, me ehe, mea, meehe",if
Ma tuku ne ia,if he should give
Moi tuku ne maua,if I had given
Moi se tuku ne,if I had not given
Moi tuku ne au,if I have given
Ma tuku ne au,if I should give
Ma se tuku ne au,if I should not give
Kafai e to te ua ka siu tatou,If it rains we shall get wet
Ma tuku ne latou,if they should give
"Ma tuku ne matou, Ma tuku ne maua, Ma tuku ne taua",if we should give
Ma tuku ne tatou,if we should give (1)
"Ma tuku ne koe, Ma tuku ne koulua",if you should give
Ma tuku ne koutou,if you should give (1)
I tau tamalikinga,in your childhood
"ngauta, uta",inland
vava,intestines
