Other,English
-be,interrogative particle
-ma-,not
-ng,an ending of the 2d person
-zy,possess. suffix (3d person)
"a'da, acha, ava",father
a'ldy,lower side
"a'lhyš, qarha-",curse
"a'naj, anaj",young of ungulates
a'rha,mountain forest
"a'rt, sirt",back
"a's-, ty'rt-, xer-",to hang
a't,horse
a't-,to dawn
a'š,meal
a'š-,to open
"a-a (dat.), ang-a, dö, ol, yn-da",that
aalši,guest
aat-,to lull
adam,extraordinary
adan,a castrated camel
adaq,bottom part
adig,bear
adym,handful
adyr-,to separate
agaar,air
ahanaq,white partridge
aj,edible root
aj,month
"aj, bylaq",well
ajaq,cup
ajas,frost
ajyt-,to prescribe
"aki, dungma",brothrt
al-,to take
ala,variegated
"alandy, aläq",plain
"alang, sezik",doubt
albyq-,to pant
albä-,to lapse into oblivion
aldin,gold
alyn,face
aläq-,be in doubt
am,now
"amdý, amdyhy",the same
amhy,recent
"amitan, mal",animal
amyr,gentle
amyra-,to love
amyraq,politeness
ang,wild game
anga' degbe,don't touch me there!
angda-r-,to turn over
angda-š-,to tumble
angel,angel
anghada-,to be perplexed
"aniak, chalï, chaš",young
aq,white
aq-,to flow
"aqsy, äs",mouth
aqy,elder brother
"ar-, dor-",to become lean
ara,space between
"arbai, köje",barley
"arga, arit, ezim",forest
ari chigiri,honey
"ari, ary, hary",bee
art-,carry on back
aryh,clean
aryt-,purify
as,a little
as,ermine
as-,to go astray
"asqa-, du'ža-, köste-",to hobble
at,name
at-,shoot
atpangna-,grasp of a child
atpaq,hanger for horse harness
atpaq-ta-l-,to hitch on to something
atqaq,barb of the fish-fork hook
ava,aunt
azy,or
azyh,fang
"aš, aštaani",hunger
aš-,to cross a mountain
ašaq,husband
ažyh,acid
ažä-,to feed
"ba'ldy, baldy, sÿge",axe
ba'ldyr,calf of leg
ba'q,evil
ba't-,to sink
ba'š,head
bah-la-,to bind
bais,wound
baj,rich
"bajing, ög",house
bajla-,weaken
"balhaš, malhaš, por",clay
balyh,wounded
balyq,fish
baq-qy-la-,to peek
bar,there is
bar kaydal,Where is the bar?
"bar-, chor, choru-",to walk
bary,existence
"bas-, syq-",to press
basqyš,stairway
baza,as well
"baza, bile, bolgash",and
baža,husbands of sisters
be,foaled mare
be'k,stable
bedik,high
bel,a k. of salmon
bel,waist
beldir,cross-roads
belek,gift
"beling-chi, beling-ne-",terror
ber-,to give
bertik,mutilation
bes,swelling
"bes, xyrä",hoar-frost
"beti, chöq",near
bichtak,cheese
bije,recently
bijek,knife
bil-,to know
bile,also
"bilek, qyry, šenek",forearm
"bili-, šaly-",to sharpen
bir,one
bis,awl
bis,we
"bišii urug, šach urug",child
bo,this
boh-,to tie up
boj-la-,spoil
bol-,to become
boos,pregnant of animals
"boos, bosqu",throat
"boq, myjaq",dung
"borrowed, büq-",to be sad
bot,self
botqa,porridge
bottang,young lamb
boš,empty
"bu'duq, šyvyq",branch
budu-,to paint
buduq,dye
"buga, buha",bull
bulan,elk
"bulha-, bylha-",stir up
bulung,corner
"buluq, cheng",frazil
bulut,cloud
burgan,god
bus,fog
bus-,destroy
"but, davan",foot
bužurhan-,to be anxious
by't,louse
"byhyn, chajä, choda",thigh
byzä,calf
byš-,ripe
"byš-, ke's-",to cut
bÜrek,kidney(s)
bär,liver
böksek,bird's breast
bört,cap
"börü, börük",wolf
böš,pinus Siberica
bü'k,valley between mountains
bü't-,to be ended
bü't-,to heal of a wound
bük-,to wrap
bür,male elk
büra,camel stallion
bürge-,to cover up
bürgüt,aquila fulva
bürü,leaf
büürek,kidney
ceveg,cemetery
cha,bow
cha'jha-,bring into motion
cha's,rain
cha'sqy,bat
cha'š,hair of head
cha'ž-,sow
"chaak, chäk",cheek
chaan,elephant
chah,lard
chah-,to rain
chahy,coat
chaj,summer
chaj-,to lead something
chal,scruff
"chala-, chalwar-, chalyn-",to ask
chalama,sacred band
chalbaq,broad
"chalhyh, sýk",shallow
chalhyjaq,2 wave
chalyn,flame
chalä,tie
cham,litter floating on the surface
chama-,to patch
"chan, duš, saar",side
chan-,to turn back
chanchyq,bag
changhy,echo
changhys,lonely
"changys, janghys",single
char,announcement
char-,to split
charhaš,hairless
chary,a producent reindeer
charyn,shoulderblade
chas,spring
chas-,sin
"chas-, chat-",to spread
chavana,spleen
chawydaq,without saddle
chaza-,to create
chaš,raw
"chaš, qaq-",tear
chašpan,wormwood
chažy-,be lazy
"che't-, deg-",to reach
"che-gü, chegü-me, chü, chüve",what
chechek,flower
chedi,seven
chekpe,wolverine
chel,mane
chel-,trot
"chelbi-, chelwi-",to flap
chele,rope for calves
chemir-,to crush
chemiš,nut kernel
cheng,sleeve
chengge,elder brother's wife
cher,land
"ches, xola",copper
cheste,sister's husband
cheš-,to untie
chi-,to eat
"chidi-, chidig",sharp
chil,year
chilbi,witchcraft
chilig,marrow
chindi-,seek
chingge,thin
chir-,to split lengthwise
chit-,to be lost
cho'zu,method
chol,fate
chon-,plane
choq,there is not
chot-,to destroy
chu'rt,dwelling place
chuduruq,fist
chuha,unsubstantial
chul-,pluck
chul-,to pillage
chula,lamp
"chulan, chylan",snake
chular,halter
chuluq,juice
chumur,maw
chungma,wild mountain she-goat
"chuq, sät",resin
churek,heart
churuq,rag
chut,trouble
chuurha,egg
chy'pyt,flat
chy'pšyn-,stick to
chy'q,dense
"chy't-, udu-",to sleep
chyh-,to collect
chyhý,close to
chyl-,to creep
chylha-,to lick
"chylhy, öj",age
chylyh,warm
chymchaq,mild
"chymyš, xerek",necessity
chyt,smell
chä,new
chä,war
"chä, chä, chab-chä, dyng, eng, ide, ide",very
chäq,door post
chät,cudbear
chäš,quiet
chën,nephew
chëren,antelope
"chïk, jengik",light
chön,thick
chörhan,blanket
chövek,sinciput
chövüree,bark
chü'k,load
chü'stük,finger ring
"chü-, ešti-, qarban-",to swim
chüdür-,carry
chüg,feather
chügür-,run
chühen,bridle
chülü-,to shave
chün,spinal marrow
chüng,wool
chürek,courage
chüs,hundred
chüs,joint
da'hä,fowl
dah,mountain
daizin,enemy
dajan-,to lean
"dajna-, kegže-n-",to chew
dal-,lose consciousness
dalgan,flour
dam-dy,drop
damyr,vein
darba-,to branch
das,vulture
dat,rust
davan,sole
"dazyl, düp, kö'k, kö'k",root
daš,stone
dažy-,to overflow
"de'ge, te",he-goat
de's,clotted blood
de-,to say
"dem, demin",immediately
demir,iron
der,sweat
dergi,saddle straps
deri-,gather
des-,to run away
deš-,to make holes
didim,bold
didin-,to strive
"diis, moortai, my-yt",cat
dil-,cut in slices
dilgi,fox
dingmi,thunder
diri-l-,to revive
dirig,alive
dis-,to bead
diskek,knee
diš,tooth
diži,female
doj,community
dolha-,to wrap round
dolu,hail
"dolu, pök-, to't-, to't-",full
domur-,chip off
dong,frozen
dong-,be frozen
dong-na-,to bind together
"doqpaq, toqpaq",hummel
dorum,young camel
dovuraq,soil
dowuq,knee cap
doš,ice
duh-da-,to make a partition
dujuh,hoof
"duk, xyl",hair
dulhujaq,widower
"dumchuq, xäj",beak
dumä,flu
durujä,crane
dus,salt
duza,profit
dyhy-,press in
dyl,language
dyngna-,to hear
dyngzyh,strong
dyrhaq,claw
dyt,larch-tree
dyyn,yesterday
dä,additionally
däj,uncle
dän,wholly
dër,heaven
dïng,squirrel
dö'š,mountain slope
dön,wick
dör,honorary place in the house
döra-,to cut into slices
dört,four
dös,shrub
"döš, töš",breast
döžek,mattress
dü'š,noon
düdü-,mould
düdüskek,haze
düj-,to tie in a knot
dük,body hair
dükpür-,to spit
dülgüür,key
dün,night
"dündük, köskenek",window
dür-,roll together
dürbü,rasp
düvü,dust-storm
düš,dream
düš-,move down
e'dek,edge of cloth
e't,meat
"e't-bot, maga-bot, syn",body
"e-, ir-",to be
eder-,to follow
"edirek, ödürek",duck
"een xovu, kurug xovu",desert
egen-,to feel uncomfortable
"egle-, elge-",to sift
"ehe-, öhe-",to file
ehin,shoulder
ehë,file
eki,good
elchigen,donkey
elek,East
elik,wild goat
"em-, sor-",to suck
emig,breast (fem.)
enggin,female camel
enik,young of a wild animal
ergek,thumb
erhe,cockering
eri-,to melt
erin,lip
eriš,warp
ezer,saddle
ezir,eagle
ezir-,to become drunk
eš,mate
"eš, öng, öngnuk",friend
eš-,to row
eš-,twist
ežik,door curtain
"göbelekke, xovagan",butterfly
"hogaan, kök",green
"howu, xol",valley
"i'žin, xyryn",belly
iablok,apple
"idiš, xönek",vessel
ije,mother
ijä,host
il-,to hang on something
im,sign
imir,dusk
inchik,boot-top strap
ine,needle
inek,cow
irgek,male
iri-,to rot
iring,pus
is,trace
it-,hit
izih,hot
"iïba, xÿl",ash
iš,deed
iš-,to drink
"kaargan, qärhan",crow
"kara, qara",black
kara-bit,flea
kaya' eshtip bolurul,where is the beach
kaydal,where
ke'ze-,scared
"ke'š, qujha",skin
kehir-,to belch
kel-,to come
kelin,daughter-in-law
kem,illness
kep-,to dry out
kergijek,paunch
keržek,adze
kes,notch of an arrow
kežë,evening
kidire-,to scrape on a washboard
kidis,felt
kiji,human being
kiji-,to itch
kir-,to enter
kirbik,eyelash
kiriš,bow string
kis dagaa,hen
"kis, urug",daughter
kiš,sable
kiži,people
kiži-,to tickle
"kodan, kojhun",hare
kofe,coffee
"korgari, korgych",fear
kuxnja,kitchen
"kuš, qu'š",bird
"kymyskaiak, qymysqajaq",ant
kö'k,seam
"kö'p, köpej, xöj",many
kö'vük,foam
"kö'vürüg, kövurug",bridge
kö'š,nomadizing
kö'š-,to migrate
ködür-,raise
kögürön,wild onion
kök,blue
kökte-,to sew
kör-,to see
kös,glowing coals
köskü,visible
kösteg,fetters
köstük,eye-glass
köze-,to stir with a poker
köže,gruel
köžege,screen
"köžü-, ü'žü-",to freeze
kü'ze-,will
küdë,son-in-law
kürtü,black-cock
"kürüjek, xürek",to rake
"küs, kÿs",autumn
"küzen, toqtan",weasel
küš,power
laa,candle
"maj-ta-q, majyryq",club-footed
majyq,sole of foot
majyš-qaq,curved
mang-,to trot
many,wild cat
me'ng öre'lim kaydal,Where is my room
men,I
meng,mole on the face
mojun,neck
"mong, tonur-",mallet
morzuq,badger
mun-,to rize
"mun-k, mung",crazy
mung,suffering
mung,thousand
munghaq,resentful
murhu,trumpet
murnu,front part
myjhaq,female maral
myjys,horn
myjyt,Salmo lenoc
myny-,become old
mäas,gad-fly
mädyr,hero
më,brain
mës,open forestless place
mög-,buck
mön,large intestine
möre-,to howl
nom,book
o'q,arrow
o't,grass
odah,tent
odar,pasture
odun-,to wake up (intr.)
"ogorod, sad, seserlik",garden
oj,grey
oj-,to pick
ojna-,to play
ojun,play
olur-,to sit
olutpaj,lazy
omäš,scoop
on,ten
ong,right
"ong, ong, soma",shape
ong-,become pale
opla-,to attack
ortu,middle
ortuluk,island
orun,bed
orun,place
oruq,road
ot,fire
paha,frog
pat,unworthy
pivo,beer
qa'dyh,hard
qa'sta-,to constrict
qa't,layer
qa't-,tie to
qada-,to stick into
qadah,nail
qadyrhy,grayling
qajy,which
qal-,remain
qanat,wing
qaqpaq,cover
"qarahan, xarahan",acacia
qaraq,eye
qarmaq,fishing rod
qaryš,span
qas,goose
qas-,to dig
qaty,relative-in-law
qazanaq,kennel
qazy,inner fat
qazy-,to peel bark
qazylhan,currant
qazyq,peg
qazyrhy,whirlwind
qazyryq,scales
qaš,eyebrow
qaš-,flee
qodur,mange
qom,camel's pack-saddle
qong,animal body
qonghura-,to ring
qongzang,crook-nosed
qoš,caravan
qoš-,unite
qošqar,ram
qu'rt,worm
qu'suq,nut
qudu,downwards
quduruq,tail
qujang,rheumatism
qujaq,armour
qul,servant
"qula, xureng",brown
qulaq,ear
qulaš,fathom
qulun,foal
qum,sand
qumza,package
qunuq-,to yearn
qur,belt
qurhah,dry
qus-,to vomit
qut,good fortune
qut-,to pour out water
qy'p-,to catch fire
qy's-,to squeeze
qy'š,winter
qydyh,border
qydyh,oppressed
qyj-,to cut aslant
qyl-,to make
qylyn,stiff
qym,who
qyr-,shave
qyrhy-,scrape
qyrtyš,upper layer
"qyry, uš",edge
qyry-,to become old
"qys, uruh",girl
qysqa,short
qyzyl,red
qyzyr,barren cow
qyzyraq,barren mare
"qyzý, tar",narrow
qyšqyr-,cry
qyžan-,to threaten
qyžyrt-,to mock
qyžyry-,ridicule
qü,swan
"sa'hy-, xoru-",protect
saGa,knucklebone
saaryh,area covered with stones
sah-,to milk
sahyn-,to miss
sahyš,intelligence
sajmaara-,to be distressed
sal,rafter
sal-,to put
salaa,finger
saldar,bad influence
sara-daq,a 2-year-old maral
sarapsa,rhubarb
sarchyn,tethering post
sarhi-,feel pain
sarhy,tick
"sarig, saryh",yellow
sary,a k. of falcon
sat-,to sell
savang,straw
sazan,carp
segel,chin
segel sali,beard
sekpil,freckles
semis,fat
sen,thou
sep,bay
seri,penthouse
sidik,urine
sili-,to become clean
silki-,to shake
"sing-, syng-",to fit into
sirge,nit
sivir-,to sweep
slovar,dictionary
sogyn,arrol
sohun,arrow head
soj-,peel
sol,left
