Other,English
"-xä, bulchëng, bulchërxä",muscles
"ab, avë",sorcery
achi-,carry on one's back
achë,service
acë,bifurcation
"adhë-, adm",to hurry
adsxë,unworked leather
adë,evil spirit
adëg,lower part of stream
"adëg, atxë",to clutch
adün,drove
adüsn,horse(s)
ag,notch on fish-fork
ag,taint
"ag, äg, agü, ang, anggë, zab, zawsr",crack
"ag, äg, küchn",strength
agsag,wild
agsra-,to chafe
"ahär, ahr, kï",atmosphere
"ahü, ambn, ü",large
"ahünë, axünë",gull
ajan,travel
ajë,favourable circumstances
aktë,castrated
"al, alë",give!
al-,to kill
alchür,cloth for cleaning
alcë,knucklebone
"alda-, gë-",to lose
aldr,honour
aldë,fathom
"algü, almai",disturbed
als,far away
"alwë, alwn",compulsion
"alxë, dawt-",hammer
alxë-,to step
alxën,palm (of hand)
"alä, älän",frolic
"alëg, ölë, ölëkchn, xaltër",variegated
alžä-,get tired
"am-la-, amn, amsa-, amtn",mouth
amd-,cross one's way
amhä,sudden
"amhülëng, amr",peace
amn,valley
amr-,to rest
"ancësn, ancn, ändësn, andësxë, äntësn, änžësn",plough
and-,mistake
"andë, andn, nökr, sadn",friend
"andëhër, tanghërëg",oath
"angxën, ül",original
"angxër, tö-, ubära-",to pay attention
ani-,to close eyes
anz,fine
ar-hë-,exhausted
arGë,method
arch-,to clean
"arclcë-, arcldë-, xüwl-",to change
"ardë, irgn",people
argëli,female
arhësn,excrement
arl,island
"armg, arü",poorly grown
arngga,balcony
"arsn, xül-",skin
arwn,ten
"arwá, arwä",barley
arzä-,to be rough
arä,just a little
arälžn,spider
arän,molar tooth
"arë, ärë, arkë",North
arëg,woven basket
as-,cling to
"as-, šatë-",to catch fire
asr-,to take care of
"atlgë, ölë",adze
atän,jealousy
"aw-, bär-",to take
awr-,to save
awrgë,huge
"awsn, äwsn",wife of elder brother
awë,chase
axë,elder brother
"axü, ažël",work
ažig,worth attention
ažërhn,geranium
bachm,urgent
badr-,expand
bahltsëG,wrist
"bahë, žižëg",small
"bahëlzür, baxëlür, baxëlzür, kömä",throat
bajr,joy
bakë,tongs
balchr,infant
balchrgënë,heracleum dissectum
balhë,gulp
"balhë-, zalgë-",to swallow
balhësn,fortress
balä,cause
"balä, balr, mangsër, süme, sümëh",dark
bardm,to boast
barwä,broad and thick
barän,cloth
barän,silhouette
barün,West
"batxënë, ilësn, nes-, nis-",fly
"batë, bekë, küdr, xatü",hard
"batëgë, batxë",to perspire
"baxë, kü",wish
baxënë,central pole
bašnggë,a k. of roach
"bedr, tolwë",spot
bekr,sterlet
belchr,joint of two rivers
belküsn,waist
beln,ready
beltërëg,young of wolf
"belwncëg, belwrke",pastern
belwësn,widow
belé,gloves
berkë,difficult
"berl-, bermšë-",to be shy
bersü,hard growth
berwe-,to chill
"berë, bergn",daughter-in-law
"bi, bid(n), man-, miné (gen.)",we
bilcë-,to become flat and watery
"bilxë-, xälë-",to overflow
"birm, šöwgë",awl
bodë,smallpox
"bodë, kewrdg",body
bodë-,to think
bogdë,sacred
bogë,sheep and goats
