Other,English
Fal'e baleyal,good evening
Fal'e kadbul,good morning
Fal'e misii,good afternoon
Fithngag ea,my name is
"Kafel, Kefel",goodbye
Kammagar,thank you
Minii fithngam?,What is your name?
Mogethin,hello
"balwoth, yimnoon",tongue
bidqiy,how?
biing,to open
biqech,new
"boqogol, muqgug",dull
boroq,rat
btiir,child
buuk',tail
buut',earth
"buuy', meal",rotten
changëg,to fly
"cheleeg, piig",to turn
chig,thatch
chii-tam-ngiin,father
chii-tin-ngiin,mother
"chug, lalug",head
chuuchguur,near
chuwaey',to buy
"daangaaq, daangaay, danga",no
"daay, rawn",water
dakean,above
dalip,three
dibqäg,thick
dirraq,thunder
doedöy,to cut
"doew, yalach, yarooch",skin
duw,year
ea,yes
faak,egg
"faqan, fäqän",if
faraay,to sniff
fas,to live
"feal', maenigiil",good
figir,husband
"fil, filfil, pining, pinpining",to suck
foor,to climb
"gaaq, gaqgaaq",big
"gadow, gamow",we
gaeg,I
"gardaq, mäyguq, meyguq",wet
"giidiiq, giirdiiq",person
gilaey',left
gimeew,you
giriin,green
goenöw,spider
"gof, tael",rope
gubiin,all
"guruuy, keer, kerkeer",to scratch
guul,to hit
guulfith,thin
guur,thou
guy,to see
"gärbeab, qulum",cold
k'aad,to bite
"kaay, qabiich",to eat
"keer, kerkeer",to dig
keeruq,back
kireeb,bad
koel,to hold
"kuus, pilis",dog
l'agruw,two
"l'igi-n, l'ugu-n, langaa-n",mouth
laan,in
laang,sky
labthir,old
lal',five
langad,to chew
lawaay,woods
leak',stick
leam,to think
"lii-g, teel",ear
liiq,to kill
"liith, luum",to cook
lik',root
"lik'aey, malik'aey",to dream
"lipäth, lupäth",lake
luul',to flow
lëq,wife
m'aag,to tie up
"m'aar, muqbich",painful
"m'uthm'uuth, m'uuth",sharp
"ma, ngea",and
maagooleng,cloud
"maal'aaf, qureel",far
"maam, mam",fat
maang,what?
maathqëg,to count
"madaay, riguur",sea
maegchoel,yellow
"magar, rus",to fear
mak'uuf,flower
malaang,stone
malik',dry
masëy,to split
mat'aaw,right
mathow,to swell
meel'eeg,to choose
"miit, qawochean",eye
miith,to hide
miniiq,who?
minmin,to laugh
"miyuuq, yuung",to plant
mool,to sleep
moqon,man
muul,to fall
"muun, paag",to throw
märweel,to work
n'uw,long
n'uw,rain
naang,to know
"nae-g, yi-n",belly
naqun,house
"neam, niir",that
neap',night
neeng,mosquito
neey,this
"ngachol, nguchol",name
"ngochngooch, ngooch",short
nguluq,to yawn
nguroeq,neck
nguwol,tooth
nifeeng,wind
nifiy,fire
niig,fish
noeng,to swim
p'eethnguu-n,nose
paan,grass
paaq,branch
"paaq, rifrif",hand
paer,to sit
pagoofaan,to breathe
parchooyog,snake
pardëq,to pound
"piluw, riyuul'",correct
piy,hair
"poe-n, puu-n",shoulder
puul,moon
qaab,dust
qaath,smoke
"qaay, rifrif",leg
qachiig,small
qaed,liver
qaliit,dirty
"qamngii-n, waqamngii-n",fruit
qanngeeg,four
qarcheaq,bird
qawaat,ash
qiir,he
qiir,she
"qirqiring. qiring, saath",to steal
qudiy,to squeeze
qufin,meat
quluch,lightning
"qunum, quun",to drink
quw,where?
qäloelaey,worm
"qörfeeg, qurfeeg",to burn
raad,wide
"raasam, thuuk",needle
rachaq,blood
raraan,day
"reeb, taqreeb",one
roowroow,red
rugöy,to stab
rungduq,black
rungqag,to hear
saak'iy,to stand
sool,salt
suull'ugun,to vomit
t'aay,intestines
t'uuf,star
taamraq,shy
taan,below
thiil,louse
"thiil, thilthiil",other
thoow,to blow
thuth,breast
"thuw, thuwaeg",to spit
toomaal,heavy
"tugiil, tuguul",to grow
u,at
weachweach,white
"wiqin, wuqin",when?
"wiqinqin, wuqinqin",narrow
woq,road
wul,feather
yaan',sand
yaen,to walk
yib,to come
yiim',to die
yiin',to shoot
yil,bone
yip',to sew
yoeg,to say
yoer,to cry
yow,they
yuuw,leaf
