Other,English
Aacurlir,personal name meaning a man who had two wives
Aacurlirmiut,site named after Aacurlir
Aaggalzngur,personal name meaning one with no hand
Aalaliikaar,personal name meaning snail
Aalur,personal name meaning one who is like a seagull
Aaluugileg,lake
Aaluugileg,meaning one with aaluugit sea gulls
Aanarakar,personal name meaning one with a mother
Aanat Erenrat,Mother's Day
Aanayagar,personal name meaning little mother
Aapirin,Tuesday
Acakcug,personal name meaning one who farts
Acakcum Kuiga,ariver meaning river of Acakcug
Acakcum Nunii,place meaning land of Acakcug
Acaknginar,personal name meaning one who is only an aunt
Agayun,God
Agayuner,Sunday
Agayunerpag,Christmas
Agayurrsurwit,place to find driftwood to make agayu (mask(s)
Agayuurrit,place meaning little cormorants
Aggsirer,personal name meaning one who moves
Aglumatelzrig,lake meaning the two begrudgers
Aglumauralzria,point of land meaning one who envies
Agtunrita wani!,Don't touch me there!
Agyaqer,personal name meaning heavenly star
Akagarwit,spit meaning places to keep rolling
Akiacuar,Akiachak-Alaska
Akiar,Akiak-Alaska
Akitnaqeggli,hill meaning one with a nice slope
Akitnaqegglicuar,smaller hill near Akitnaqeggli
Akiwignar,crater meaning a place to prop things up
Aklegarngali,hill meaning one that looks like a bird
Akquar,personal name meaning one who promises
Akuliqer,hill meaning the one in the middle
Akuliqutar,marsh land meaning the one in between
Akulqucug,stream between the two hills
Akulznguyag,two lakes meaning two in the middle of things
Akurcin,personal name meaning one who dips into water
Akurcin Qikerta,islet or reef meaning island belonging to Akurcir
Al'akar,meaning one who is surprised
"Al'akar, Anunaar, Arriran, Can'iralzria, Cuqa'ar, Lurtussikar, Miissar, Pingayan, Qimagarer, Tallileg, Tekrilzngur, Tutqir, Ukayir, Uqsullug, Uyanglin",personal name
Al'er,site and river meaning file
Alarneret Kuigat,stream meaning river of mistakes
Allianarli,crater mountain meaning place of loneliness
Alpaaruswig,July meaning the month murres fly south
Alpalgar,islet at the southeast coast of Nunivak
Alzrem Kuiga,river of Alzer on western coast of Nunivak
Am'igtulirmiut,a certain fishcamp meaning one with many doors
Ampir,personal name meaning one with a hump
Amuqan,personal name meaning to pull
An'arag,knolls meaning two places to pile feces
An'uliksenar,personal name derived of English word Hendrickson
Anarnissagam Nanwa,the lake of Anarnissagar stream
Anarnissagar,stream meaning a place that smells like feces
Anarnissagarmiut,camp in the proximity of Anarnissagar stream
Angaangaleg,personal name meaning one who's an imitation uncle
Angaangar,personal name meaning one who sings during dancing
Angaassalurmiut,site in the bank of the Mekoryuk River
Angagar,personal name meaning one who's struggling to move
Angenqer,personal name meaning one who has a big toe
Angenquyugtaleg,the largest lake on Cape Etolin
Angtuapagar,personal name meaning one that is big
Angutengiar,personal name meaning the men
Anman,personal name meaning one who is going out
Anrucillug,lake meaning raggedy stomach
Anunaar,meaning one who is harnessed
Anyarer,Aniak-Alaska
Aperyar,personal name meaning one who tells
Apruka'ar,Aproka River on the Alaskan mainland
Apsir,personal name meaning one who is dusty
Apsuallar,cliff meaning dusty area
Apurin,personal name meaning one who asks questions
Aqitumiut,coastal campsite near Aqitur
Aqitur,coastal land meaning to eat one's fill of food
Arinarmiut,campsite meaning a site of fermented food
Ariyang,personal name meaning one who calls names
Arnaci'irer,personal name meaning one who is becoming a lady
Arnaciar,personal name meaning middle aged woman
Arnacungar,personal name meaning little girl
Arnalluar,personal name meaning old lady
"Arnaracungar, Nevviayagar",personal name meaning young lady
Arnarayar,personal name meaning girl
Arnatqang,personal name meaning the lady
Arrayagar,personal name meaning small ember
Arriran,meaning sand dune
Asweryagmiut,campsite meaning place of many beached walrus
Asweryagmiut Taciat,the bay of Asweryagmiut
Ataatagguar,islet near the village of Mekoryuk
Atat Erenrat,Father's Day
Ateng Ingria,mountain of Ateng river
Atengmiut,campsite on the northwest side of Nunivak
Atkuta'ar,personal name meaning one with a parka
Atmaulluar,Atmauthlauk-Alaska
Atsar,personal name meaning salmonberry
Aumassurwig,cove north of Nunivak Island
Awegyar,personal name meaning one who can cut in halves
Ayakartur,personal name meaning one who is taking off
Ayaksar,personal name meaning one who gets stuck
Ayaperalzria,personal name meaning one who rises leaning
Ayaprun,personal name meaning hand support
Ayaquullug,personal name meaning one with a bad neck
Cagtuli,cliff meaning place to spread out
Can'gilzngurmiut,campsite meaning place of no grass
Can'iralzria,meaning one positioned sideways
Canikuryar,personal name meaning one who moves sideways
Caq'er,personal name meaning to tear
Car'er,personal name meaning a little amount
Carevner,coastal hill meaning result of a powerful ocean
Carwarmiut,campsite on an estuary meaning strong current
Cauyarciriwigmiut,site in an estuary meaning place ceremonial drums
Cetamirin,Thursday
Cev'armiut,native residents of Chevak
Ciayar,personal name meaning silver salmon
Ciguralegmiut,coastal site meaning place of pigeon
Cikigar,personal name meaning one who gives
Cikulqaar,personal name meaning one who has become frozen
Cimigar,personal name meaning one who changes
Cing'ig,Cape Corwin at the southeast side Nunivak
Cingigarmiut,campsite meaning a protruding sharp point of land
Cingigarrlugarmiut,site meaning an old point
Cingigmiut,site meaning old protruding land point
Ciqilitaleg,place where sour dock grows abundently
Ciuqlir,Monday
Ciutemqurtuli,place meaning one with an abundance of snail shell
Civlagar,personal name meaning to set out or to spread
Cugguarat,mouth of Cugguarat Kuigat
Cugguartaleg,hill meaning one with rocks that resemble a man
Cukiliyagar,personal name meaning little needlefish
Culugpaugaleg,stream meaning one with many grayling
Culuksut,sand dunes meaning spine
Cungallug,personal name meaning brine
Cup'ig,native of Nunivak Island
Cupigcarag,trail meaning to put a garment on backwards
Cuqa'ar,meaning the sights of a gun
Cuqucuryarmiut,estuarial site in southeast Nunivak Island
Curarpaleg,Chuathbaluk-Alaska
Cuukar,personal name meaning a post
Egcivv'it,hill meaning place to throw things away
Eggalar,personal name meaning to rasp
Egtarwig,riverbank meaning where one casts
Ellikarmiut,coastal site of Nash Harbor
Ellikarmiut Taciat,the bay of Ellikarmiut
Elluwagar,personal name meaning to dust
Englam Cingia,coastal point of land meaning laughing point
Englullrarmiut,coastal spring seal-hunting camp
Englullugmiut,site meaning area with unhealthy growth of grass
Icaranin,personal name meaning one to be tidied
Igigkarrat,place on Nunivak across the bay from Mekoryuk
"Igwar, igwar-",to come into view
Igwaryarag,two places to come into view
Igwaryarer,a place to come into view
Iigmiut,Eek
Iilzgayar,Dillingham
Iingan,personal name meaning an eye
Iingircaun,place to remove eyes or to get snow blind
Ilussug,personal name meaning one that has an inside
Im'in,personal name meaning to fill
Imam Umgut'i,November
Ing'errlag,Mt. Roberts
Ing'errlag,the largest mountain peak
Ingqilir,Indian (American)
Ingricuar,a hill meaning small mountain
Ingrig,Twin Mountains near the eastern coast of Nunivak
Ingrimiut,camp in the coast near Ingrig
Inutang,personal name meaning one who coos a child
Ipgeryit,lava bed meaning sharp rocks jutting out
Iqalluleg,crater hill meaning one with fish
Iqallulgem Nanwi,lake of Iqalluleg
Iqangmiut,estuarial meaning dirty village
Iqangmiut Kuigat,river of Iqangmiut
Iqiucirwig,point of land in a bay on the north coast
Iqug,westernmost cape of Nunivak Island
Iqugmiut,site near Iqug meaning residents of the end
Iralur,personal name meaning moon
Ircaqurrsurayuli,personal name of a shaman-one who hunts hearts
Irnerraucin,personal name meaning an inflated intestine
Itegmiut,coastal site meaning lower part of the foot
Itraqerceta'ar,cliff area meaning place for shelter in storms
Ivyugtuli,crater mountain meaning one with a lot of rain
Iwerwigmiut,a site in a bay meaning place to wade in water
Kakeggliyarwig,September
Kakianer,personal name meaning to have a prickly feeling
Kangiqucugar,little cove
Kangiremiut,residents of an estuary
Kangirtulirmiut,fish-camp site in a bay on the south
Kangirtulirmiut Kuiga,the river of Kangirtulirmiut
Kangqileg,personal name meaning one who has a cover
Kapuqarwit,places for spearing fish
Kass'alugpiag,Russian (literally: 'real white man')
Kassiglurmiut,Kasigluk
Kassiyum Kangiqucua,bay of Eskimo dancing
Kayum Pen'a,cliff meaning sculpin's cliff
Kegcuqag,isthmusmeaning one that bites
Kegcuqaleg,small islet south of Nunivak
Kegg'lunrat,sand dunes in the southeast interior of Nunivak
Keggalzruteg,name of two small mountains
Kinguiralzria,personal name meaning one who follows behind
Kituqatar,protruding land point meaning place of passing
Kuigaaremiut,site meaning residents of Kuigaar
Kuigayagarmiut,Oscarville-Alaska
Kuiget Aanit,February
Kuigglug,Kwethluk-Alaska
Kuigglugar,stream running meaning poor old river
Kuigpag,Yukon River
Kuinerrer,Quinhagak-Alaska
Kusquqvag,Kuskokwim River
Kuvyiller,point of land meaning place of set-netting
Laakautarkar,personal name meaning future water well
Leqlerrsurwig,lake meaning place to hunt molting geese
Leqlerrsurwigar,lake meaning little place to hunt
Lurlingmiut,site in a bay meaning people of the gurgling
Lurlur,one who falls into water with a splash
Lurtussikar,person who makes a gurgling sound
Macian,personal name meaning to warm up next to heat
Maklaleg,crater meaning one with bearded seal
Mamterer,Goodnews Bay
Mamterillermiut,Bethel-Alaska
Manignar,personal name meaning burbot
Manuquutar,Manokotak-Alaska
Maqiner,Saturday
Maram Ingria,hill meaning the mudflat's mountain
Mararremiut,site in the bay on southern Nunivak Island
Massualug,personal name meaning to bring up the hill
Mayuralzria,personal name meaning one who lost something
Mecagmiut,site in a bay meaning village of mecag
Mecagmiut Kuigat,river of Mecagmiut
Meciarun,personal name meaning seal oil implement
Mell'arpag,personal name meaning giant
Mella'ar,personal name meaning plugged
Miinguartarcirwig,site meaning one who pretends to pack water
Miissar,meaning one who give drinks
Mikngayar,personal name meaning one who is small
Mikuryarmiut,Mekoryuk meaning village of abundance
Mikuryarmiut Kuigat,river of Mekoryuk
Mikuryarmiut Taciat,bay of Mekoryuk
Mirasgan,personal name meaning one who regurgitates
Miya'ar,personal name perhaps meaning one who scowls
Naasaapelarmiut,Nash Harbor
Nakaar,personal name meaning bladder
Nani aqumgaurvik uitaa?,Where is the bar?
Nani cen'aq uitaa?,Where is the beach?
Nani pivika uitaa?,Where is my room?
Nanwag,lakes near a cliff meaning two lakes
Nanwar,lake meaning the lake
Nanwarat Cikutit,October
Nanwarciar,crater lake meaning acquired lake
Nanwarciayagar,crater lake meaning lesser acquired lake
Nanwarrag,lake in the village of Mekoryuk
Nanwarrlugar,lake meaning dear old lake
Napamiut,Napamute
Napanguyar,rock protrusion on the cliffy
Naparyarer,Napakiak
Naparyarmiut,Hooper Bay
Napaskiar,Napaskiak
Naqugutalzngur,personal name meaning one without a belt
Naryartur,personal name meaning one who goes to smell
Nat'rug,personal name meaning old floor
Nauglug,personal name meaning to grow badly
Nayagar,personal name meaning younger sister
Nayiir,personal name meaning ring seal
Negermiut,site meaning villagers of the north
Negermiut Kuigat,river of Negermiut
Nengllinar,spring at an east coast bay of Nunivak
Nulurevv'it,sand dunes meaning place to beckon someone
Nunakauyarmiut,Toksook Bay-Alaska
Nunapicuar,Nunapitchuk-Alaska
Nunarrlugarmiut,site at a bay meaning good old land
Nuniwar,Nunivak Island
Nurr'ang,personal name meaning one who is old and barren
Nuss'an,personal name meaning to be tamed
Nussaalar,personal name meaning tame person
Nuugavlarmiut,islet meaning village of good little point of land
Nuwugpig'ar,Aleutian Islands and the Alaska Peninsula
Nuyalzran,personal name meaning one who gestures to another
Nuyarpag,Indian
Paagulzria,personal name meaning one who stays behind
Paamiut,site meaning residents of the river mouth
Paamiut Kuigat,river of Paamiut
Paamiut Taciat,bay of Paamiut
Pacungiar,personal name meaning little gills
Panigacungar,personal name meaning cute little daughter
Panigarkar,personal name one who will be a future daughter
Panigkar,personal name a daughter for one
Panigkiun,personal name one who will be given as a daughter
Paninagar,personal name meaning daughter
Panissagar,personal name meaning little daughter
Pantungan,personal name one for a cover
Patgulzria,personal name meaning one who taps
Paugkumiu,native person of the Kuskokwim Delta
Paugwigar,islet meaning place for stakes for stretching seal
Paugyug,personal name meaning stake
Paun'ertuli,hill meaning place with numerous crowberries
Pelular,"personal name (from English ""Flora"")"
Penacuarmiut,site meaning village of small cliffs
Penacuarmiut Kuigat,river of Penacuarmiut
Penacuarmiut Taciat,bay of Penacuarmiut
Penacuat,site meaning small cliffs
Penaleg,crater lake meaning one with cliffs
Penaram Iqua,point of land meaning the end of a medium cliffs
Penarpag,cliffs on the west coast of Nunivak
Penarrlit,cliffs on the northwest coast of Nunivak
Pengui,sand dunes in the southeast part of Nunivak
Pimaayug,site meaning place to do something
Pimaayum Kuiga,river of Pimaayug
Pingayan,meaning the number three
Piqrutallret,point of land meaning ones who lost an axe
Pugtaqutarngali,hill with crater meaning one like a float for fish
Puqlanrem Aciarmiunga,black person
Qaaritar,Halloween
Qaawagar,personal name meaning little one on top
Qacngacaaqur,personal name meaning one who is relaxed
Qagkumiu,Inupiaq
Qalegnilzngum Kuiga,river of Qalegnilzngur
Qalegnilzngur,river mouth on the east side of Nunivak
Qaluyat,Nelson Island
Qaneryagtalegmiut,site meaning people of the place with many mouths
Qanitar,stream meaning waste disposal dump
Qanitarmiut,site meaning residents of Qanitar
Qasqass'um Nanwa,lake meaning lake of Qasqayug
Qasqayug,hill with crater meaning tends to be high
Qassuciar,hill meaning spoon
Qassuuciam Epua,ridge meaning spoon's handle
Qaugyaaram Caanga,seal netting site meaning frontal stretch of sand
Qaugyar Qikertar,sand island in a bay in the northwest of Nunivak
Qauqermiut,site meaning residents of Qauqer
Qavcurpag,personal name meaning one who continuously frowns
Qaviayarmiut,site in a bay upriver from Taprarmiut
Qavlumiut,site  meaning residents of Qavlu
Qawangut Kuigat,stream at a bay meaning river of dreams
Qayarkilzngur,personal name meaning one with a small kayak
Qayigyalegmiut,site meaning residents of qayigyaleg
Qayigyat,point of land meaning spotted seals
Qemirraleg,point of land meaning one with a little broad hill
Qengallegar,base of a spit on the east coast of Nunivak
Qengartaaremiut,site on a bay meaning residents of Qengartaar(ar)
Qengnernar,point of land in the north coast of Nunivak
Qenuang,personal name meaning one who is angry
Qiawigar,personal name meaning a place to cry
Qikertar,trianglular island meaning island
Qikertarrlag,islet meaning a major island
Qikmirtalegmiut,site on a bay meaning residents of Qikmirtaleg
Qikumiut,site meaning residents of qiku
Qikumiut Kuigat,river of Qikumiut
Qilangaaruswig,August
Qilzrirlur,hawk
Qimagarer,meaning one who runs away
Qimugglugpacuar,small rocky bluff area meaning small big bad dog
Qimugglugpag,small rocky bluff meaning big bad dog
Qinuran,personal name meaning to bother someone
Qirwan,personal name meaning one who wants something
Qiuran,personal name meaning land cluttered with rocks
Qiuryuggar,personal name meaning small land with rock
Qivcaugem Callugwia,islet meaning place where Qivcaug fought
Qivcuar,personal name meaning one who partially turns
Qivcungayag,personal name meaning one who turns badly
Quasqinarlit,seining site meaning ones that are slippery
Qullirrlugar,personal name meaning old top layer
Qungarmiut,site meaning residents of Qungar
Qungurkar,personal name meaning future coffin
Qungutur,personal name meaning grave
Qunqussin,personal name meaning one who sits cradled
Qunuug,point of land meaning two who are stingy
Qussauyar,personal name meaning person who is happy
Qutnguyugnar,rock meaning one that resembles a sealskin parka
Quuyarmiut,site meaning residents of Quuyar
Quyaner,Thanksgiving
Sevner,coastal stream meaning cut through place
Siimaleg,low mountain meaning one with rocks
Siimarpallur,islet meaning mostly rocks
Taalegalzria,personal name meaning tall dark one
Taamituryag,personal name meaning one who arrives badly
Taciat,bay of Nunarrlugarmiut
Tacikcuar,bay meaning little estuary
Tacillgar,personal name meaning not a pretty bay
Tacim Ingria,mountain meaning mountain of the bay
Tacirmiut,site in bay meaning residents of tacir (bay)
Tacirmiut Kuigat,river of Tacirmiut meaning river of a bay
Tacirrarmiut,site meaning residents of Tacirrar
Tacirrlag,estuary meaning major estuary
Takli,stream at the interior bay meaning long one
Taklir,island in a bay meaning long one
Tallileg,meaning one with an arm
Tallimirin,Friday
Talliqum Ciuqerra,bluff meaning the front of one like an arm
Talliqur,point of land meaning one like an arm
Talungmiut,site meaning residents of Talung
Talungmiut Kuigat,river of Talungmiut
Talungmiut Taciat,bay of Talungmiut
Tan'gurayariwig,cemetery meaning place where children stay
Tangepraalug,shore in a bay meaning just a bluff
Tanglurallret,Milky Way
Tanqiluryag Ciuqlir,December
Tanqiluryag Kinguqlir,January
Tanriag,personal name meaning seal-gut skylight
Taperrnarrlugtuli,beach meaning place with lots of beach grass
Taperrnarrlugtulim Cingia,point of land meaning point of Taperrnarrlugtuli
Taprarmiut,site on a bay meaning residents of a spit of land
Taprarmiut Kuigat,river on Taprarmiut
Taqcipag,African-American
Taqiggsullret,stream meaning place to get blackfish
Taqukat Tanqiat,March
Taryurnilzngum Kuiga,stream meaning river of Taryurnilzngur
Taryurnilzngur,lake on the south coast of Nunivak
Tayarumiu,Asiatic
Teggsagar,sand dunes meaning hardwood for bows
Tegyiwicuar,hill meaning small lookout
Tegyiwig,hill with a crater meaning lookout
