Other,English
"kancane, ncane, ncane",a little
omningi,a lot
isephulelo,abatement
isiphosiso,aberration
ukunceda,abet
"aukulina, ukuhlupheka",abide
ukuehluleka,abort
phandle,abroad
ukubaleka,abscond
ukuhamba,absent oneself
isitshudeni,academic
ukuamukela,accept
"ukunceda, ukuqeda",accomodate
"ukunceda, ukusiza",account
iakhawunti,account (also
ukuethemba,accredit
ukuejwayele,accustom
ukubuhlungu,ache
ukuenza,achieve
ilirisidi,acknowledgement
lilunga,acolyte
ukuazi,acquainted with: be ~
ukuthenga,acquire
ukuenza,act
eqinisweni,actually
"ikheli, ilikheli",address
hamba kahle,adieu
uhulumeni,administration
umuntu osekhulile,adult
ummeli,advocate
inkundla yezindiza,aerodrome
indiza,aeroplane
indaba,affair
ukuesaba,afraid of: be ~
iBhunu,afrikaans
"iBhunu, iliBhunu",afrikaner
emuva,after
intambama,afternoon
kuntambama,afternoon: it is the ~
ubudala,age
kulungile,agreed
imfiva,ague
phambili,ahead
"ukunceda, ukusiza",aid
umoya,air
indiza,aircraft
inkundla yezindiza,airdrome
ikundla yezindiza,airfield
indiza,airplane
ikundla yezindiza,airport
"ubhiya, utshwala",ale
ukuphila,alive: be ~
nke,all
-nke,all of the
-nke,all the
-dwa,alone
ningi,alot
futhi,also
futhi,also. likewise
eManzimtoti,amanzimtoti
eMelika,America
phakathi kwa-,among
na,and
bese,and then
ikhona,angle
"inkomo, isilwane",animal
-nye,another
ukuphendula,answer
noma yini,anything
igama,apellation
iligama,appellation
ihabhula,apple
amahabhula,apples
ukuthanda,appreciate
uApreli,april
"ukusukuma, ukuzalwa",arise
ukufika,arrival
ukufika,arrive
"kanjalo, kanjani, ngoba",as
eqinisweni,as a matter of fact
ukubuza,ask
ukubuza,asking
"ukunceda, ukusiza",assist
eduze,at
ekhaya,at home
ekugcineni,at last
manje,at present
lapho,at that place
ukuzama,attempt
ukuvakashela,attend
ukuhlola,audit
uAgaste,august
"ibhasi, ibhasi, ilibhasi, ilibhasi",autobus
"ikwindla, ukwindla",autumn
ukuletha,await
kude,away
"-bi, -bolile, kubi",bad
kabi,badly
"isaka, isikhwama, yisikhwama",bag
ibhikawosi,bakery
"ibhola, ibhola",ball
ubhanana,banana
ibhange,bank
ummeli,barrister
"ibhasikidi, ilibhasikidi",basket
"ibhavu, ibhavu",bath
itholethe,bathroom
ukuazi,be acquainted with
ukuesaba,be afraid of
ukuphila,be alive
ukuzalwa,be born
ukuehlukile,be different
ukusuthi,be full
ukulambile,be hungry
ukuejwayele,be in the habit of
ukubuhlungu,be paintful
ukuthula,be quiet
ukuomile,be thirsty
ukufuna,be willing to
"ibhishi, ibhishi, ilibhishi, ilibhishi",beach
ilirediyo,beam
"ubhontshisi, ubhontsshisi",bean
nobhontshisi,beans
ukuhlupheka,bear
inkomo,beast
"-bukekayo, -hle",beautiful
ngoba,because
"umbhede, umbhede",bed
inyama yenkomo,beef
"ubhiya, utshwala",beer
phambi kwa-,before
ukuqala,begin
emuva,behind
ukuethemba,believe
"phansi, phansi kwa-",below
phansi,below (phansi kwa-)
phansi kwa-,beneath
eduze,beside
-ngcono,better
phankathi kwa-,between
phakathi kwa-,between. among
isiphuzo,beverage
iBhayibheli,bible
"ibhayisikili, ilibhayisikili",bicycle
nkulu,big
ilibhayisikili,bike
"ilithikithi, isikwenetu, ithikithi",bill
inyoni,bird
usuku lokuzalwa,birthday
isiqhephu,bit
-mnyama,black
ubhejane,black rhinoceros
-mhlophe,blank
-bandayo,bleak
"ukubusisa, ukubusisa",bless
"igazi, iligazi",blood
-bomvu,blushing
"umkhumbi, umkhumbi",boat
"ibhunu, ilibhunu",boer
"ukubila, ukubila",boil
"ibhuku, ilibhuku, incwadi",book
incwadi,book. letter
ukubhuka,booking
ilirandi,border
ukuzalwa,born: be ~
ukuboleka,borrow
"inkosi, umakhonya",boss
"kokubili, kokubili",both
"ibhodlela, ilibhodlela",bottle
isitolo,boutique
