English,Other
aa,аа
aah,тийм
aba,ава
abac,зөвлөлдөх зөвлөлийн
abacus,мөн abacus нь
abaft,арын
abandon,орхих
abandoned,хаягдсан
abandoning,халах
abandonment,хаягдмал
abandons,хучингуй
abased,дорд аваачихын
abate,цуцлах
abated,хийгддэггүй
abatement,бууруулах
abating,намсгагчтай
abattoir,нядалгааны газрын
abattoirs,нядалгааны газар
abbas,аббас
abbreviate,товчлох
abbreviated,товчилсон
abbreviates,хураангуйлах
abbreviating,хураангуйлах
abbreviation,товчлол
abbreviations,товчилсон
abdicates,орхижээ
abdomen,хэвлийн
abdomens,хэвлий
abdomina,хэвлий
abdominal,хэвлийн
abduct,хулгайлах
abducted,хулгайлагдсан
abducting,хулгайлах
abduction,хулгайлах
abductions,хүний хулгай
abductors,хулгайлагчдын
abducts,хулгайлах
abed,абед
aberrancy,гажилт
abet,нэгэнтэй муудалцсанаас
abetted,явагддаг
abhor,жигшин зэвүүцэхийг
abhorred,жигшээ
abhorrence,жигшил зэвүүцэлтэйгээр
abhorrent,жигшүүрт
abidance,хүний ​​амь нас
abide,дагаж мөрдөх
abided,баримтлана
abides,нийцэж
abiding,бат бөх
abilities,чадвар
ability,чадвар
abiotic,абиотик
abject,тугээмэл
ablations,дарангуйлал гүн ажилбаруудыг
ablative,гуужуулах
ablaze,гэр бүлтэй
able,боломжтой
abler,авьяаслаг
ables,оруулсан байх
ablest,авьяаслаг
ablutions,шүршүүр
ably,цаана
abnormal,хэвийн бус
abnormalities,хэвийн бус
abnormality,эмгэг
abnormally,хэвийн бус
abnormity,гажиг
aboard,онгоцон
abode,гариг
abolish,халах
abolished,хүчингүй
abolishes,халах
abolishing,халах
abolishment,хассан
abolition,баялгийг
abolitionist,халсан
abominable,жигшүүрт
abomination,жигшүүрт
abominations,жигшүүрт хэргүүд
aboriginal,уугуул
aborigine,абориген
aborigines,аборигенүүд
abort,цуцлагдах
aborted,тасарч
aborting,мөч
abortion,хөндөлтийн
abortions,үр хөндөлт
abound,элбэг дэлбэг байх
abounded,бялхаж
abounding,баялаг
abounds,элбэг
about,тухай
above,дээрх
aboveground,ил
abraded,шалбарсан
abram,абрам
abrasion,үрэлтэд
abrasions,арьс зулгарсан
abrasive,зүлгүүрийн
abrasives,гуранз
abreast,өрнөлт
abridge,нь хураах
abridged,товчилсон
abridgers,хураангуйлагчдаас
abridges,хязгаарласан
abridging,хураангуйлахдаа
abridgment,хураангуйллыг
abroad,хилийн чанадад
abrogate,таслан зогсоох
abrogated,хүргэлтийн
abrogates,хүчингүй
abrogating,таслан зогсоох
abrupt,огцом
abruptly,гэнэт
abscess,буглаа
abscesses,буглаа
absconding,нуугдахад
absence,байхгүй байх
absences,чөлөө
absent,байхгүй
absentee,эзгүй
absenteeism,хичээлд
absolute,абсолют
absolutely,үнэхээр
absolutes,үнэмлэхүй
absolve,алдахгүй
absolved,цагаатгагдаж
absorb,шингээх
absorbance,шингээлт
absorbed,шингээсэн
absorbent,шингээгч
absorbents,шингээгч
absorber,шингээгчийн
absorbers,шингээгч
absorbing,шингээх
absorbs,шингээдэг
absorption,шингээлтийн
absorptions,шингээлтэд
absorptive,шингээх
abstain,цээрлэх
abstained,татгалзсан түдгэлзсэн
abstainers,ундааг
abstaining,татгалзах
abstains,цээрлэх
abstentions,түдгэлзсэн
abstinence,бэлгийн харилцаанд орохгүй
abstract,хийсвэр
abstracted,олборлосон
abstracting,олборлоно
abstraction,олборлолтыг
abstractions,хийсвэрлэл
abstractly,хийсвэрээр
abstracts,хураангуйг
absurd,утгагүй
absurder,учир утгагүй
absurdest,учир утгагүй
abundance,элбэг
abundances,баян тансаг
abundant,элбэг дэлбэг
abundantly,элбэг
abuse,хүчирхийлэл
abused,буруугаар
abuser,зовоон тарчлааж
abusers,урвуулан хэрэглэгчид
abuses,хүчирхийлэлийн
abusing,хүчирхийлж
abusive,бүдүүлэг
abut,талбайтай нийлэх
abutments,тулгуурт
abutting,байдгаараа онцлогтой
abyss,ангалд
abyssal,гүний
acacia,хуайс
academic,эрдэм шинжилгээний
academically,сурлага
academician,академич
academicians,академич
academics,эрдэмтэн судлаачид
academies,академи
academy,сургуулиуд
accede,нэгдэн орох
acceded,нэгдэн орсон
accedes,нэгдэн орсон
acceding,нэгдэн орох
accelerate,хурдасгах
accelerated,хурдасгасан
accelerates,түргэсгэж
accelerating,хурдасгах
acceleration,хурдатгал
accelerations,хурдасгал
accelerator,хурдасгагч
accelerators,хурдасгуур
accent,өргөлт
accented,өргөлтийн
accents,өргөлтийн
accentuate,үзлийг төлөвшүүлдэг
accentuated,хурцатсан
accentuates,онцолж
accept,хүлээн авах
acceptability,хулээж
acceptable,хүлээн зөвшөөрөх
acceptably,хүлээн зөвшөөрч
acceptance,хүлээн зөвшөөрөх
acceptances,хүлээн зөвшөөрөлт
acceptation,хүлээн зөвшөөрөх
acceptations,зүйд
accepted,хүлээн зөвшөөрөгдсөн
accepting,хүлээн авах
acceptor,хүлээн авагч
acceptors,хүлээн авагчийн
accepts,хүлээж авах
access,нэвтрэх
accessed,нэвтэрдэг
accesses,хүрэлцээ
accessibility,хүртээмж
accessible,хүртээмжтэй
accessibly,хүртээмжтэй
accessing,хандахыг
accession,нэгдэн орох
accessions,нэгдэн
accessories,хэрэгслүүд
accessory,дагалдах
accident,осол
accidental,санамсаргүйгээр
accidentally,санамсаргүйгээр
accidently,санамсаргүйгээр
accidents,осол
acclaim,хvндийг нь авчирчээ
acclamations,мэндчилгээ хүргэн
acclimated,нутагшмал
acclimation,нутагшуулах
acclimatisation,нутагшуулахад
acclimatization,нутагшуулахад
acclimatized,нутагших
acclimatizing,нутагшуулахад
accommodate,зохицох
accommodated,байрлуулна
accommodates,багтаамжтай
accommodating,тааруулах
accommodation,байр орон сууц
accommodations,орон байр
accommodative,уян хатан
accompanied,хамт
accompanies,дагалдан
accompaniment,дагалдан
accompaniments,даган
accompanist,хөгжимчин
accompany,дагалдан
accompanying,дагалдах
accomplice,хамсаатан
accomplices,хэлмэрч
accomplish,үүнийг хийхийн
accomplished,ингэхийн
accomplishes,гүйцэлдүүлдэг
accomplishing,хийж
accomplishment,амжилт
