English,Other
aao,aa
aardwolf,protelo
aback,atrás
abacus,ábaco
abaft,á re
abalone,haliote
abandon,abandonar
abandoned,abandonado
abandoning,abandonando
abandonment,abandono
abandonne,abandonné
abandonnee,abandonnée
abandons,abandonos
abase,humillar
abased,humillado
abasement,descenso
abash,embaraçar
abashed,avergoñado
abate,diminuír
abated,calmou
abatement,abatimento
abates,diminúe
abating,diminuír
abattoir,matadoiro
abattoirs,matadoiros
abbess,abadesa
abbey,abadía
abbeys,abadías
abbot,abade
abbots,abades
abbreviate,abreviar
abbreviated,abreviado
abbreviates,abrevia
abbreviating,abreviar
abbreviation,abreviatura
abbreviations,abreviaturas
abdicate,abdicar
abdicated,abdicar
abdicates,abdica
abdicating,abdicando
abdication,abdicación
abdomen,abdome
abduct,abduzir
abducted,raptado
abducting,secuestrando
abduction,abdução
abductions,raptos
abductor,abdutor
abductors,abdutores
abducts,rapta
abeam,de través
abed,acamado
abele,choupo negro
abenteuer,aventura
aberrant,aberrante
aberration,aberración
aberrations,aberracións
abet,instigar
abetting,complicidade
abeyance,inactividade temporal
abhor,abominar
abhorred,abominava
abhorrence,aversión
abhorrent,detestable
abhors,abomina
abiathar,abiatar
abide,permanecer
abided,respectados
abideth,permanece
abiding,permanencia
abijah,abias
abilities,habilidades
ability,capacidade
abimelech,abimeleque
abject,abxecto
abjectly,abjetamente
abjuration,abdicación
abjure,abjurar
abjured,abjurou
ablate,ablação
ablating,ablação
ablation,ablação
ablative,ablativo
ablaze,chamejante
able,capaz
ablest,máis capaz
abloom,en flor
ablution,ablução
ablutions,abluções
ably,habilmente
abnegation,abnegación
abnormal,anormal
abnormalities,anormalidades
abnormality,anormalidade
abnormally,anormalmente
aboard,a bordo
abode,casa
abodes,moradas
abolish,abolir
abolished,abolido
abolishes,abolindo
abolishing,abolición
abolition,abolición
abolitionist,abolicionista
abolitionists,abolicionistas
abominably,abominávelmente
abominate,abominar
abominated,abominava
abomination,abominación
abominations,abominacións
aboriginal,aborixe
aborigines,aborixes
abort,abortar
aborted,abortado
aborting,a abortar
abortion,aborto
abortionist,abortista
abortionists,abortistas
abortions,abortos
abortive,abortivo
aborts,aborta
abound,abundar
abounded,abundou
abounding,abundando
abounds,abunda
about,sobre
above,arriba
abraded,abradada
abram,abran
abrasion,abrasión
abrasions,abrasões
abrasive,abrasivo
abrasiveness,abrasividade
abrasives,abrasivos
abreast,mosaico
abridge,abreviar
abridged,resumido
abridgement,simplificación
abridging,cerceando
abridgment,resumo
abroad,no exterior
abrogate,revogar
abrogated,revogada
abrogating,derroga
abrogation,revogación
abrogations,ab-rogações
abrupt,abrupto
abruptly,abruptamente
abruptness,brusquidão
absalom,absalão
abscess,absceso
abscesses,abscessos
abscissae,abscissas
abscond,fuxir
absconded,fuxido
absconder,proscrito
absconding,fuga
abseiling,rutas descenso
absence,ausencia
absences,ausencias
absent,ausente
absented,ausentou
absentee,absentista
absenteeism,absentismo
absentees,faltosos
absenting,ausentando
absently,distraidamente
absentminded,distraído
absentmindedly,distraidamente
absolute,absoluto
absolutely,absolutamente
absoluteness,incondicionalidade
absolutes,absolutos
absolution,absolución
absolutism,absolutismo
absolutist,absolutista
absolutists,absolutistas
absolve,absolver
absolved,absoltos
absolves,absolve
absolving,absolvendo
absorb,absorber
absorbed,absorbido
absorbency,absorción
absorbent,absorbente
absorber,absorbedor
absorbers,absorvedores
absorbing,absorción
absorbs,absorbe
absorption,absorción
absorptions,absorcións
absorptive,absortivo
absorptivity,absortividade
abstain,absterse se
abstained,abstívose se
abstainer,abstêmio
abstainers,abstêmios
abstaining,absténdose se
abstains,abstense se
abstemious,abstêmio
abstemiously,abstemiamente
abstention,abstención
abstentions,abstencións
abstinence,abstinencia
abstinent,abstinente
abstract,abstracto
abstracted,distraído
abstractedly,abstractamente
abstracting,abstraindo
abstraction,abstracción
abstractions,abstraccións
abstractly,abstractamente
abstracts,resumos
abstruse,abstruso
abstrusely,abstrusamente
absurd,absurdo
absurdest,máis absurdos
absurdities,absurdos
absurdity,absurdo
absurdly,absurdamente
abundance,abundancia
abundances,abundancias
abundant,abundante
abundantly,abundante
abuse,abuso
abused,abuso
abuser,abusador
abusers,abusadores
abuses,abusos
abusing,abusando
abusive,abusivo
abusively,abusivamente
abusiveness,desaforo
abut,confinar
abutment,límite
abutting,confinando
abuzz,zumbidor
abysmal,abismal
abysmally,abissalmente
abyss,abismo
abyssal,abissal
abysses,abismos
abyssinia,abissínia
abyssinian,abissínio
ac,ca
academic,académico
academical,académico
academically,academicamente
academician,académico
academicians,académicos
academics,académicos
academies,academias
academy,academia
acanthus,acanto
acaso,casualidade
accede,unirse
acceded,adherido
acceding,adherente
accelerate,acelerar
accelerated,acelerado
accelerates,acelera
accelerating,acelerando
acceleration,aceleración
accelerations,aceleracións
accelerator,acelerador
accelerators,aceleradores
accelerometer,acelerómetro
accelerometers,acelerômetros
accent,acento
accented,acentuado
accenting,acentuando
accents,acentos
accentuate,acentuar
accentuated,acentuado
accentuates,acentúa
accentuating,acentuando
accentuation,acentuación
accept,aceptar
accepta,aceptación
acceptability,aceptación
acceptable,aceptable
acceptably,aceptablemente
acceptance,aceptación
acceptances,aceitações
acceptation,aceptación
accepted,acepto
accepter,aceitante
accepting,aceptando
acceptor,aceitante
acceptors,aceitantes
accepts,acepta
acces,acceso
access,acceso
accessed,acceder
accesses,accesos
accessibility,accesibilidade
accessible,accesible
accessing,accedendo
accession,adhesión
accessions,acessões
accessories,accesorios
accessory,accesorios
accident,accidente
accidentally,accidentalmente
accidents,accidentes
acclaim,aclamación
acclaimed,aclamado
acclamation,aclamación
acclamations,aclamacións
acclimatisation,aclimatación
acclimatise,aclimatar
acclimatised,aclimatado
acclivity,aclive
accolade,eloxio
accolades,eloxios
accommodate,acomodar
accommodated,acomodado
accommodates,acomodar
accommodating,obsequioso
accommodation,acomodación
accommodations,aloxamentos
accompanied,acompañado
