English,Other
folio,& fonte
folio ledger,& fonte ledger
folio verso,& fonte verso
effected,(madĩna)
rabble,-bayi
rabble rousing,-bayi rousing
horse-guards,-doki gadi
straightforwardness,-gaskiya
goose-grass,-goose ciyawa
district-attorney,-gundumar lauya
dressing-down,-miya sauka
refreshments,-sha
godhead,-ɗaya
financing,] a] e
recruiting,] aukar
hitchhiker,] aya
sweep over,] share a kan
sweep back,] share baya
sweep away,] share bãya
sweep through,] share ta
sweep up,] share up
rapist,`yarsu fyaden
in abeyance,a abeyance
in deed,a aiki
conduction,a aiwatar
in reserve,a ajiye
in amazement,a alajabi
in pocket,a aljihu
in use,a amfani
be agreed,a amince
safely,a amince
in confidence,a amincewa
in secret,a asirce
secretly,a asirce
in gross,a babban
be baby,a baby
ashore,a bakin
in ballast,a ballast
in vain,a banza
at bar,a bar
in arrears,a bashi
at issue,a batun
at bay,a bay
be beyond,a bayan
visible,a bayyane
visible horizon,a bayyane sararin sama
at random,a bazuwar
payable,a biya
in twain,a biyu
in bloom,a bloom
in bond,a bond
at the opening,a bude
wide open,a bude
open house,a bude gidan
open prison,a bude gidan yari
open space,a bude sararin samaniya
in print,a buga
in addition,a bugu da kari
in hiding,a buya
in cahoots,a cahoots
over there,a can
proceeding,a ci gaba
muddy,a cike da laka
into,a cikin
be in labour,a cikin aiki
inwards,a cikin gida
within limits,a cikin iyaka
within call,a cikin kiran
at the rate of,a cikin kudi na
in person,a cikin mutum
at sea,a cikin tẽku
herein,a cikin wancan
in that,a cikin wancan
in a bee-line,a cikin wani kudan zuma-line
in a muddle,a cikin wani muddle
in depth,a cikin zurfin
wherein,a cikinsa
at it,a cikinta
therein,a cikinta
in clover,a clover
in concert,a concert
molested,a cuce su
be had,a da
in miniature,a dada
at par,a daidai
at leisure,a dama
bounded,a daure
at one,a daya
in one,a daya
on the other side,a daya gefen
in laws,a dokokin
all over,a duk faɗin
whenever,a duk lokacin da
worldwide,a dukan duniya
in effigy,a effigy
across the board,a fadin hukumar
across country,a fadin kasar
geologist,a fanning binciken kasa
at cost,a farashi
at the beginning,a farkon
at the outset,a farkon
earlier,a farkon
earlier heroine,a farkon yar wasan kwaikwayon
preposterous,a faruwa ba
apparently,a fili
clearly,a fili
in public,a fili
obviously,a fili
in flower,a flower
in foal,a foal
in full,a full
in fun,a fun
in advance,a gaba
in front,a gaban
in front of,a gaban
beforehand,a gabãnin
ere,a gabãnin
ere long,a gabãnin tsawon
ere now,a gabãnin yanzu
ere while,a gabãnin yayin da
forgivable,a gafarta
be about,a game da
inconceivable,a gane
in justification,a gaskata
in fact,a gaskiya
in reality,a gaskiya
in truth,a gaskiya
on edge,a gefen
in general,a general
at home,a gida
in bulk,a girma
in support,a goyon baya
at speed,a gudun
at gunpoint,a gunpoint
in proportion,a gwargwado
at risk,a hadarin
combined,a hade
jointly,a hade
combined operation,a hade aiki
combined hand,a hade hannu
combined method,a hade hanyar
combined rhythm,a hade launi
combined might,a hade ƙarfin
be born,a haifi
in character,a halin
at present,a halin yanzu
currently,a halin yanzu
in perspective,a hangen zaman gaba
at discretion,a hankali
blooded,a hankali
at hand,a hannu
on hand,a hannu
in hand,a hannun
in a way,a hanyar da
in patient,a haƙuri
be connected,a haɗa
connecting,a haɗa
connecting tower,a haɗa hasumiyar
connecting element,a haɗa kashi
connecting digit,a haɗa lambar
connecting principle,a haɗa manufa
connecting rod,a haɗa sanda
connecting vowel,a haɗa wasali
connecting-rod,a haɗa-sanda
assorted,a haɗe
attached,a haɗe
in commission,a hukumar
in kind,a irin
on leave,a iznin
in tow,a ja
on tow,a ja
dispose,a jefa
dispose of,a jefa
dispose-of,a jefa-na
consecutive,a jere
spectra,a jere
consecutive interpretation,a jere fassarar
consecutive number,a jere number
in sequence,a jerin
alphabetically,a jerin abjadi
in convoy,a jerin gwanon
in sum,a jimla
be shipwrecked,a jirgi ya yi haɗari
in train,a jirgin kasa
in rotation,a juyawa
on it,a kai
regularly,a kai a kai
lateral,a kaikaice
sideways,a kaikaice
at least,a kalla
in camera,a kamara
in company,a kamfanin
aboard,a kan
on,a kan
over,a kan
upon,a kan
versus,a kan
over here,a kan a nan
on attachment,a kan abin da aka makala
on business,a kan aiki
on credit,a kan bashi
on bail,a kan beli
on demand,a kan bukatar
on consignment,a kan consignment
over the counter,a kan counter
on draught,a kan daftarin
on horseback,a kan dawakai
on trust,a kan dõgara
on parade,a kan farati
over cloud,a kan gajimare
on goings,a kan gangara
on television,a kan gidan talabijin
at stake,a kan gungumen azaba
on acquaintance,a kan idan sani
at intervals,a kan jinkiri
on board,a kan jirgin
on camera,a kan kamara
on ice,a kan kankara
on own,a kan kansa
on velvet,a kan karammiski
on tick,a kan kaska
on call,a kan kira
on line,a kan layi
on occasion,a kan lokaci
on balance,a kan maauni
on points,a kan maki
on principle,a kan manufa
on purpose,a kan manufar
on patrol,a kan masu gadi
on oath,a kan rantsuwa
upon oath,a kan rantsuwar
on record,a kan rikodin
on hire,a kan sakamako
over again,a kan sake
on trial,a kan sharia
on spec,a kan tabarau
on paper,a kan takarda
on tap,a kan tap
on offer,a kan tayin
on duty,a kan taƙawa
forcibly,a kan tilas
on order,a kan tsari
on shore,a kan tudu
unwillingly,a kan tĩlas
on view,a kan view
on fire,a kan wuta
on tail,a kan wutsiya
on approval,a kan yardar
on tour,a kan yawon shakatawa
in ruins,a kango
in itself,a kanta
thereon,a kanta
under par,a karkashin daidai
under nose,a karkashin hanci
under way,a karkashin hanya
under pressure,a karkashin matsin
under oath,a karkashin rantsuwar
under secretary,a karkashin sakataren
under consideration,a karkashin shawara
under offer,a karkashin tayin
under table,a karkashin tebur
under wraps,a karkashin wraps
under fire,a karkashin wuta
under protest,a karkashin zanga-zangar
