English,Other
gren,& gren
phoned,+ tambah
catgut,; katrin;
filmy,aadhunik
aland,aan
oor,aandilae song
ages,abad
centuries,abad
century,abad
red,abang
reduction,abang
abayas,abaya
bondmaid,abdi
courtiers,abdi
courtier,abdi dalem
alphabetically,abjad
bigamy,abojo loro
aboriginal,aborigin
abortion,aborsi
desperately,abot
heavyweight,abot
ceratopsians,aboté nganti
femur,abrik pakuwon
absent,absen
absolutist,absolutis
abstract,abstrak
abstraction,abstraksi
bloated,abuh
random,acak
randomly,acak
event,acara
events,acara
acclimatisation,acclimatization
brand,account
amandine,acep
dilli,achi
reaper,ada
adaptation,adaptasi
adapter,adaptor
adapters,adaptor
adaptors,adaptor
fennel,adas
congrats,adat
custom,adat
enforcer,addiba
improvisations,adegan
adenine,adenin
based,adhedhasar
contractual,adhedhasar perjanjen
cooled,adhem
cooler,adhem
mild,adhem
libretto,adhep
mace,adhik
arbitrage,adhiku
politeness,adhine lanang
cunningly,adi
fluid,adi
morceaux,adia bane nge
desirous,adil
justly,adil
objective,adil
prestigious,adiluhung
duke,adipati
additive,aditif
additives,aditif
adjectives,adjektif
flaunt,adji
administrations,administratif
administrative,administratif
administrators,administrator
admirals,admiral
away,adoh
distant,adoh
far,adoh
farthest,adoh
furthest,adoh
resale,adol meneh
arenas,adu
bullfight,adu bantheng
bullfighting,adu banthèng
consenting,adung
aerodynamics,aerodinamika
aerodynamic,aerodinamis
aerosols,aerosol
afghans,afghanistan
affiliated,afiliasi
affiliates,afiliasi
affiliations,afiliasi
religion,agama
religious,agama
religions,agami
amulets,agami islam
deadly,agawe
dresses,ageman
agent,agen
agents,agen
participating,agencies
bigger,ageng
grew,ageng
huge,ageng
preindustrial,ageng
agency,agensi
agar,ager
aggrandisement,aggrandizement
magics,agni
agonist,agonis
agonise,agonize
agonised,agonized
agonising,agonizing
agonisingly,agonizingly
aggression,agresi
aggressive,agresif
attorney,agung
greatness,agung
august,agustus
auguste,agustus
mid,agêng
debuggers,ahad
experts,ahli
professionally,ahli
geneticists,ahli génétika
psychologist,ahli ilmu jiwa
optician,ahli ing kacamata
marksman,ahli ing mbedhil
philologist,ahli sastra jawa
beneficiaries,ahli waris
dermatology,ahline obat
driftwood,ahmet kaya
aerogel,airgel
darn,aja bali dhisik
miracle,ajaib
mockery,ajaib
invites,ajakanipun
preoccupied,ajaran
constant,ajeg
constants,ajeg
continually,ajeg
everyway,aji
esteem,ajining
fist,ajiné
astonied,ajrih
reveres,ajrih dhumateng
aide,ajudan
junk,ajur
destructive,ajurmumur
gladness,ajènana
academy,akademi
academia,akademik
academics,akademik
academic,akademisi
expectant,akal
reasonably,akal
clipper,akasaka
ample,akeh
bulk,akeh
consuming,akeh
crowd,akeh
crowds,akeh
growing,akeh
many,akeh
much,akeh
multitude,akeh
myriad,akeh
numerous,akeh
poly,akeh
rash,akeh
ingenious,akeh akale
resourceful,akeh akale
heavily,akeh banget
overwhelming,akeh banget
plentiful,akeh banget
constitute,akehe
predominantly,akehe
chal,akeli
credited,aken
lately,akhir
eventual,akhire
aftermath,akibat
causation,akibat
consequence,akibat
implication,akibat
consequently,akibate
creed,akidah
accommodation,akomodasi
accommodations,akomodasi
accordion,akordion
familiarly,akrab
accreditation,akreditasi
acronym,akronim
alphabet,aksara
letter,aksara
phonologically,aksara
lowercase,aksara cilik
alphabets,aksara-aksara
accelerate,akselerasi
accelerator,akselerator
access,akses
accessibility,aksesbilitas
accessories,aksesoris
accessory,aksesoris
hairstyle,aksi
axiomatization,aksiomatisasi
active,aktif
actively,aktif
enabled,aktif
inactive,aktif
inactivity,aktif
ongoing,aktif
punctuated,aktif diselingi
activation,aktifitas
acting,akting
actinide,aktinida
activism,aktipisme
activist,aktivis
activities,aktivitas
actor,aktor
actors,aktor
actress,aktris
account,akun
accounts,akun
accountant,akuntan
accountants,akuntan
acupuncture,akupunktur
affirmative,akur
accuracy,akurasi
accurate,akurat
inaccuracies,akurat
accusative,akusatif
acoustic,akustik
diagnostics,akut
giardia,akut
leukaemia,akut
leukemia,akut
lot,akèh
multitudes,akèh
awful,ala
bad,ala
evil,ala
iniquity,ala
natural,alam
naturalist,alam
nature,alam
address,alamat
addresses,alamat
premonition,alamat
dyes,alami
naturalised,alami
naturalized,alami
naturally,alami
barriers,alangan
constraints,alangan
hindrance,alangan
hitch,alangan
obstacle,alangan
obstacles,alangan
obstruction,alangan
barrier,alangi
constrained,alangi
fastly,alap
falcon,alap-alap
forest,alas
forested,alas
forests,alas
jungle,alas
reasons,alasan
equipments,alat
monitors,alat
albums,album
reales,alcázares
aldehyde,aldehida
anaconda,alder
aldopentoses,aldopentosa
aldosterone,aldosteron
alencon,alençon
allergic,alergi
allergies,alergi
allergy,alergi
easiness,alesan
excuse,alesan
excuses,alesan
