English,Other
aaron,arona
aback,gaga
abandon,hanary
abandoned,nandao
abandoning,miala
abandonment,fandaozana
abandonne,abandonné
abandons,mandao
abased,hietry
abashed,mangaihay
abate,hampitony
abated,nihena
abatement,fiafarana
abbreviated,nohafohezina
abbreviation,fanafohezana
abbreviations,fanafohezan-teny
abdicate,pialàna
abdicated,zo
abdomen,kibony
abdomens,kibony
abdominal,kibo
abducted,naka an-keriny
abduction,fakana an-keriny
abductions,fakàna an-keriny
abductors,naka an-keriny
abel,abela
abettors,mpiray tsikombakomba
abhor,mankahalà
abhorred,ho zava-betaveta
abhorrence,rikoriko
abhorrent,maharikoriko
abhors,ho zava-betaveta
abiathar,abiatara
abide,mitoetra
abides,mitoetra
abideth,mitoetra
abiding,mitoetra
abijah,abia
abilities,fahaizana
ability,fahaizana
abimelech,abimeleka
abject,faraidiny
ablative,anarana
ablaze,nirehetanny
able,afaka
ably,matahotra
abnegation,nanafoanany
abnormal,ara-dalàna
abnormalities,ara-dalàna
abnormality,ara-dalàna
abnormally,mahazatra
aboard,ambony sambo
abode,nitoetra
abodes,fitoerana
abolish,hanafoana
abolished,nofoanana
abolition,fanafoanana
abominable,fahavetavetana
abominably,vetaveta
abominate,zava-betaveta
abomination,fahavetavetana
abominations,fahavetavetana
aboot,mombamomba ny
aborted,ny lalao
abortion,ny fanalan-jaza
abortions,fanalan-jaza
abound,betsaka
abounded,be
abounding,be
abounds,be dia be
above,ambony
abraham,abrahama
abram,abrama
abrasive,marokoroko
abridged,nofintinina
abridgment,famintinana
abroad,any ivelany
abrupt,tampoka
abruptly,tampoka
absalom,absaloma
absence,tsy misy
absences,tsy teo
absent,tsy eo
absentee,tsy tonga
absolute,tanteraka
absolutely,tanteraka
absolution,famotsoran-keloka
absolve,hanafaka
absorb,mandray
absorbed,variana
absorbing,mitroka
absorbs,mifoka
abstain,hifady
abstained,nifady
abstaining,mifady
abstains,hijanona
abstemiousness,ny fahalalana oniny
abstention,koa nilaza hoe mpankahala
abstinence,tsy nihinan-kanina
abstract,saro-takarina
absurd,tsy mitombina
absurdity,hadalàna
absurdly,dikany momba
abundance,be
abundant,be
abundantly,be dia be
abuse,fanararaotana
abused,nanararaotra
abuser,mpanararaotra
abusers,mpampijaly
abuses,fanararaotana
abusing,nanararaotra
abusive,herisetra
abusively,dratsy
abuzz,henika
abysmal,nahatsiravina ny
abyss,lavaka tsy hita noanoa
abyssinia,abyssinie
academia,akademia
academic,akademika
academically,pianarana
academician,akademisiana
academics,anjerimanontolo
academies,akademia
academy,akademia
accelerate,hanafaingana
accelerated,haingana
accelerating,mandroso haingana
acceleration,haingana
accelerator,mandehana mafimafy kokoa
accent,lantom-peony
accented,mitendro
accentuate,asongadinireny
accentuated,asongadiny
accentuating,vao mainka nampiaiky
accept,manaiky
acceptability,hanaiky
acceptable,azo ekena
acceptably,ankasitrahany
acceptance,fanekena
acceptation,fankasitrahana
accepted,nekena
accepting,manaiky
accepts,mandray
acces,accès
access,fidirana
accessed,wikimedia
accessible,mora
accessing,ny fahazoana
accession,fidirana
accessions,firotsahana ho
accessory,fanampin-javatra
accident,loza
accidental,tsy nahy
accidentally,tsy nahy
accidents,loza
acclaim,laza
acclaimed,nankafizinny olona
acclimatisation,acclimatization
accolades,tanana aminy
accommodate,handraisana
accommodated,nipetraka
accommodation,zavatra ilaina
accommodations,trano
accompanied,niaraka
accompanies,miaraka
accompaniment,arahina
accompany,hiaraka
accompanying,laoka
accomplice,mpiray tsikombakomba
accomplices,mpiray tsikombakomba
accomplish,hanatanteraka
accomplished,tanteraka
accomplishes,manatanteraka
accomplishing,nahavita
accomplishment,zava-bita
accomplishments,zava-bitany
accord,mifanaraka
accordance,araka
accorded,nomena
according,araka ny
accordingly,mifanaraka aminizany
accordion,angorodao
accords,dia mifanaraka
accosted,nohatoninny
account,tantara
accountability,andraikitra
accountable,tompon andraikitra
accountant,kaonty
accountants,bola
accounted,hisaina
accounting,fitantanam-bola
accounts,tantara
accreditation,fankatoavana
accredited,ofisialy
accueil,fandraisana
accumulate,hanangonany
accumulated,nanangona
accumulates,miangona
accumulating,manangona
accumulation,fanangonan-karena
accuracy,marina
accurate,marina
accurately,araka ny marina
accursed,voaozona
accusation,fiampangana
accusations,fiampangana
accusative,anarana
accuse,miampanga
accused,voampanga
accuser,mpiampanga
accusers,mpiampanga
accuses,miampanga
accusing,miampanga
accustom,hanazatra
accustomed,zatra
ace,abidy
aceasta,această
acetone,acétone
achab,ahaba
achaia,akaia
aches,izay maharary
achievable,tratrarina
achieve,hanatratra
achieved,tratra
achievement,zava-bitany
achievements,zava-bita
achieves,hanatanterahany
achieving,manatanteraka
aching,nanaintaina
acid,asidra
acidic,asidra
acidifying,ny asidra
acidrain,orana asidra
acids,amine
acknowledge,hiaiky
acknowledged,niaiky
acknowledgement,fiekena
acknowledgements,fankatelemana
acknowledges,ekenny
acknowledging,fanekena
acknowledgment,fiekena
acknowledgments,fankatelemana
acne,refin-
acorn,voa kelinny fangatahana
acquaint,hampahafantarana
acquaintance,olom-pantany
acquaintances,olom-pantany
acquaintanceship,mahafantatra
acquainted,mahafantatra
acquaints,mampahafantatra
acquiesce,sitraponandriamanitra
acquiesced,nanaiky
acquire,hahazo
acquired,nahazo
acquires,mahazo
acquiring,mahazo
acquisition,fahazoana
acquisitions,novidiny
acquit,manamarina
acquittal,fanafahana
acquitted,afaka madiodio
acquitting,manamarina ny meloka
acre,hektara
acres,hektara
acrobats,tsingolobatita
acronym,fanafohezan-teny
acronyms,fanafohezan-teny
across,manerana
act,asa
acted,nanao
actes,envoyer
actif,ny mpanao
acting,hanao zavatra
action,hetsika
actions,asa
activate,hampavitrika
activated,mampandeha
activates,dia mampiasa
activation,fampahavitrihana
active,mpanao
actively,mavitrika
activism,hafanam-po
activist,mafana fo
activists,mpikatroka
activite,activité
activities,asa
activity,asa
actor,mpilalao
actors,mpilalao
actress,mpilalao sarimihetsika
actresses,mpilalao sarimihetsika
acts,asa
actual,tena
actualisation,actualization
actualise,actualize
actuality,raha ny marina
actually,raha ny marina
actuating,mibaiko
acumen,fahaizana manamboatra
acupuncture,tsindrona volamena
acupuncturists,mpanao tsindrona volamena
acute,matsilo
ad,taorian i jk
að,taorian i jk
