English,Other
algol,"Al·gol || 'ælgɑl /-gɒl αλυόλ, βήτα του περσέως"
arc,ɑːk n. τόξο
atm,"ατμ, αυτόματη ταμειολογιστική μηχανή"
aaron's rod,χρυσόβεργα
abba,"n. αβάς, πατήρ"
abc,"eɪbɪː'sɪː n. αλφαβήτα, αλφάβητο"
aberdeen,n. είδος σκωτσέζικου τερριέ
abigail,Ab·i·gail || 'æbɪgeɪl n. υπηρέτρια [απηρχ.]
aboriginal,"ab·o·rig·i·nal || æbə'rɪdʒənl n. ιθαγενής, ιθαγενές ζώο ή φυτό"
abraham,A·bra·ham || 'eɪbrəhæm n. αβραάμ
abyssinia,n. αβυσσινία
access,"ac·cess || 'ækses n. προσχώρηση, πρόσβαση, προσέγγιση, είσοδος, φθάσιμο"
achaia,n. αχαία
achelous,n. αχελώος
achilles,A·chil·les || ə'kɪlɪːz n. αχιλλεύς
acropolis,n. ακρόπολη
adam,Ad·am || 'ædəm n. αδάμ
adam's apple,καρύδι του λαιμού
adamite,n. αδαμίτης
admiral of the fleet,στόλαρχος
adolf,n. αδόλφος
adolph,n. αδόλφος
adonis,A·do·nis || ə'dəʊnɪs n. αδώνης
adrian,n. αδριάνος
advent,"Ad·vent || 'ædvənt n. άφιξη, έλευση"
adventure,ad·ven·ture || əd'ventʃə n. περιπέτεια
aegean sea,αιγαίο πέλαγος
aegina,n. αίγινα
aeneas,n. αινείας
aeolian,Ae·o·li·an || ɪː'əʊlɪən adj. αιολικός
aeolic,adj. αιολικός
aeolis,n. αιόλιδα
aeolus,n. αίολος
aeschylus,n. αισχύλος
aesculapius,n. ασκλήπιος
aesop,n. αίσωπος
afghan,Af·ghan || 'æfgæn adj. αφγανός
afghanistan,n. αφγανιστάν
africa,n. αφρική
african,"Af·ri·can || 'æfrɪkən n. αφρικανός Af·ri·can || 'æfrɪkən adj. αφρικανικός, αφρικανός"
agatha,n. αγάθη
aglaia,n. αγλαία
agnatha,n. κυκλόστομοι
agnes,n. άγνη
ajax,n. αϊάς
alaska,n. αλάσκα
albania,n. αλβανία
albanian,Al·ba·ni·an || æl'beɪnɪən n. αλβανός Al·ba·ni·an || æl'beɪnɪən adj. αλβανικός
alexander,n. αλέξανδρος
alexandria,n. αλεξανδρεία
alexandrian,adj. αλεξανδρινός
alfred,n. άλφρεδος
algeria,n. αλγερία
