English,Other
pint,"0,47 litara, pinta"
yard,"0,914 metara, depo, dvorište, jard, jard (30 cm), manevarski kolosijek, radilište, ranžirna stan, stovarište"
primary rate interface,"048 Mb/s, sučelje primarne brzine, sučelje za brzinu 2, vezni sklop primarne brzine"
knot,"1 nautička milja na sat, mašna, uzao, vezati u čvor, čvor"
octal number system,"1, 2, 3, 4, 5, 6, 7), oktalni brojevni sustav, osmični brojevni sustav, sustav s osnovicom osam (0"
long ton,1.016047 metričke tone
cable,"1/10 nautičke milje, kabel, kabl, kabla, kablovski, konopac, provodnik, sajla, telegrafirati, telegram, uže, uže, sajla, čelično uže"
flicker noise,"1/f šum, šum treperenja"
10 base 2 coaxial cable,10 base - 2 coaxial cable ; 10 Base - 2 koaksijalni kabel
100 kilometres as the crow flies,100 km zračne linije
mile,"1609 metara, milja, milje, milju"
nautical mile,"1852 metara, morska milja"
2 binary 1 quarternary2b1q code,2 binary 1 quarternary(2B1Q) code ; linijski kod 2B1G
inch,"2,54 centimetra, inč, palac"
ounce,"28,349 grama, leopard, mjera za težinu, mrvica, pantera, unca, vrsta jaguara, zrnce"
normal double eurcard,"34 x 1 GOnm, obična dvostruka eurokartica, pločica sklopa dimenzije 23"
32 pulldown,"3:2 pulldown ; 3:2 smanjenje (broja slika/s), pretvorba 24 slike/s u NTSC televizijski format"
3g auction,3G auction ; dražba za sustave treće generacije
4 binary 3 ternary 4b3t,4 binary 3 Ternary (4B3T) ; linijski kod 4B3T
barrel,"42 galona tekućine na 15.4 stupnjeva C, 42 galona tekućine na 60 stupnjeva F, barel, bačva, bure, cijev, doboš, trup, valjak"
422 component,4:2:2 component ; 4:2:2 komponentni sustav
synchronous transport module 1,"52 Mb/s, digitalni kanal 155"
55 goes for taxes,55% goes for taxes ; 55% odlazi na porez
55 goes to the taxman,55% goes to the taxman ; 55% odlazi na porez
synchronous transport signal 1,"84 Mb/s, digitalni kanal 51"
cordless telephone generation 1,"900 MHz analogna FM, bežični telefon prve generacije, tehnologija bežičnog telefona (CEPT norme)"
a key,A - key ; A - ključ
a law,"A law ; pravilo A, zakon A"
akey,A-key ; A- ključ (u mobilnim komunikacijama
alaw,"A-law ; pravilo A, zakon A nelinearne kvantizacije govornog signala"
ad conversion,"A/D conversion ; analogno/digitalna pretvorba, pretvorba A/D"
ad converter,"A/D converter ; A/D pretvarač, analogno-digitalni pretvarač"
aal connection,AAL connection ; veza AAL
aal1,AAL-1 ; ML tipa 1
aal2,AAL-2 ; ML tipa 2
aal34,AAL-3/4 ; ML ti pa 3/4
aal5,AAL-5 ; ML tipa 5
aams countries,AAMS countries ; zemlje AAMS-a
abm agreement,ABM Agreement ; Sporazum o protubalističkim raketama
ac,"AC ; AC, izmjenična struja"
acp countries,ACP countries ; zemlje ACP-a
acpec committee of ambassadors,ACP-EC Committee of Ambassadors ; Odbor veleposlanika ACP-EZ-a
acpec convention,ACP-EC Convention ; konvencija ACP-EZ-a
acpec council of ministers,ACP-EC Council of Ministers ; Vijeće ministara ACP-EZ-a
acpec joint assembly,ACP-EC Joint Assembly ; Zajednička skupština ACP-EZ-a
acpec joint committee,ACP-EC Joint Committee ; Zajednički odbor ACP-EZ-a
acpec institution,ACP-EC institution ; institucija ACP-EZ-a
acr decrease time factor,ACR decrease time factor ; vrijeme smanjenja dozvoljene brzine prijenosa
acth insensitivity,ACTH insensitivity ; neosjetljivost na ACTH
adc,ADC ; ADC
adn agreement,ADN agreement ; sporazum ADN
adr agreement,ADR agreement ; sporazum ADR
aetr agreement,AETR agreement ; sporazum AETR
age antibody,AGE antibody ; AGE antitijela
ahp method,AHP method ; AHP metoda
accentuation,"AKCENTUACIJA, frekvencija korekcije, frekventna korekcija, isticanje, naglašavanje"
aloha capacity,ALOHA capacity ; kapacitet ALOHA mreže
aloha channel,ALOHA channel ; kanal ALOHA
aloha model,"ALOHA model ; model ALOHA, model višestrukog pristupa ALOHA"
aloha multiple access,ALOHA multiple access ; višestruki pristup ALOHA
aloha protocol,ALOHA protocol ; protokol ALOHA
aloha system,ALOHA system ; sustav ALOHA
aloha technique,ALOHA technique ; tehnika ALOHA
amco,AMCO ; AMCO
ancient times,ANCIENT TIMES ; ANTIKA
and operator,"AND operator ; I-operator, l-operator"
apec,APEC ; APEC
apec countries,APEC countries ; zemlje APEC-a
apo,APO ; APO
appu,APPU ; APPU
architecture decoration,ARCHITECTURE DECORATION ; ARHITEKTONSKA PLASTIKA
area research,AREALNA ISTRAŽIVANJA
arpa network,"ARPA network ; m reza AR PA, mreža ARPA"
arpa network working group,"ARPA network working group ; radna grupa za mrežu ARPA, radna skupina za mrežu ARPA"
ascii code,"ASCII code ; kod ASCII, kod ASCIIaspect ratio"
at command,"AT command ; modemski protokol za samobiranje, naredba AT"
at command set,AT command set ; AT skup naredbi
atm access concentrator,ATM access concentrator ; ATM pristupni koncentrator
atm adaptation layer,ATM adaptation layer ; ATM prilagodni sloj
atm add drop multiplexer,ATM add drop multiplexer ; ATM multipleksor s umetanjem i izdvajanjem
atm adddrop multiplexer,ATM add-drop multiplexer ; ATM multipleksor s umetanjem i izdavajanjem
atm address,ATM address ; adresa ATM
atm cell packetizerdepacketizer,"ATM cell packetizer/depacketizer ; paketizator/depaketizator stanica ATM, sklop za pakiranje i raspakiranje stanica ATM"
atm hub,"ATM hub ; ATM koncentrator linija, ATM zvjezdište"
atm inverse multiplexer,ATM inverse multiplexer ; inverzni multipleksor ATM
atm layer,ATM layer ; ATM sloj
atm layer link,ATM layer link ; veza na ATM sloju
atm link,"ATM link ; ATM veza, ATM veza (VPL ili VCL)"
atm peertopeer connection,ATM peer-to-peer connection ; ATM veza medu ravnopravnim sudionicima
atm technology in local area network,ATM technology in local area network ; ATM tehnologija u lokalnoj mreži
atm traffic descriptor,ATM traffic descriptor ; lista prometnih parametara ATM
atm useruser connection,ATM user-user connection ; korisnička veza ATM
atmattached host functional group,ATM-attached host functional group ; skup funkcija ATM terminala
atp agreement,ATP Agreement ; Sporazum ATP
avc benefits,AVC benefits ; beneficirane naknade
aarhus,Aarhus ; Aarhus
abaca,Abaca ; manilska konoplja ; abaka
abacca,Abacca ; manilska konoplja
abbeys,Abbeys ; opatije
abderite,Abderite ; Abderićanin
about,"About ; o programu ; blizu, cirka, nedaleko, negdje na, negdje u, o, oko, okolo, otprilike, pri sebi, približno, sa sobom, skoro, u blizini, u krugu, u okolini, u pogledu, što se tiče ; about... ; informacije..."
abruzzi,Abruzzi ; Abruzzo
abstract classes,Abstract Classes ; Apstraktne klase
abu dhabi,Abu Dhabi ; Abu Dhabi
academy of dramatic arts,Academy of Dramatic Arts ; Akademija dramske umjetnosti
academy of fine arts,Academy of Fine Arts ; Akademija likovnih umjetnosti
academy of music,Academy of Music ; Muzička akademija
accelerometer,Accelerometer ; Akcelerometar
accredited school of management,Accredited School of Management ; Škola za menadžment s pravom javnosti
accredited technical college,Accredited Technical College ; Visoka tehnička škola
achilles heel,Achilles heel ; ahilova peta
active databases,Active Databases ; Aktivne baze podataka
acylated saccharides,Acylated saccharides ; Acilirani saharidi
address us,Address us ; obratite nam se
adhesive restorative materials,Adhesive restorative materials ; Adhezijski restorativni materijali
administration taxes law,Administration Taxes Law ; Zakon o upravnim pristojbama
administrative commission,Administrative Commission ; Administrativna komisija
administrative and professional service,Administrative and Professional Service ; Stručna služba
administrative and technical services,Administrative and Technical Services ; Stručna služba
admistratively,Admistratively ; Administrativno
adrenal glands,Adrenal glands ; Nadbubrežne žlijezde
adria,Adria ; komplementarnost tur
adriatic,"Adriatic ; Jadran, Jadrana, Jadranskog, Jadranu, jadranske, jadranski"
adriatic sea,Adriatic Sea ; Jadransko more
adriatic area,Adriatic area ; jadransko područje
adriatic carbonate platform,Adriatic carbonate platform ; Jadranska karbonatna platforma
adriatic island isolates,Adriatic island isolates ; izolati jadranskih otoka
adriatic offshore,Adriatic off-shore ; jadransko podmorje
adriatic railway,Adriatic railway ; Jadranska željeznica
adriatic region,Adriatic region ; jadransko područje ; ADRIATIC REGION ; JADRANSKA REGIJA
adriatic shelf,Adriatic shelf ; jadranska kontinentalna podina
adsorptive accumulation,Adsorptive accumulation ; Adsorptivna akumulacija
advanced glycation endproducts,Advanced glycation end-products ; Završni proizvodi glikozilacije
advanced network architectures,Advanced network architectures ; Napredne mrežne arhitekture
advanced nuclear reactors,Advanced nuclear reactors ; Napredni nuklearni reaktori
advanced procedures,Advanced procedures ; Unaprijeđeni postupci
adventism,Adventism ; adventizam
aegean islands,Aegean Islands ; Egejski otoci
aegean sea,Aegean Sea ; Egejsko more
aenesidemus,Aenesidemus ; Enezidem
aeronautical technical institute,Aeronautical Technical Institute ; Zrakoplovno-tehnički zavod
afghanistan,Afghanistan ; Afganistan
africa,Africa ; Afrika
african development bank,African Development Bank ; Afrička razvojna banka
african organization,African organization ; afrička organizacija
african region,African region ; područje Afrike
african,"Afrikanac, Afrikanka, afrikanski, afrički"
afroasian organizations,Afro-Asian organizations ; afroazijske organizacije
agency for export and investment promotion,Agency for Export and Investment Promotion ; Agencija za promicanje izvoza i ulaganja
agency for the protection of market competition,Agency for the Protection of Market Competition ; Agencija za zaštitu tržišnog natjecanja
agreement on agriculture,Agreement on agriculture ; Sporazum o poljoprivredi
agricultural land act,Agricultural Land Act ; Zakon o poljoprivrednom zemljištu
agriculture,"Agriculture ; Poljoprivreda, Sektor za poljoprivredu ; poljodjelstvo, poljoprivrede, poljoprivredne, poljoprivredu, zemljoradnja"
agate,Ahat
air cushion,Air cushion ; zračni jastuk
airport,"Airport ; aerodrom, zračnoj luci ; Zrakoplovna luka, uzletište, zračna luka, zračno pristanište"
airway,Airway ; dišni put ; zračna linija
akt gene,Akt gene ; gen Akt
albania,"Albania ; Albanija, Albanije"
albanian,"Albanian ; albanski ; Albanac, albanski jezik"
albite,Albit
alchemy,Alchemy ; Alkemija
alexandria,Alexandria ; Aleksandrija
algebra,Algebra ; Zatvaračke algebre ; algebra
algeria,Algeria ; Alžir
algonkian,Algonkian ; Algonkij
alkylammoniumbromide,Alkylammoniumbromide ; Alkilamoniumbromid
alkylation,Alkylation ; alkilacija
all rights reserved,All rights reserved ; Sva prava zadržana
allosteric interactions,Allosteric interactions ; Alosteričke interakcije
alpine region,Alpine region ; alpska regija
alps,"Alps ; Alpa, Alpe, gorja"
alsace,Alsace ; Elzas
alterity,Alterity ; drugotnost
high alumina cement,Aluminatni cement
alluvial deposits,"Aluvijalne naslage, fluvijalne naslage"
fluvial deposits,"Aluvijalne naslage, fluvijalne naslage"
alzheimer disease,"Alzheimer disease ; Altzheimerova bolest, Alzheimerova bolest"
alzheimers,Alzheimer's ; Alzheimerova bolest
alzheimers disease,Alzheimer's disease ; Alzheimerova bolest
amaretto,Amaretto ; Amareto
america,America ; Amerika
america online service,America online service ; stalna usluga AMERIKA
american national standards institute,"American National Standards Institute ; Američki nacionalni institut za standarde, američki nacionalni institut za normizaciju ; American National Standards Institute) ; Američki nacionalni institut za standarde"
american samoa,American Samoa ; Američka Samoa
american telephone and telegraph company,American Telephone and Telegraph company ; Američki telefon i telegraf
american organization,American organization ; američka organizacija
american pie,American pie ; američka pita
american wire gauge,American wire gauge ; američki presjek žice
yankee,Amerikanac
american,"Amerikanac, Amerikanka, amerikanski ; American ; američka, američki"
amphibious vehicle,Amfibijsko vozilo
amphiboles,Amfiboli
amphibolite,Amfibolit
amnesty commission,Amnesty Commission ; Komisija za pomilovanja
amnesty international,Amnesty International ; Amnesty International
ampere,Amper
amplitude of particle oscillation,Amplitude of particle oscillation ; Amplituda osciliranja zrna
analyses and statistical infrastructure,Analyses and Statistical Infrastructure ; analize i statističkih infrastruktura
analysis toolpak,Analysis ToolPak ; Alati za analizu
analytic spectroscopy,Analytic spectroscopy ; Analitička spektroskopija
ananas,Ananas ; ananas
andalusia,Andalusia ; Andaluzija
andauntonia,"Andauntonia ; Andauntonia, Andauntoniu"
andautonia,Andautonia ; Andautonia
andean group,Andean Group ; Andska skupina
andean group countries,Andean Group countries ; zemlje Andske skupine
andorra,Andorra ; Andora
anglicanism,Anglicanism ; anglikanizam
anglicism,Anglicism ; anglicizam
angola,Angola ; Angola
anguilla,Anguilla ; Angvila
animal behaviour,Animal behaviour ; ponašanje životinja
anode,"Anoda, pozitivno polarizirana elektroda"
anomymous,"Anomymous ; anoniman, anonimno"
anortite,Anortit
antarctic ocean,Antarctic Ocean ; Antarktički ocean
antarctica,Antarctica ; Antarktika
antartic ocean,Antartic Ocean ; Antarktički ocean
antidumping,"Antidampinšku, antidampinški, protudampinški, protudampinško"
antigua and barbuda,Antigua and Barbuda ; Antigva i Barbuda
anticline,Antiklinala
antimicrobial agents,Antimicrobial agents ; antimikrobni lijekovi
antimicrobial policy,Antimicrobial policy ; antimikrobna politika
antioxidation,Antioxidation ; Antioksidacija
antioxydants,Antioxydants ; antioksidansi
antiparasitic therapy,Antiparasitic therapy ; Antiparazitarna terapija
antique harbours,Antique harbours ; antičke luke
antique thermal spa,Antique thermal spa ; antičke terme
antirabies vaccine,Antirabies vaccine ; Antirabična vakcina
anxiety disorders,Anxiety disorders ; Anksiozni poremećaji
any layer inner via holes,"Any layer, inner via holes ; prespojne staze u slojevima tiskane ploče"
anzus countries,Anzus countries ; zemlje Anzusa
aphasia therapy,Aphasia therapy ; terapija afazija
apostle,"Apostola, apostol, pobornik, propovjednik, vijesnik, vjesnik"
appletalk,AppleTalk ; skup protokola za lokalne mreže tvrtke Apple
applied meteorological service,Applied Meteorological Service ; Služba za primijenjenu meteorologiju
apsorptive hypercalciuria,Apsorptive hypercalciuria ; apsorptivna hiperkalciurija
apulia,Apulia ; Apulija
aquatic ecosystems,Aquatic ecosystems ; Akvatični ekosustavi
aquifer,Aquifer ; vodonosnik
aquifer formation,Aquifer formation ; formiranje vodonosnika
aquifers parameters,Aquifer's parameters ; parametri vodonosnika
aquitaine,Aquitaine ; Akvitanija
arab common market,Arab Common Market ; Arapsko zajedničko tržište
arab common market countries,Arab Common Market countries ; zemlje Arapskoga zajedničkoga tržišta
arab league,Arab League ; Arapska liga
arab league countries,Arab League countries ; zemlje Arapske lige
arab horse,Arab horse ; arapski konj
arab organization,Arab organization ; arapska organizacija
arabafrican cooperation,Arab-African cooperation ; arapsko-afrička suradnja
aragonite,Aragonit
arab,"Arap, Arapkinja, arabljanin, arapski konj ; Arab ; arapski"
arabian,"Arapin, Arapkinja, arabljanin, arapski ; Arabian ; arapskom"
arcesilaus,Arcesilaus ; Arkesilaj
archdeacon,"Archdeacon ; archiđakona, arhiđakon"
archie,Archie ; Archie (usluga Interneta)
architectural form,Architectural Form ; Arhitektonska forma
architecture in split,Architecture in Split ; ARHITEKTURA SPLITA
archival material,Archival Material ; arhivska građa
arctic ocean,Arctic Ocean ; Arktički ocean
amphiteater,"Arena, Areni"
arenaceous rocks,Areniti
argentina,Argentina ; Argentina
argillaceous rocks,"Argiliti, Sitnozrnaste klastične stijene, Slejt, pelitne stijene"
archimedean,"Arhimedov, arhimedski"
arkose,Arkoza
article,"Arktik, artikal, artikl, dio, gramatički član, odredba, predmet, proizvod, točka, član, članak"
armenian,"Armenac, Armenka, Armenski"
armenia,Armenia ; Armenija
armenian question,Armenian question ; armensko pitanje
arsenic in water,Arsenic in water ; arsen u vodi
art galleries,Art Galleries ; galerijsku
artesian aquifer,Arteški vodonosnik
arthropods,Arthropods ; Člankonošci
articles 12 to 14 below,Articles 12 to 14 below ; niže navedeni članci 12. do 14.
arts academy,Arts Academy ; Umjetnička akademija
aruba,Aruba ; Aruba
arusha convention,Arusha Convention ; Konvencija iz Arushe
as far as time goes back,As far as time goes back ; odvajkada
asean countries,Asean countries ; zemlje Aseana
ash wednesday,"Ash Wednesday ; Pepelnica, čista srijeda"
asia,Asia ; Azija
asian floater,Asian floater ; Japanski servis
asian organization,Asian organization ; azijska organizacija
assembly of prismatic huul blocks,Assembly of Prismatic Huul Blocks ; sastavljanje volumenskih sekcija
astenosphere,Astenosfera
