English,Other
a-,"не-, а-"
a-battery,батарея накала
a-bomb,атомная бомба
a-day,намеченный день нападения
a-hunt,на охоте
a fat lot of good,очень здорово
a few,несколько
a fortiori,тем более
a great many,очень много
a la,подражание
a piece of cake,легкое достижение
a posteriori,апостериори
a priori,априори
a.m.,до полудня
a1,первоклассный
aback,назад
abacus,"счеты, абак"
abaft,сзади
abandon,покидать
abandoned,заброшенный
abase,унижать
abash,смущать
abashed,смущенный
abate,уменьшать
abatement,уменьшение
abattoir,скотобойня
abbacy,аббатство
abbess,аббатиса
abbey,монастырь
abbot,аббат
abbreviate,сокращать
abbreviation,"сокращение, аббревиатура"
abc,простой
abdicate,отрекаться
abdomen,живот
abdominous,толстый
abducent,отводящий
abduct,похищать
abducting,отводящий
abductor,похититель
abecedarian,азбучный
abed,в постели
abel,авель
aberation,"аберация, аберрация"
aberrant,заблуждающийся
aberration,заблуждение
abet,подстрекать
abeyance,состояние неизвестности
abhor,питать отвращение
abhorrence,отвращение
abhorrent,отвратительный
abidance,соблюдение
abide,терпеть
abiding,постоянный
ability,способность
abject,жалкий
abjure,отрекаться
ablation,устранение
ablaze,возбужденный
able,способный
abloom,в цвету
ablution,промывка
abnegate,отказываться
abnegation,отрицание
abnormal,ненормальный
abnormality,ненормальность
aboard,на корабль
abode,жилище
abolish,отменять
abolition,упразднение
abominable,отвратительный
abominate,не любить
abomination,отвращение
aboriginal,исконный
abort,выкидыш
aborted,недоношенный
abortion,аборт
abortionist,подпольный акушер
abortive,неудачный
aboulia,отсутствие воли
abound,изобиловать
about,вокруг
about to,готовность совершить действие
above,упомянутый выше
abracadabra,абракадабра
abradant,абразив
abrade,шлифовать
abranchial,безжаберный
abrasion,ссадина
abrasive,обдирающий
abreast,в ряд
abridge,сокращать
abridgement,сокращение
abridgment,ограничение
abroad,за границей
abrogate,отменять
abrupt,внезапный
abruption,разрыв
abscess,нарыв
abscission,отнятие
abscond,скрыться
absence,отсутствие
absent,отсутствующий
absentee,отсутствующий
absenteeism,невыход на работу
absinthe,полынь
absolute,неограниченный
absolutely,совершенно
absolution,прощение
absolve,прощать
absorb,всасывать
absorbent,поглощающий
absorbing,увлекательный
absorption,впитывание
abstain,воздерживаться
abstemious,умеренный
abstention,воздержание
abstinence,воздержание
abstinent,постящийся
abstract,отвлеченный
abstracted,отдаленный
abstraction,отвлечение
abstractive,абстрактный
abstruse,трудный для понимания
absurd,нелепый
abulia,отсутствие воли
abundance,изобилие
abundant,обильный
abuse,злоупотребление
abusive,оскорбительный
abut,примыкать
abutment,опорный
abutting,примыкающий
abuzz,гудящий
abysm,бездна
abysmal,бездонный
abyss,бездна
abyssal,глубинный
acacia,акация
academic,академический
academician,академик
academy,академия
acarpous,не имеющий плодов
acarus,клещ
accede,соглашаться
accelerant,катализатор
accelerate,ускорять
accelerated,ускоренный
accelerating,ускоряющий
acceleration,ускорение
accelerator,катализатор
accent,ударение
accentual,относящийся к ударению
accentuate,выделять
accept,принимать
acceptable,приятный
acceptance,принятие
accepted,принятый
accepter,приемщик
access,доступ
accessible,доступный
accession,вступление
accessories,принадлежности
accessory,добавочный
accidence,морфология
accident,несчастный случай
accidental,случайный
acclaim,шумное приветствие
acclamation,одобрение
acclimate,акклиматизация
acclimation,акклиматизация
acclimatization,акклиматизация
acclimatize,акклиматизировать
acclivity,подъем
accommodate,приспособлять
accommodating,вмещающий
accommodation,помещение
accompaniment,сопровождение
accompany,сопровождать
accompanying,сопровождающий
accomplice,сообщник
accomplish,выполнять
accomplished,законченный
accomplishment,завершение
accord,согласие
accordance,согласие
accordant,согласный
according,соответственно
accordingly,соответственно
accordion,гармонь
accost,приветствие
accouchement,роды
account,счет
account for,объяснять
accountable,ответственный
accountant,бухгалтер
accounting,расчет
accoutre,одевать
accredit,уполномочивать
accredited,общепринятый
accrete,обрастать
accretion,прирост
accrue,накопляться
accumulate,накапливать
accumulation,накопление
accumulative,накапливающийся
accumulator,коллектор
accuracy,точность
accurate,точный
accursed,злополучный
accurst,ненавистный
accusation,обвинение
accusatorial,обвинительный
accusatory,обвинительный
accuse,обвинять
accused,обвиняемый
accustom,привыкать
accustomed,привычный
ace,туз
acephalous,безголовый
acerbate,озлоблять
acerbity,терпкость
acetify,окислять
acetone,ацетон
acetylene,ацетилен
ache,боль
achieve,достигать
achievement,достижение
achromatic,бесцветный
acicular,игольчатый
acid,кислотный
acidic,кислотный
acidify,окислять
acidity,кислотность
acidulated,кисловатый
acidulous,кисловатый
ack-ack,зенитные орудия
acknowledge,быть признательным
acknowledgement,официальное заявление
aclinic,горизонтальный
acme,вершина
acne,угорь
acock,вызывающе
acolyte,служитель
acorn,желудь
acoustic,слуховой
acoustics,акустика
acquaint,знакомить
acquaintance,знакомый
acquainted,знакомый
acquiesce,покорность
acquiescence,уступки
acquiescent,уступчивый
acquire,приобретать
acquired,приобретенный
acquirement,приобретение
acquisition,приобретение
acquisitive,восприимчивый
acquit,оправдывать
acquittal,выполнение
acquittance,освобождение от обязательства
acre,акр
acreage,акр
acrid,едкий
acrimonious,язвительный
acrimony,язвительнось
acrobat,акробат
acrobatics,акробатика
acrophobia,боязнь высоты
acropolis,акрополь
across,через
act,поступок
acte,антракт
acting,действующий
action,действие
activate,активировать
active,деятельный
activity,деятельность
actor,деятель
actress,актриса
actual,настоящий
actuality,действительность
actualize,реализовать
actuary,регистратор
actuate,побуждать
actuator,силовой привод
acuity,острота
acumen,проницательность
acuminate,остроконечный
acupuncture,иглотерапия
acute,проницательный
ad,объявление
ad-lib,импровизированный
ad hoc,на данный случай
ad lib,сколько угодно
ad nauseam,до отвращения
ad valorem,соответственно стоимости
adage,пословица
adam,"адам, кадык"
adamant,твердый
adamantine,несокрушимый
adapt,приспособлять
adaptable,легко приспособляющийся
adaptation,приспособление
adapter,соединительное устройство
add,прибавь
add-on,расширение
addend,слагаемое
addendum,приложение
adder,гадюка
addict,наркоман
addicted,склонный
addiction,пагубная привычка
addition,сложение
additive,присадка
addle,тухлый
addled,испорченный
address,адрес
addressee,получатель
addressing,адресация
adduce,приводить
adenoids,аденоиды
adept,сведущий
adequate,отвечающий требованиям
adhere,прилипать
adherence,приверженность
adherent,вязкий
adhesion,сцепление
adhesive,липкий
adieu,прощание
adipose,жирный
adit,штольня
adjacency,соседство
adjacent,смежный
adjective,имя прилагательное
adjoin,примыкать
adjoining,прилегающий
adjourn,делать перерыв
adjudge,выносить приговор
adjudicate,судить
adjunct,приложение
adjuration,клятва
adjure,заклинать
adjust,приводить в порядок
adjusted,урегулированный
adjuster,установщик
adjusting,регулирующий
adjustment,регулировка
adjutant,подручный
adjuvant,вспомогательный
admeasure,отмерять
administer,управлять
administrate,управлять
administration,управление
administrator,управляющий
admirable,восхитительный
admiral,флагманский корабль
admiralty,адмиралтейство
admiration,восхищение
admire,любоваться
admirer,поклонник
admissible,допустимый
admission,признание
admit,признавать
admittance,доступ
admittedly,предположительно
admix,примешивать
admixture,примесь
admonish,предостерегать
admonition,предостережение
admonitory,предостерегающий
ado,беспокойство
adobe,кирпич воздушной сушки
