Other,English
äänellä,aanella
åäö,aaO
ääressä,aaressa
en rygg,aback
kulram,abacus
akter,abaft
havsöra,abalone
överge,abandon
övergiven,abandoned
överge,abandoning
nedläggning,abandonment
abandonné,abandonne
överger,abandons
förnedra,abase
förödmjukad,abased
förnedring,abasement
göra generad,abash
avtagit,abated
minskning,abatement
avtar,abates
avta,abating
slakthus,abattoir
slakterier,abattoirs
abbedissa,abbess
omabbeville,Abbeville
kloster,abbey
förkorta,abbreviate
förkortat,abbreviated
förkortar,abbreviates
förkorta,abbreviating
förkortning,abbreviation
förkortningar,abbreviations
abdikera,abdicate
abdikerade,abdicated
abdikerar,abdicates
abdikera,abdicating
abdikering,abdication
buken,abdomen
bortföra,abduct
kidnappade,abducted
bortförande,abducting
bortförande,abduction
kidnappningar,abductions
abduktor,abductor
kidnappare,abductors
kidnappar,abducts
tvärs,abeam
en säng,abed
avvikande,aberrant
aberrationer,aberrations
blåsa,abet
understödjer,abets
medhjälp,abetting
vilande,abeyance
avskyr,abhor
avsky,abhorrence
motbjudande,abhorrent
ebjatar,Abiathar
följa,abide
iakttagit,abided
förbliver,abides
förbliver,abideth
abia,Abijah
förmågor,abilities
förmåga,ability
abimelek,Abimelech
extrem,abject
ynkligt,abjectly
avsvor,abjured
ablatera,ablate
abiadering,ablating
ablativ,ablative
lågor,ablaze
kunna,able
skickligaste,ablest
tvagning,ablutions
skickligt,ably
förnekelse,abnegation
onormal,abnormal
abnormiteter,abnormalities
abnormitet,abnormality
onormalt,abnormally
ombord,aboard
boning,abode
boningar,abodes
avskaffa,abolish
avskaffas,abolished
handlar om upphävande av,abolishes
avskaffa,abolishing
avskaffande,abolition
abolitionister,abolitionists
avskyvärda,abominable
avskyvärt,abominably
avsky,abominate
avsky,abomination
styggelser,abominations
avbryta,abort
avbruten,aborted
avbryter,aborting
abort,abortion
abortörerna,abortionists
aborter,abortions
avbryter,aborts
överflöd,abound
flödade,abounded
flödande,abounding
flödar,abounds
om,about
ovan,above
slipas,abraded
nötning,abrasion
skrubbsår,abrasions
slipmedel,abrasive
slipande,abrasively
slipförmåga,abrasiveness
slipmedel,abrasives
à jour,abreast
förkorta,abridge
förkortad,abridged
förkortning,abridgement
förkortade,abridging
förkortning,abridgment
utomlands,abroad
upphäva,abrogate
upphävts,abrogated
upphävande,abrogating
upphävande,abrogation
abrupta,abrupt
abrupt,abruptly
plötslig,abruptness
abscesser,abscesses
abskissa,abscissa
abskissan,abscissae
abskissan,abscissas
avvika,abscond
avvikit,absconded
avvikande,absconding
håller sig undan,absconds
firning,abseiling
frånvaro,absence
frånvaro,absences
frånvarande,absent
uteblivit,absented
frånvarande,absentee
frånvaro,absenteeism
frånvarande,absentees
frånvarande,absently
förstrött,absentmindedly
tankspriddhet,absentmindedness
absolut,absolute
absolut,absolutely
absoluthet,absoluteness
avlösning,absolution
absolut,absolutism
absolut,absolutists
frikänna,absolve
befrias,absolved
fråntar,absolves
befria,absolving
absorbera,absorb
absorberad,absorbed
