English,Other
a.c.,交流電
a.d.,n. 西元...年
a.m.,午前; 上午
aa,嗜酒者互誡協會
abc warfare,生物､原子､化學戰
aclu,美國公民聯合會
afl,"美國勞工聯合會, 勞聯"
ag,軍務署署長
ag,檢查總長
am,"æmˑ əm 調頻, 調諧"
am,æmˑ əm 文科碩士
ama,美國經營管理協會
ama,美國醫學協會
amu,n. 原子質量單位
anc,非洲民族會議
ansi,美國國家標準學會
apa,美國心理學協會
api,應用程式界面
arc,ɑːk n. 美國紅十字會
arp,ARP協定
asap,"`eɪsæp 儘快, 愈快愈好"
ascii,美國資訊交換標準碼
atm,異步傳輸模式
aup,可接受使用政策
awacs,機載空中警報控制系統
awol,不請假而缺席
aaron,n. 艾倫
aaronic,adj. 關於亞倫的; 猶太教中亞倫後裔教士的; 關於大祭司的; 摩門教次級教士的
ab,n. 猶太曆中的十一月
abe,n. 亞伯; Abraham的暱稱
aberdeen,n. 亞伯丁
abraham,A·bra·ham || `eɪbrəhæm n. 亞伯拉罕
absalom,n. 押沙龍
abyssinia,n. 阿比西尼亞
abyssinian,1. Ab·ys·sin·i·an || æbɪ`sɪnɪən n. 阿比西尼亞人; 阿比西尼亞語 2. Ab·ys·sin·i·an || æbɪ`sɪnɪən adj. 阿比西尼亞的
acadia,n. 阿卡迪亞
acapulco,n. 阿卡波可
achilles,A·chil·les || ə`kɪlɪːz n. 阿基里斯
achilles` heel,唯一致命的弱點
ada,n. 艾達
adam`s apple,喉結
address resolution protocol,位址分辨協定
aden,n. 亞丁
adonis,A·do·nis || ə`dəʊnɪs n. 阿多尼斯; 花花公子; 美少年; 側金盞花屬
adriatic,A·dri·at·ic || eɪdrɪ`ætɪk adj. 亞得里亞海的
advent,Ad·vent || `ædvənt n. 基督降臨; 降臨節
aegean,"Ae·ge·an || ɪː`dʒɪːən adj. 愛琴海的, 多島海的"
aegean sea,愛琴海
aeschylus,n. 希臘之詩人及悲劇作家
aesculapian,Aes·cu·la·pi·an || eskjə`leɪpɪən /ɪːskjʊ- adj. 醫神埃斯丘勒匹厄斯的; 醫術的
aesculapius,n. 埃斯丘勒匹厄斯
aesop,n. 伊索
aesopian,adj. 伊索的
afghan,"1. Af·ghan || `æfgæn n. 阿富汗語, 阿富汗人, 一種針織軟毛毯 2. Af·ghan || `æfgæn adj. 阿富汗人的, 阿富汗的"
afghanistan,n. 阿富汗
africa,n. 非洲
african,"1. Af·ri·can || `æfrɪkən n. 非洲人 2. Af·ri·can || `æfrɪkən adj. 非洲人的, 非洲的"
afrikaans,"Af·ri·kaans || æfrɪ`kɑːns n. 公用荷蘭語, 南非洲的荷蘭語"
afro-american,n. 美國黑人
agamemnon,n. 阿加曼農
agatha,n. 愛葛莎
ainu,n. 艾努人; 艾努語
airedale,n. 有黑斑的大型種狗; 航空母艦艦上人員
akron,n. 亞克朗市
al,n. 鋁
alabama,n. 阿拉巴馬州
alabaman,n. 阿拉巴馬州人
alabamian,n. 阿拉巴馬州人
aladdin,n. 阿拉丁
aladdin`s lamp,阿拉丁的神燈; 能滿足人一切願望的東西
alan,n. 艾倫
alaska,n. 阿拉斯加州
alaskan,1. n. 阿拉斯加州人 2. adj. 阿拉斯加州的; 阿拉斯加州人的
albania,n. 阿爾巴尼亞
albanian,1. Al·ba·ni·an || æl`beɪnɪən n. 阿爾巴尼亞人; 阿爾巴尼亞語 2. Al·ba·ni·an || æl`beɪnɪən adj. 阿爾巴尼亞的
albany,n. 奧爾巴尼
albert,al·bert || `ælbət n. 艾伯特
alberta,n. 亞伯達省
albion,Al·bion || `ælbɪən n. 英格蘭的舊稱
albuquerque,n. 阿布奎基
aleut,n. 阿留申人; 阿留申語
aleutian,1. n. 阿留申群島的居民 2. adj. 阿留申群島的
alexander,n. 亞歷山大
