Word,Meaning
a,kb. huruf pertama dalam abjad Inggris. 2 angka yang baik sekali. 3 nada  A.   A- bomb bom atom.  A-1 ks. 1 kelas satu. 2 ulung.
a few,"segelintir, berbilang"
"a la, a la","menurut , secara. a. carte menurut kartu makanan, boleh memesan satu demi satu. a. Hollywood secara Hollywood. a. king dilapisi dgn lombok hijau. chicken a. king ayam yang dilapisi dgn lombok hijau."
a little,"cecah, secubit"
a lot,ks. banyak
a lot of,ks. banyak
a priori,kk. berdasar teori daripada kenyataan yang sebenarnya.
a.c.,(alternating current) arus bolak-balik
a.d.,[Anno Domini] T.M. [Tarich Masehi] sesudah lahirnya Nabi Isa.
a.m.,(ante meridiem) waktu dari jam 12 malam hingga 12 siang 7 a.m.Jam 7 pagi .
aaa,1 ( American Automobile Association)  Ikatan Mobil Amerika. 2 (American Antrhopological Association) Ikatan Ilmu Bangsa-Bangsa Amerika.
aaas,(American Association for the  Advacement of science)  Perkumpulan Amerika untuk Kemajuan Ilmu Pengetahuan.
aardvark,suatu jenis binatang di Afrika Selatan
aaron,Harun
aau,(Amateur Athletic Union) Perserikatan Atlit Amatir.
abaca,kb. pisang Manila/serat.
aback,kk. lih TAKE.
abacus,"kb. se(m)poa, sipoa."
abaft,"kk. buritan,  di belakang."
abalone,kb. tiram/kerang laut.
abandon,"kb. bebas..--kkt. 1 meninggalkan (ship). 2 memutuskan (hope).3 melepaskan, meninggalkan, membuang. 4. menyerahkan."
abandoned,"ks. 1 yang ditinggalkan. an a. house or ship rumah atau kapal yang ditinggalkan. 2 yang dibuang. an a. child anak yang dibuang, anak yang tak diurus lagi."
abandoning,kkt. menunda
abandonment,kb. 1 keadaan tertinggal. 2 dengan bebas.
abase,kkt. to a. o.s. before merendahkan diri terhadap.
abased,kkt. menghina. dihina
abasement,"kb. penghinaan, kerendahan diri."
abash,kkt. memalukan.
abashed,"ks. malu, bingung, kebingungan."
abashment,kb. rasa malu
abasing,kkt. menghina. penghinaan
abate,"kki. 1 (me)reda. The storm abated Angin ribut (me)reda. 2 mengurang, berkurang . The pain abated Sakitnya  mengurang. Perasaan sakit itu berkurang."
abated,kkt. berkurang. dikurangi
abatement,potongan harga
abating,kkt. berkurang
abatis,kb. benteng dari ranting-ranting pohon yang ditajamkan
abattoir,"kb. pembantaian, pejagalan, tempat pemotongan."
abbacy,kb. dabrah pendeta
abbess,kb. kepala biara wanita.
abbey,kb. biara.
abbot,kb. kepala biara pria.
abbreviate,"kkt  menyingkatkan, memendekkan --kki . menyingkat. he abbreviates a great deal in his memos  Ia menyingkat banyak dalam catatan - catatannya."
abbreviated,ks.  yang disingkatkan. a. shorts celana pendek yang pendek sekali.
abbreviating,kkt. menyingkat
abbreviation,"kb. 1 singkatan, kependekan. 2 perpendekan."
