Other,English
вид юж.-афр. мравояд,aardvark
морски охлюви,abalone
изоставят,abandon
изоставяне,abandonment
абатство,abbey
корем,abdomen
коремен,abdominal
отклонявам,abduct
отвличане,abduction
търпя,abide
спазващи,abiding
способност,ability
жалък,abject
пламнал,ablaze
способен,able
анормален,abnormal
аномалия,abnormality
жилище,abode
премахване,abolish
отвратителен,abominable
мерзост,abomination
прекъсване,abort
аборт,abortion
заклинание,abracadabra
абразив,abrasive
редом,abreast
рязък,abrupt
абсцес,abscess
отсъствие,absence
отсъстващ,absent
абсент,absinthe
абсолютен,absolute
опрощение на греховете,absolution
опрощавам,absolve
абсорбират,absorb
въздържат,abstain
въздържане,abstinence
абстрактен,abstract
абсурд,absurd
абсурд,absurdity
изобилие,abundance
изобилен,abundant
злоупотреба,abuse
обиден,abusive
бездънен,abysmal
бездна,abyss
академичен,academic
академия,academy
ускорител,accelerant
ускоряване,accelerate
ускорено,accelerated
ускорение,acceleration
ускорител,accelerator
акцент,accent
приемам,accept
приемлив,acceptable
приемане,acceptance
достъп,access
достъпен,accessible
аксесоар,accessory
злополука,accident
случаен,accidental
аплодирам,acclaim
настанят,accommodate
настаняване,accommodation
придружавам,accompany
съучастник,accomplice
постигне,accomplish
постижение,accomplishment
съгласие,accord
акордеон,accordion
сметка,account
отговорност,accountability
отговорен,accountable
касиер счетоводител,accountant
счетоводство,accounting
натрупват,accumulate
точност,accuracy
точен,accurate
проклет,accursed
обвинение,accusation
обвинявам,accuse
ас,ace
ацетилен,acetylene
болка,ache
постигане,achieve
постижение,achievement
схванат,achy
киселина,acid
потвърждението,acknowledge
признание,acknowledgement
акне,acne
жълъд,acorn
акустичен,acoustic
акустика,acoustics
познат,acquaintance
придобивам,acquire
придобиване,acquisition
уреждам,acquit
оправдателна присъда,acquittal
акър,acre
площ,acreage
акробат,acrobat
акрил,acrylic
действа,act
действие,action
активирате,activate
активиране,activation
активен,active
деец,activist
дейност,activity
актьор,actor
актриса,actress
действителен,actual
действителност,actuality
акупунктура,acupuncture
остър,acute
реклама,ad
поговорка,adage
непреклонен,adamant
адаптира,adapt
адаптация,adaptation
добави,add
усойница,adder
наркоман,addict
пристрастен,addicted
пристрастяване,addiction
пристрастяване,addictive
допълнителен,additional
адрес,address
вещ,adept
адекватен,adequate
се придържат,adhere
лепило,adhesive
съседен,adjacent
прилагателно,adjective
съседен,adjoining
Закриване,adjourn
регулирате,adjust
регулатор,adjuster
регулиране,adjustment
администратор,admin
администрира,administer
администрация,administration
административен,administrative
администратор,administrator
възхитителен,admirable
адмирал,admiral
адмиралтейство,admiralty
възхищение,admiration
възхищавам,admire
възхищават,admired
почитател,admirer
допустим,admissible
допускане,admission
признавам,admit
достъп,admittance
шум,ado
кирпич,adobe
юношество,adolescence
юноша,adolescent
приеме,adopt
осиновяване,adoption
приемен,adoptive
възхитителен,adorable
обожание,adoration
обожавам,adore
обожаващи,adoring
адреналина,adrenalin
адреналин,adrenaline
без посока,adrift
възрастен,adult
прелюбодеец,adulterer
изневяра,adultery
старост,adulthood
предварително,advance
напреднал,advanced
напредък,advancement
предимство,advantage
благоприятен,advantageous
приключение,adventure
авантюрист,adventurer
авантюристичен,adventurous
противник,adversary
вреден,adverse
бедствие,adversity
рекламирам,advertise
реклама,advertisement
реклама,advertising
съвет,advice
препоръчителен,advisable
съвети,advise
посъветваха,advisement
съветник,adviser
съветник,advisor
консултативен,advisory
застъпник,advocate
въздушен,aerial
аеробика,aerobics
аеродинамичен,aerodynamic
космически,aerospace
естетичен,aesthetic
афера,affair
засегне,affect
привързаност,affection
привързан,affectionate
писмена клетвена декларация,affidavit
присъединяване,affiliation
афинитет,affinity
утвърждаване,affirmation
утвърдителен,affirmative
скръб,affliction
позволим,afford
на достъпни цени,affordable
оскърбление,affront
пожар,afire
плаващ,afloat
гореспоменатия,aforementioned
уплашен,afraid
африкански,african
задгробен живот,afterlife
отава,aftermath
следобед,afternoon
афтършейв,aftershave
възраст,age
агенция,agency
дневен ред,agenda
агент,agent
влошавам,aggravate
влошаване,aggravation
агресия,aggression
агресивен,aggressive
агресивност,aggressiveness
агресор,aggressor
пъргав,agile
ловкост,agility
остаряване,aging
възбуждат,agitate
възбуда,agitation
пламнал,aglow
мъчителен,agonizing
агония,agony
Съгласен,agree
приятен,agreeable
съгласие,agreement
земеделски,agricultural
селско стопанство,agriculture
ало,ahoy
помощ,aid
помощник,aide
помагала,aids
болната,ailing
неразположение,ailment
цел,aim
въздух,air
въздушна възглавница,airbag
пренасян по въздуха,airborne
самолет,aircraft
летище,airfield
глупак,airhead
авиолиния,airline
пътнически самолет,airliner
въздушна пробка,airlock
самолет,airplane
летище,airport
дирижабъл,airship
въздушното пространство,airspace
въздушната скорост,airspeed
бетонна писта,airstrip
херметичен,airtight
дихателните пътища,airway
пътека,aisle
открехнат,ajar
известен още като,aka
алабастър,alabaster
аларма,alarm
тревожен,alarming
албатрос,albatross
албинос,albino
албум,album
алкохол,alcohol
алкохолик,alcoholic
алкохолизъм,alcoholism
беседка,alcove
член на градския съвет,alderman
ейл,ale
тревога,alert
люцерна,alfalfa
алгебра,algebra
алгоритъм,algorithm
псевдоним,alias
алиби,alibi
извънземно,alien
отчужди,alienate
отчуждение,alienation
запален,alight
подравняване,align
подравняване,alignment
издръжка,alimony
жив,alive
твърдение,allegation
предполагаемото,alleged
вярност,allegiance
алегро,allegro
алергичен,allergic
алергия,allergy
облекчаване,alleviate
алея,alley
тясна уличка,alleyway
съюз,alliance
съюзнически,allied
алигатор,alligator
позволява,allow
отстъпка,allowance
сплав,alloy
чар,allure
съблазнителен,alluring
съюзник,ally
алманах,almanac
всемогъщ,almighty
бадем,almond
алоха,aloha
сам,alone
сдържан,aloof
алфа,alpha
азбука,alphabet
азбучен,alphabetical
алпийски,alpine
олтар,altar
алтер,alter
промяна,alteration
кавга,altercation
заместник,alternate
редуващ се,alternating
алтернатива,alternative
алтиметър,altimeter
надморска височина,altitude
алуминий,aluminum
възпитаник на даден университет,alumnus
болест на Алцхаймер,alzheimers
амарето,amaretto
любител,amateur
изумени,amazed
изумление,amazement
удивителен,amazing
посланик,ambassador
кехлибар,amber
атмосфера,ambience
околен,ambient
двусмислен,ambiguous
амбиция,ambition
амбициозен,ambitious
амброзия,ambrosia
линейка,ambulance
засада,ambush
изменят,amend
изменение,amendment
обезщетение,amends
симпатичен,amiable
амино,amino
боеприпаси,ammo
амоняк,ammonia
амоний,ammonium
боеприпаси,ammunition
амнезия,amnesia
амнистия,amnesty
влюбчив,amorous
количество,amount
любовна интрига,amour
усилвател,amp
хидроплан,amphibian
двойствен,amphibious
предостатъчен,ample
отрязвам,amputate
ампутиране,amputation
в гнева си,amuck
амулет,amulet
разсмивам,amuse
развеселен,amused
забавление,amusement
забавен,amusing
анаконда,anaconda
анаграма,anagram
анален,anal
аналогия,analogy
анализ,analysis
