Other,English
forlasas,abandon
forlaso,abandonment
abatejo,abbey
abdomeno,abdomen
abdomeno,abdominal
kapti,abduct
kidnapo,abduction
restu,abide
restante,abiding
kapablo,ability
abjekto,abject
kapabla,able
nenormala,abnormal
nenormaleco,abnormality
restu,abode
aboli,abolish
abomeninda,abominable
abomenindaj,abomination
aborti,abort
aborto,abortion
abrasivo,abrasive
senscie,abreast
bruska,abrupt
absceso,abscess
foresto,absence
forestanta,absent
absoluta,absolute
absolvo,absolution
absolvi,absolve
sorbi,absorb
abstenu,abstain
sindeteno,abstinence
abstraktaĵo,abstract
absurda,absurd
absurdeco,absurdity
abundo,abundance
abunda,abundant
misuzo,abuse
abomenaj,abusive
abomenaj,abysmal
abismo,abyss
akademiano,academic
akademio,academy
akcelilo,accelerant
akceli,accelerate
akcelita,accelerated
akcelo,acceleration
akcelilo,accelerator
akcento,accent
akcepti,accept
akceptebla,acceptable
akcepto,acceptance
aliro,access
atingebla,accessible
akcesora,accessory
akcidento,accident
hazarda,accidental
aklamo,acclaim
akomodi,accommodate
loĝado,accommodation
akompani,accompany
komplico,accomplice
plenumi,accomplish
realigo,accomplishment
akordo,accord
akordiono,accordion
konto,account
respondeco,accountability
respondeca,accountable
librotenisto,accountant
librotenado,accounting
amasigi,accumulate
precizeco,accuracy
preciza,accurate
malbenita,accursed
akuzo,accusation
akuzi,accuse
as,ace
acetileno,acetylene
doloro,ache
atingi,achieve
atingo,achievement
aĉa,achy
acida,acid
agnoski,acknowledge
agnosko,acknowledgement
akno,acne
glano,acorn
akustiko,acoustic
akustiko,acoustics
konato,acquaintance
akiri,acquire
akiro,acquisition
absolvo,acquit
absolvo,acquittal
akreo,acre
akrejo,acreage
akrobato,acrobat
akrila,acrylic
akto,act
ago,action
aktivigi,activate
aktivigo,activation
aktiva,active
aktivulo,activist
aktiveco,activity
aktoro,actor
aktorino,actress
fakta,actual
aktualeco,actuality
akupunkturo,acupuncture
akra,acute
anonco,ad
fidema,adamant
adapti,adapt
adapto,adaptation
aldoni,add
aldono,adder
toksomaniulino,addict
toksomaniulino,addicted
toksomanio,addiction
toksomanio,addictive
aldona,additional
adreso,address
adeptino,adept
adekvata,adequate
aliĝi,adhere
adhesivo,adhesive
apuda,adjacent
adjektivo,adjective
adiaŭa,adjoining
prokrasti,adjourn
alĝustigi,adjust
alĝustigilo,adjuster
ĝustigo,adjustment
administranto,admin
administri,administer
administrado,administration
administra,administrative
administranto,administrator
admirinda,admirable
admiralo,admiral
admiraleco,admiralty
admiron,admiration
admiri,admire
admiris,admired
admiranto,admirer
akceptebla,admissible
konfeso,admission
agnoski,admit
akcepto,admittance
adobo,adobe
adoleskeco,adolescence
adoleskanto,adolescent
adopti,adopt
adopto,adoption
adoptema,adoptive
adorinda,adorable
adorado,adoration
adori,adore
adorante,adoring
adrenalino,adrenalin
adrenalino,adrenaline
plenkreskulo,adult
adultulo,adulterer
adulto,adultery
plenaĝeco,adulthood
antaŭeniri,advance
altnivela,advanced
antaŭeniĝo,advancement
avantaĝo,advantage
avantaĝa,advantageous
aventuro,adventure
