Other,English
A 'Chèitean,may
A 'chiad breab,kickoff
A 'gabhail fois,timeout
Am piocas,chickenpox
An Tuirc,turkey
Bi feitheamh,standby
Cailleanach,loser
Caitligeach,catholic
Caol,slim
Caol an dùirn,wrist
Ceangal suas,hookup
Ceapaire-isbein,hotdog
Club oidhche,nightclub
Clò-bhuail,printout
Coimhead a-mach,lookout
Coisich a-mach,walkout
Cuidhtich,quit
Cuimreach,welsh
Cuir air chois,setup
Cuir air chùl,discard
Cuir casg air,holdup
Cuir dheth,turnoff
Dhòmhsa,tome
Dubh,black
Dèan sgrùdadh air,checkout
Dèan suas,makeup
Dùin sìos,shutdown
Ear,east
Fada air falbh,faraway
Faigh air falbh,getaway
Fan an sin,hangout
Feuch,tryout
Fuaraich,knockout
Fàilte,welcome
Fìor Mhath,awesome
Gabh thairis,takeover
Geàrr dheth,cutoff
Gluasad gu furasta,easygoing
Gàidhealtachd,highland
Iar,west
Leas-phàipear,annex
Leig às,dropout
Mac,son
Nollaig,christmas
Obrachadh a-mach,workout
Osdail,hostel
Poileas,police
Purgadair,purgatory
Pàigh dheth,payoff
Pòlainneach,polish
Rach a throd,fallout
Raspars,showoff
Rolar-còrsair,rollercoaster
Ròmanach,roman
Seas,getup
Seas,standup
Seas ann an loidhne,lineup
Sgaradh,breakup
Sgioblaich suas,cleanup
Siuthad,goon
Solas builgein,lightbulb
Taigh-beag,bathroom
Taigh-òsta,inn
Thairis air ùine,overtime
Thoir a-mach,takeout
Thoir dhìot,takeoff
Thoir seachad,giveaway
Thoir suas,resign
Tionndaidh a-mach,turnout
Tog an àrd,buildup
Tog e,pickup
Tonndaidh timcheall,turnaround
Tuath,north
a 'chiad,first
a bharrachd,additional
a bharrachd,extra
a chaidh ainmeachadh,aforementioned
a chaochail,deceased
a dh'aona ghnothach,deliberate
a dh'aona ghnothach,intentional
a h-uile duine,everyman
a rèir aithris,alleged
a rèir coltais,apparent
a rèir coltais,supposed
a ’bhreac,smallpox
a ’bhuineach,diarrhea
a ’caoidh,grieving
a ’ceadachadh,consenting
a ’chaitheamh,tuberculosis
a ’ciallachadh,meaning
a ’coimhead,viewing
a ’cosnadh,earnest
a ’crathadh,shattering
a ’crìochnachadh,ending
a ’crìonadh,deteriorating
a ’cuimhneachadh,reminisce
a ’cuimhneachadh,reminiscent
a ’cuir thairis,exaggerate
a ’cumail air ais,withholding
a ’cumail smachd,controlling
a ’dol thairis air,overlapping
a ’dì-mhisneachadh,discouraging
a ’faicinn,sighting
a ’falbh,vanishing
a ’fantainn,abiding
a ’fàs nas sine,aging
a ’gabhail os làimh,undertaking
a ’ghriùthlach,measles
a ’grafadh,grappling
a ’lagachadh,undermine
a ’leantainn,ongoing
a ’leigeil dheth a dhreuchd,resignation
a ’lobhadh,decaying
a ’riaghladh,reigning
a ’soirbheachadh,thriving
a ’stobadh a-mach,projecting
a ’sìor fhàs,escalating
a ’tighinn,oncoming
a ’tighinn a-steach,incoming
a ’tighinn air tìr,landing
a ’tionndadh,revolting
a ’tionndadh,revolving
a ’toirt thairis,overriding
a ’tòiseachadh,beginning
a-mach,outgoing
a-mach,outrank
a-muigh,outdoor
a-muigh,outdoors
a-staigh,indoor
a-staigh,inner
a-staigh,interior
a-staigh,internal
a-steach,inlet
abaid,abbey
abair,say
abairt,phrase
abhag,terrier
abhainn,river
abstol,apostle
acadaimigeach,academic
acadamaidh,academy
acair,acre
acair,acreage
acair,anchor
acarsaid,anchorage
acfhainn,harness
achadh,field
achadh,fielder
achadh mèinn,minefield
achd,act
acrach,acute
acrach,hungry
acras,famished
acras,hunger
acras,starvation
acras,starve
acras,starving
actair,actor
ad,hat
adhair,air
adhaltranas,adulterer
adhaltranas,adultery
adharc,horn
adharcach,horned
adharcach,hornet
adharcach,horny
adhartach,advanced
adhartach,progressive
adhartach,superior
adhartachadh,advancement
adhartachadh,improve
adhartachadh,promote
adhartachadh,promotion
adhartas,progress
adhartas,progression
adhbhar,cause
adhbhar,motive
adhbhar,purpose
adhbhar,reason
adhbrann,ankle
adhbrann,anklet
adhlacadh,burial
adhlacadh,bury
adhlacair,undertaker
adhradh,worship
adorachd,adoration
ag aithris,recite
ag aithris,reclining
ag atharrachadh,amends
ag iomradh,rowing
ag obair,workings
ag àithneadh,commanding
agairt,sue
agallaiche,interviewer
agallamh,interview
