Other,English
아드 바르 크,aardvark
전복,abalone
버리다,abandon
포기,abandonment
대사원,abbey
복부,abdomen
복부,abdominal
납치,abduct
외 전,abduction
머물다,abide
준수,abiding
능력,ability
비열한,abject
불타는,ablaze
할 수 있는,able
비정상,abnormal
이상,abnormality
거처,abode
폐하다,abolish
가증 한,abominable
질색,abomination
중단하다,abort
낙태,abortion
헛소리,abracadabra
연마제,abrasive
나란히,abreast
험준한,abrupt
농양,abscess
부재,absence
결석,absent
압생트,absinthe
순수한,absolute
사면,absolution
해결하다,absolve
"없애다, 흡수하다, 흡착하다",absorb
삼가다,abstain
절제,abstinence
요약,abstract
불합리한,absurd
부조리,absurdity
풍부,abundance
풍부한,abundant
남용,abuse
남용,abusive
심연,abysmal
심연,abyss
학생,academic
학원,academy
촉진제,accelerant
가속하다,accelerate
가속,accelerated
가속,acceleration
액셀러레이터,accelerator
악센트,accent
동의하기,accept
수용 가능,acceptable
수락,acceptance
접속하다,access
얻기 쉬운,accessible
부속물,accessory
사고,accident
우연한,accidental
환호,acclaim
"수용하다, 편의를 도모하다, 숙박시키다, 적응시키다, 조정하다",accommodate
적응,accommodation
동반하다,accompany
공범자,accomplice
달하다,accomplish
성취,accomplishment
일치,accord
아코디언,accordion
계정,account
책임,accountability
책임,accountable
회계사,accountant
회계,accounting
축적하다,accumulate
정확성,accuracy
정확한,accurate
저주 받은,accursed
고발,accusation
비난,accuse
에이스,ace
아세틸렌,acetylene
아픔,ache
이루다,achieve
성취,achievement
아프다,achy
산,acid
인정하다,acknowledge
승인,acknowledgement
좌창,acne
도토리,acorn
음향학,acoustic
음향학,acoustics
"아는 사람, 안면, 면식,지면, 알고 있음",acquaintance
"획득하다, 받게하다, 잡다, 취득하다",acquire
"취득, 획득, 인수",acquisition
획득하다,acquit
무죄 방면,acquittal
에이커,acre
토지,acreage
곡예사,acrobat
아크릴,acrylic
행위,act
동작,action
활성화,activate
활성화,activation
유효한,active
활동가,activist
활동,activity
배우,actor
여배우,actress
실제,actual
현실,actuality
침 요법,acupuncture
심각한,acute
기원 후,ad
금언,adage
"단호한,지지 않고, 견고한",adamant
개조 하다,adapt
적응,adaptation
더하다,add
가산기,adder
중독자,addict
중독,addicted
탐닉,addiction
중독성,addictive
"추가의, 부가적인",additional
주소,address
"정통한, 숙달 한",adept
적당한,adequate
고수하다,adhere
점착제,adhesive
인접,adjacent
형용사,adjective
인접한,adjoining
휴회,adjourn
맞추다,adjust
조정자,adjuster
조정,adjustment
관리자,admin
관리하다,administer
관리,administration
행정,administrative
관리자,administrator
훌륭한,admirable
해군 대장,admiral
제해권,admiralty
감탄,admiration
"감탄하다, 탄복하다, 황홀하게 바라보다, 기꺼이하다, 칭찬하다",admire
존경하는,admired
숭배자,admirer
허용되는,admissible
입장,admission
"들이다, 넣다, 허락하다, 수용하다, 여지가있다, 들어갈 수단이되다, 접근 할 수단이되다, 인접하다",admit
입장,admittance
야단법석,ado
어도비 벽돌,adobe
청년기,adolescence
한창 젊은,adolescent
채택하다,adopt
양자,adoption
입양,adoptive
홀딱 반할 만한,adorable
동경,adoration
"경앙하다, 경모하다, 숭배하다, 아주 좋아하다",adore
숭배,adoring
아드레날린,adrenalin
아드레날린,adrenaline
떠돌아,adrift
성인,adult
간부,adulterer
간음,adultery
성인 임,adulthood
전진,advance
"많은, 진보 한, 많이 경과 한",advanced
진보,advancement
이점,advantage
유리한,advantageous
모험,adventure
모험가,adventurer
모험적인,adventurous
적,adversary
불리한,adverse
역경,adversity
공시 하다,advertise
광고,advertisement
광고하는,advertising
조언,advice
타당한,advisable
"권하다, 충고하다, 조언하다, 통지하다, 의논하다, 상담하다, 권고하다,주의하다",advise
조언,advisement
고문,adviser
조언자,advisor
자문,advisory
변호사,advocate
공중선,aerial
에어로빅,aerobics
공기 역학,aerodynamic
항공 우주,aerospace
미적,aesthetic
일,affair
영향을 미치다,affect
애정,affection
애정이 넘치는,affectionate
진술서,affidavit
"입회, 양자 결연, 제휴, 합동, 가맹",affiliation
"인척 관계, 호감, 애정",affinity
확언,affirmation
긍정적,affirmative
고통,affliction
형편이되다,afford
저렴한,affordable
"모욕, 모욕하다",affront
화재,afire
떠서,afloat
앞서 말한,aforementioned
두려워,afraid
아프리카 사람,african
내세,afterlife
