Other,English
A do,would
Administron,administer
Afati i fundit,deadline
Agostini,hippo
Aktivizoni,activate
Albatrosi,albatross
Anëtarësimi,membership
Arkivi,archive
Arktik,arctic
Arrow,lightbulb
Arusha e Madhe,dipper
Ashensor,elevator
Atmosferë,atmosphere
Autorizoj,authorize
Bashkëpunojnë,collaborate
Bibliotekar,librarian
Bibël,bible
Bizantin,byzantine
Blej,buy
Burim,fountain
Butik,boutique
Celës,key
Certifikimi,certify
Civilët,plainclothes
Detyrojë,compel
Devijimi i,divert
Dhëmbët,teeth
Dritë e dobët,gleam
Edipit,oedipal
Eklips,eclipse
Energise,energize
Evaporitik,evaporate
Faleminderit,thanks
Faqja e internetit,website
Farë e keqe,weed
Federale,federal
Feja,religion
Fekondoj,fertilize
Fillimi,commence
Finalizimi,finalize
Fjalor,dictionary
Foto,photo
Foto,picture
Frenimin,suppress
Gazete,newspaper
Gezuar,merry
Gjej,find
Goditeni,smite
Gral,grail
Gëlltis,gobble
Gëzohuni,rejoice
Hedh,discard
Heq kapakun,unscrew
Heqja,revoke
Hidhi,dispose
Hiqni dorë,abstain
Humor,mood
Hynin,smooch
I mbuluar me akull,iced
Imazhe,imaging
Imitoni,imitate
Infektojnë,infect
Inkorporimi,incorporate
Jeta e ulët,lowlife
Kapërcej,transcend
Kastor,beaver
Ki besim,confide
Klasifiko,classify
Koha e darkes,dinnertime
Kongresit,congressional
Konsideroni,contemplate
Kontabiliteti,accounting
Kool-ndihmës,kool-aid
Krijimtaria,creativity
Krishtlindje,christmas
Kristal,crystal
Kryqëzoje,crucify
Kthehu,comeback
Kthesa,turnaround
Kujdes,caution
Kujtoj,visualize
Kënaq,indulge
Kënaqësi,contentment
Kërkoj,solicit
Lajme,news
Largohu,getaway
Largohuni,depart
Lartësi,highness
Lazanja,lasagna
Lexo,readout
Lidhja,relevance
Lindja,east
Llogarit,calculate
Luaj,play
Lutjuni,beseech
Lutjuni,implore
Mace,cat
Mace e egër,wildcat
Maja,yeast
Mashtroj,juggle
Matematikë,mathematics
Matja,dipstick
Meditoni,meditate
Meditoni,ponder
Mesi,messiah
Metodologjia,meth
Miell,flour
Mijëvjeçarit,millennium
Mish,meat
Modifiko,modify
Muze,reenactment
Më vjen keq,sorry
Mësuar përmendësh,memorize
Ndaluni,desist
Ndihmë,help
Ndriçoji,illuminate
Ndërprit,abort
Ndërto,buildup
Neurokirurgji,neurosurgery
Ngarkoni,upload
Ngatërruar,confuse
Ngre,elevate
Nisja,launch
Nisë,embark
Nxitoni,hasten
Objekt,object
Objekti,artifact
Pagëzim,christening
Palester,gym
Pantallona të shkurtra,shorts
Parandalimi,prevent
Pastrues bore,snowplow
Peng,hostage
Plagosin,inflict
Plagët,wounds
Prespektive,perspective
Prezantimi,introduction
Prioritet,prioritize
Prishjen,demolish
Profili i,profile
Provimi,exam
Provoje,tryout
Psikoterapia,psychotherapy
Publicitet,publicity
Punimet,workings
Punë e vështirë,hardworking
Pushimi,leave
Puthja,foreplay
Përballur,confront
Përditësimi,update
Përfaqësitë,dealership
Përmbledhje,roundup
Përmendja,mention
Përplasen,collide
Përshëndetni,greet
Qëndroni,abide
Racionalizimi,rationalize
Radiologjia,radiology
Rajon,region
Regjistroj,enroll
Rehabilitimi,rehabilitate
Reps,rep
"Rifillo, fillo përsëri",restart
Rikontrollo,recheck
Rikrijojë,recreate
Riorganizimi,reorganize
Rivendos,reclaim
Rras,clench
Rripi i sigurimit,seatbelt
SIDA,aids
Sallameria,deli
Shenjtëri,holiness
Shiko,see
Shkarko,download
Shko,go
Shkrimet e Shenjta,scripture
Shkrirja,meltdown
Shkrirë,unfreeze
Shpallni,proclaim
Shpalos,unfold
Shqipto,pronounce
Shtëpi verore,summerhouse
Shuarja,withering
Sovjetik,soviet
Stakoj,unplug
Statusi,status
Takimi,meeting
Tekstil,textile
Telefona,cordless
Terhiquni,fullback
Thesari,treasury
Thjeshtojë,simplify
Thyej,breakdown
Transmetuesi,narrator
Turqi,turkey
Të ardhurat,revenue
Të hiqen,waive
Të mbikëqyrë,oversee
Tërheq,entice
Udhëtim,travel
Urime,congrats
VC,washroom
Vazhdo,goon
Ve,widowed
Venedikut,venetian
Vjedhja në dyqane,shoplifting
Vleresim,appreciation
Vlereso,validate
Volejboll,volleyball
Vërtetojnë,corroborate
Vërtetoni,authenticate
WC,closet
Zbatues,enforcer
Zbritni,descend
Zbulesa,revelation
Zbuloni,discover
Zbuluar,uncover
