Other,English
"adj] ทั้งหมด, รวมทั้งหมด, รวมทั้งสิ้น",overall
ก,bayou
กก,brood
กงสุล,consul
กฎ,rule
กฎบัตร,charter
กฎหมาย,law
กฎหมาย,legislation
กฎหมายแพ่ง,civics
กด,depress
กด,press
กดขี่,oppressive
กตัญญู,piety
กตัญญู,thankful
กบ,frog
กบฏ,mutiny
กบฏ,rebel
กบฏ,rebellion
กบฏ,treason
กมล,lily
กรง,cage
กรงขัง,penitentiary
กรงขัง,slammer
กรงนก,birdcage
กรงเล็บ,claw
กรณี,case
กรณีฉุกเฉิน,emergency
กรด,acid
กรดดินประสิว,nitrate
กรน,snore
กรรม,karma
กรรม,karmic
กรรมกร,laborer
กรรมการ,committee
กรรมตามสนอง,nemesis
กรรมาธิการ,commissioner
กรรโชก,extort
กรรไกร,scissors
กรวด,gravel
กรวด,pebble
กรวย,funnel
กรอง,filter
กรอบ,crisp
กรอบ,crispy
กรอบ,frame
กรอบ,framework
กระจก,glass
กระจกหน้ารถ,windshield
กระจกเงา,mirror
กระจอก,shoddy
กระจอก,sparrow
กระจัดกระจาย,scatter
กระจับหุ้มบังอวัยวะสืบพันธุ์ของผู้ชาย,jockstrap
กระจาย,diffuse
กระจาย,distribute
กระจาย,spread
กระจาย,spreader
กระจ้อยร่อย,wee
กระชับ,concise
กระซิบ,whisper
กระดากอาย,shamed
กระดานชนวน,slate
กระดานดำ,blackboard
กระดานหก,seesaw
กระดานโต้คลื่น,boogie
กระดานโต้คลื่น,surfboard
กระดาษ,paper
กระดาษ,parchment
กระดาษซับหมึก,blotter
กระดาษทราย,sandpaper
กระดาษฟอยล์,foil
กระดาษแก้ว,cellophane
กระดาษแข็ง,cardboard
กระดำกระด่าง,speckled
กระดิก,wag
กระดิก,wiggle
กระดูก,bone
กระดูกขากรรไกร,jawbone
กระดูกขาอด่อน,femur
กระดูกงู,keel
กระดูกสะบ้าหัวเข่า,kneecap
กระดูกสันหลัง,backbone
กระดูกสันหลัง,spine
กระดูกสันหลัง,vertebra
กระดูกสันอก,sternum
กระดูกหัก,fracture
กระดูกอ่อน,cartilage
กระดูกเชิงกราน,pelvis
กระดูกไหปลาร้า,clavicle
กระดูกไหปลาร้า,collarbone
กระด้าง,relentless
กระด้างกระเดื่อง,rebellious
กระตือรือร้น,ardent
กระตือรือร้น,eager
กระตือรือร้น,enthusiastic
กระตือรือร้น,keen
กระตือรือร้น,polygraph
กระตุก,jerky
กระตุก,jiggle
กระตุก,tic
กระตุก,twitchy
กระตุ้น,arouse
กระตุ้น,aroused
กระตุ้น,motivate
กระตุ้น,provoke
กระตุ้น,stimulant
กระตุ้น,stimulate
กระตุ้น,stimulating
กระตุ้น,urge
กระตุ้นความรู้สึก,sensual
กระต่าย,bunny
กระต่าย,hare
กระต่าย,rabbit
กระทรวง,ministry
กระทรวงทหารเรือ,admiralty
กระทะ,pan
กระทะ,wok
กระทำผิด,delinquent
กระทำอย่างไม่ได้ตั้งใจ,improvise
กระทืบ,crunch
กระทุ้ง,jab
กระทู้,theme
กระท่อนกระแท่น,scrappy
กระท่อนกระแท่น,scratchy
กระท่อม,cabin
กระท่อม,cottage
กระท่อม,hut
กระท่อม,shack
กระท่อม,shanty
กระบนผิวหน้า,freckle
กระบวนการ,process
กระบวย,dipper
กระบอก,cylinder
กระบอง,baton
กระบอง,blackjack
กระบอง,mace
กระบี่,saber
กระปรี้กระเปร่า,energetic
กระปรี้กระเปร่า,perky
กระป๋อง,canister
กระป๋อง,canned
กระพริบตา,blink
กระพริบตา,twinkle
กระพือ,flutter
กระพือ,whiff
กระรอก,squirrel
กระรอกชนิดหนึ่ง,chipmunk
กระวนกระวาย,anxious
กระสอบ,sack
กระสับกระส่าย,listless
กระสับกระส่าย,restless
กระสุน,ammo
กระสุน,ammunition
กระสุน,bombshell
กระสุน,bullet
กระสุน,gunplay
กระสุน,slug
กระสุนขนาดกลาง,buckshot
กระสุนปืน,cartridge
กระหน่ำ,thump
กระหาย,crave
กระหายน้ำ,thirsty
กระหายเลือด,bloodthirsty
กระหายเลือด,bloody
กระเจิดกระเจิง,pileup
กระเจี๊ยว,dick
กระเจี๊ยว,penis
กระเต็น,mockingbird
กระเทียม,garlic
กระเบื้อง,tile
กระเปาะ,bulb
กระเป๋า,pouch
กระเป๋าถือ,handbag
กระเป๋านักเรียน,satchel
กระเป๋าสตางค์,wallet
กระเป๋าเดินทาง,baggage
กระเป๋าเดินทาง,luggage
กระเป๋าเดินทาง,suitcase
กระเป๋าเป้สะพายหลัง,backpack
กระเป๋าเสื้อ,pocket
กระเป๋าเอกสาร,briefcase
กระเพาะปัสสาวะ,bladder
กระเพาะอาหาร,stomach
กระเพาะอาหารของนก,gizzard
กระแส,stream
กระแสจิต,telepathic
กระแสจิต,telepathy
กระแสน้ำทวนกระแสน้ำข้า,undertow
กระแสน้ำวน,vortex
กระแสเลือด,bloodstream
กระแสไฟฟ้า,electrocute
กระโจม,tabernacle
กระโจมแตร,bandstand
กระโดด,hop
กระโดด,jump
กระโดด,skip
กระโดดสกี,skijump
กระโดดโลดเต้น,caper
กระโปรง,skirt
กระโปรงชั้นใน,petticoat
กระโปรงสั้นพับจีบ,kilt
กระโปรงหน้ารถ,hood
กระโปรงหลังรถ,trunk
กระโหลก,preppy
กระได,ladder
กรัม,gram
กราบ,prostrate
กราบขวาเรือ,starboard
กราฟ,graph
กราฟฟิตี,graffiti
กราฟิก,graphic
กราฟิก,graphics
กราม,jaw
กราโนล่า,granola
กราไฟท์,graphite
กริช,dagger
กริ๊ง,jingle
กรีฑา,athletics
กรีด,screech
กรี๊ด,scream
กรุ,dungeon
กรุบ,crunchy
กลบเกลื่อน,defuse
กลม,circular
กลมกล่อม,mellow
กลยุทธ์,strategy
กลวง,hollow
กลศาสตร์,mechanics
กลอกตา,goggle
กลอง,drum
กลอง,tambourine
กลอน,verse
กลอส,gloss
กลัดมัน,lecherous
กลับ,back
กลับ,return
กลับ,turn
กลับทรุด,relapse
กลับบ้าน,homing
กลับมา,comeback
กลับใจเสียใหม่,repent
กลับไปบ้าน,homeward
กลับไม่ได้,irreversible
กลัว,awed
กลัว,dread
กลัว,fear
กลัว,frightened
กลัว,scared
กลั่น,distilled
กลั่น,refined
กลั่นแกล้ง,libel
กลั้น,refrain
กลาง,centerpiece
กลาง,medium
กลาง,middle
กลางคืน,night
กลางฤดูร้อน,midsummer
กลางวัน,daylight
กลางเวหา,midair
กลางแจ้ง,outdoor
กลางแจ้ง,outdoors
กลางโบสถ์,nave
กลายพันธุ์,mutant
กลายพันธุ์,mutate
กลายเป็นสีดำ,blacken
กลายเป็นหิน,petrified
กลาสีเรืออังกฤษ,limey
กลิ่น,odor
กลิ่น,scent
กลิ่น,smell
กลิ่น,snuff
กลิ่นฉุน,tang
กลิ่นหอม,aroma
กลิ่นหอม,fragrance
กลิ่นหอม,perfumed
กลิ่นอาย,aura
กลิ่นเหม็น,reek
กลิ่นเหม็น,stench
กลิ่นเหม็น,stink
กลีบ,lobe
กลีบดอกไม้,petal
กลืน,swallow
กลุ่ม,cluster
กลุ่ม,group
กลุ่ม บริษัท ในเครือ,conglomerate
กลุ่มก๊าซ,nebula
กลุ่มผู้ชุมนุม,muster
กลุ่มผู้เข้าชม,demographic
กลุ่มห้าคน,quintet
กลุ้มใจ,dismal
กลูโคส,glucose
กลเม็ดเด็ดพราย,finesse
กลไก,gimmick
กลไก,mechanism
กล่อง,box
กล่องกระดาษ,carton
กล่องอาหารกลางวัน,lunchbox
กล่องเครื่องมือ,toolbox
กล่องเสียง,larynx
กล่าวถึง,mention
กล่าวหา,impeach
กล่าวโทษ,accuse
กล้วย,banana
กล้วยไม้,orchid
กล้อง,camera
กล้องจุลทรรศน์,microscope
กล้องถ่ายวิดีโอ,camcorder
กล้องส่องทางไกล,binoculars
กล้องโทรทรรศน์,telescope
กล้า,bold
กล้า,dare
กล้า,plucky
กล้ามเนื้อ,brawn
กล้ามเนื้อ,muscle
กล้ามเนื้อกระตุก,spasm
กล้ามเนื้อหูรูด,sphincter
กล้าหาญ,brave
กล้าหาญ,courageous
กล้าหาญ,fearless
กล้าหาญ,gallant
กล้าหาญ,gutsy
กล้าหาญ,heroic
กล้าหาญ,intrepid
กล้าหาญ,spunky
กล้าหาญ,valiant
กล้าได้กล้าเสีย,enterprising
กวน,stir
กวนใจ,distract
กวากาโมเล่,guacamole
กวาง,deer
กวางขนาดใหญ่,reindeer
กวางชนิดใหญ่,elk
กวาด,scuff
กวาด,sweep
กวี,poet
กว้าง,broad
กว้าง,wide
กว้างขวาง,ample
กว้างขวาง,extensive
กว้างขวาง,spacious
กว้างชนิดหนึ่ง,gazelle
กว้างใหญ่,vast
กษัตริย์,king
กษัตริย์,sovereign
กอ,clump
กอ,grove
กอง,heap
กอง,pile
กอง,stack
กองกำลัง,forces
กองทหาร,platoon
กองทหาร,posse
กองทหาร,regiment
กองทหาร,squadron
กองทหารม้า,cavalry
กองทหารรักษาการณ์,garrison
กองทหารอาสาสมัคร,militia
กองทัพบก,army
กองทัพเรือ,fleet
กองทัพเรือ,navy
กองทัพเรือใหญ่,armada
กองทุน,fund
กองทุน,fundraiser
กองบินกล้าตาย,kamikaze
กองพลน้อย,brigade
กองพัน,battalion
กองรักษาสันติภาพ,peacekeeper
กองร้อย,troop
กองหญ้า,haystack
กองหลัง,fullback
กองหลัง,halfback
กองโจร,guerrilla
กองไฟ,bonfire
กอด,clinch
กอด,cuddle
กอด,hug
กอดรัด,caress
กอบกู้,reestablish
กอบกู้,salvage
กอริลลา,gorilla
กอล์ฟ,golf
กะทัดรัด,compact
กะบังลม,diaphragm
กะพร่องกะแพร่ง,lame
กะลาสี,crewman
กะลาสี,sailor
กะลาสี,watcher
กะหล่ำ,cauliflower
กะหล่ำปลี,cabbage
กะหล่ำปลีดอง,sauerkraut
กะเทย,bisexual
กะเทย,faggot
กะเทย,pansy
กะเทย,weirdo
กะเทาะ,hominy
กะโหลก,cranium
กะโหลกศีรษะ,intracranial
กะโหลกศีรษะ,skull
กักกัน,quarantine
กังวล,concern
กังวล,worried
กังวล,worry
กังวาน,silvery
กังหัน,turbine
กังหัน,turbo
กัญชา,cannabis
กัญชา,hash
กัญชา,marijuana
กัด,bite
กัด,biter
กัดเซาะ,scour
กันกระสุน,bulletproof
กันชน,buffer
กันชน,bumper
กันน้ำ,waterproof
กันสาด,awning
กันสาด,canopy
กับดัก,trap
กับดักหนู,mousetrap
กับเพศตรงข้าม,heterosexual
กัปตัน,captain
กัมมันตภาพรังสี,radioactivity
กัมมันตรังสี,radioactive
กัลป์,eternity
กั้น,partition
กากกะรุน,emery
กากน้ำตาล,molasses
กากแร่,slag
กางเกง,panties
กางเกง,pants
กางเกง,panty
กางเกง,stride
กางเกง,trousers
กางเกงขาสั้น,shorts
กางเกงยีน,jean
กางเกงยีนส์,jeans
กางเกงหลวมสูงแค่เข่า,knickers
กางเกงแนบเนื้อที่พวกเล่นละครสวม,leotard
กางเกงใน,underpants
กาต้มน้ำ,kettle
กานพูล,clove
กาน้ำชา,teapot
กายกรรม,aerobics
