Other,English
-li,if
a potom,and
a proto,therefore
a sice,namely
a tak,thus
a tak dále,and so on
a tak dále,et cetera
a tak dále,etc.
a také ne,neither
a tedy,therefore
a to,namely
abeceda,a.b.c.
abeceda,abc
abeceda,alphabet
abecední,abecedarian
abecední,alphabetic
abecední,alphabetical
abnormálnost,abnormality
abnormální,abnormal
abnormální,unnatural
abonent,subscriber
abonentní vstupenka,season ticket
abonmá,subscription
absces,abscess
absolutní,absolute
absolutní,blank
absolutní,clear
absolutní,complete
absolutní,dead
absolutní,flat
absolutní,implicit
absolutní,perfect
absolutní,plenary
absolutní,positive
absolutní,strict
absolutní,uncompromising
absolutní,undiluted
absolutní,undivided
absolutní,unmitigated
absolutně,absolutely
absolutně,dead
absolutně,flat
absolutně,perfectly
absolutně nutný,vital
absolvent,former student
absolvent,graduate
absolvent,old boy
absolvent univerzity,alumnus
absolvovat,complete
absolvovat,finish
absolvovat,graduate
absolvovat,pass out
absolvovat univerzitu,go down
absolvování,completion
absolvování,graduation
absorbovat,absorb
absorbovat,occlude
absorbovat,soak up
abstence,abstention
abstinovat,abstain
abstrakce,abstraction
abstraktní,abstract
abstraktní,conceptual
absurdnost,absurdity
absurdnost,nonsense
absurdní,absurd
absurdní,farcical
absurdní,laughable
absurdní,preposterous
absurdní,senseless
absurdní,tomfool
absurdně,absurdly
absurdně,laughingly
aby,as
aby,as
aby,in order
aby,in order
aby,in order that
aby,in order that
aby,so as
aby,so as
aby,so that
aby,so that
aby,that
aby,that
ach!,hah!
achromatický,achromatic
adamovo jablko,adam's apple
adaptabilita,adaptability
adaptabilní,adaptable
adaptace,adaptation
adaptace,alteration
adaptace,conversion
adaptivní,adaptive
adaptovat,adapt
adaptovat,convert
adekvátnost,adequacy
adekvátní,realistic
adekvátní,suitable
adekvátně,appropriately
adhezní,adhesive
aditiv,additive
adjustace,alignment
administrativa,administration
administrativní,administrative
adoptovaný,adopted
adoptovat,adopt
adoptování,adoption
adorace,adoration
adresa,address
adresa,direction
adresa,mailing address
adresovat,address
adresovat,direct
adresář,directory
advokát,attorney
advokát,barrister
advokát,counsel
advokát,counsellor
advokát,counselor
advokát,lawyer
advokát,solicitor
aerolinie,airline
aeroplán,aeroplane
afektovanost,frills
afektovanost,gentility
afektovanost,mannerism
afektovaný,affected
afektovaný,camp
afektovaný,genteel
afektovaný,mannered
afektovaný,mincing
afektovaný,minikin
afektovaný,stilted
afektovaný,studied
afektovaný,stuffy
afektovaný,theatrical
afektovaný,unnatural
afilace,affiliation
afilace,filiation
afinita,affinity
afix,affix
aforismus,aphorism
aforismus,saw
afrika,africa
afrika,dark continent
aféra,affair
aféra,scandal
agentura,agency
agilnost,agility
agilní,agile
agitovat,agitate
agitovat,campaign
agitovat,canvass
aglomerace,agglomeration
agregát,aggregate
agregát,assembly
agregát,device
agregát,unit
agrese,aggression
agresivita,aggressiveness
agresivita,truculence
agresivnost,aggression
agresivnost,belligerency
agresivní,belligerent
agresivní,truculent
agresor,aggressor
agónie,agony
agónie,death throes
ahoj!,ahoy!
ahoj!,cheerio!
ahoj!,hello!
ahoj!,hi!
ahoj!,see you!
aj!,hah!
akademická hodnost,degree
akademický,academic
akademický,academical
akademický,scholarly
akademický úbor,academics
akademie,academy
akce,action
akce,campaign
akce,venture
akcent,accent
akceptovat,accept
akceptovat,honor
akceptovat,honour
akceschopný,operational
akcie,share
akcionář,shareholder
akcionář,stockholder
akciový kapitál,joint stock
akciový kapitál,stock
aklamovat,acclaim
akné,acne
akomodace,accommodation
akomodovat,accommodate
akord,chord
akord,time-work
akr,acre
akreditace,accreditation
akreditovaný,accredited
akrobat,acrobat
akrobat,distortionist
akrobat,tumbler
akryl,acrylic
aksamit,velvet
akt,act
akt,nude
akta,deeds
aktiv,caucus
aktiv,collective
aktiva,assets
aktivace,activation
aktivista,activist
aktivita,activity
aktivní,active
aktivní,bustling
aktivní,regular
aktivně,actively
aktivovat,activate
aktivum,asset
aktovka,briefcase
aktovka,portfolio
aktovka,satchel
aktualizovat,actualize
aktualizovat,update
aktuální,actual
aktuální,current
aktuální,live
aktuální,ongoing
aktuální,recent
aktuální,relevant
aktuální,topical
aktuální,up-to-date
akty,acts
akumulace,accumulation
akumulovat,accumulate
akustický,acoustic
akustický,sonic
akutní,acute
akutní,immediate
akutní,imminent
akutní,urgent
akutně,sorely
akvárium,aquarium
alarmovat,alarm
alarmovat,alert
albánie,albania
ale,but
ale,however
ale,only
ale,though
alej,alley
alergie,allergy
alexandrie,alexandria
algoritmus,algorithm
aliance,alliance
aljaška,alaska
alkohol,alcohol
alkohol,booze
alkohol,intoxicant
alkohol,liquor
alkoholický,alcoholic
alkoholický,intoxicating
alkoholický,spirituous
alkoholický nápoj,tipple
alkoholik,alcoholic
alkoholik,drinker
alkoholik,drunk
alkálie,alkali
almanach,almanac
almanach,yearbook
almužna,alms
almužna,pittance
alternativa,alternative
alternativa,option
alternativní,alternative
alternativně,alternatively
altistka,alto
altánek,bower
alžírsko,algeria
amalgamace,amalgamation
amalgamovat,amalgamate
amatér,amateur
amatér,dabbler
amatérský,amateurish
amatérský,dilettante
ambasáda,embassy
ambiciózní,ambitious
ambiciózní,big
ambulatórium,dispensary
americké kuželky,bowling
americký,american
amerika,america
američané,americans
amfiteátr,amphitheatre
amorfní,amorphous
amorální,amoral
amplituda,amplitude
amplión,loud-speaker
amplión,speaker
amputace,amputation
amputace,removal
amputovat,amputate
amputovat,remove
amputovat,take off
amsterodam,amsterdam
anachronismus,anachronism
analfabet,illiterate
analogický,analogous
analogie,analogy
analytické,analytical
analytik,analyst
analyzovat,analyse
analyzovat,analyze
analýza,analysis
anarchie,anarchy
anatomie,anatomy
anděl,angel
anděl,seraph
andělsky krásný,cherubic
andělský,angelic
andělský,cherubic
andělský,divine
andělský,seraphic
aneb,or
anebo,or
anekdota,anecdote
anekdota,joke
anektovat,annex
angažmá,contract
angažovanost,commitment
angažovanost,involvement
angažovaný,committed
angažovat,be booked up
angažovat,book
angažovat,engage
angažovat,retain
anglický,english
anglie,england
angličtina,english
ani,neither
ani,or
ani jeden ze dvou,neither
ani ne,never
ani trochu,not a bit
ani trochu,not a few
ani trochu,not a little
animace,animation
animovat,animate
animozita,animosity
animální,animal
anketa,questionnaire
