Other,English
a,ha!
aa,aa
aaa,aaa
aaron,aaron
ab,ab
abdukcija,abduction
aberdeen,aberdeen
abi,both
abi,either
abi divi,both
abiturients,school-leaver
ablauts,ablaut
abonents,subscriber
abonēt,subscribe
abonēt,take in
abonēšana,subscription
abordāžas kāsis,grapnel
abordāžas kāsis,grapple
aborigēns,aboriginal
aborigēnu,aboriginal
aborts,abortion
aborts,misbirth
aborts,miscarriage
abpusējs,alternate
abpusējs,double-sided
abpusējs,mutual
abpusējs,reciprocal
abpusējs,reversible
abra,hod
abra,trough
abraham,abraham
abreviatūra,abbreviation
abrāzija,abrasion
abs,abs
abscess,abscess
absolvents,alumnus
absolvents,graduate
absolvents,school-leaver
absolūti,absolutely
absolūts,absolute
absolūts,blank
absolūts,complete
absolūts,irrelative
absolūts,perfect
absolūts,plenipotentiary
absolūts,sheer
absolūts,teetotal
absolūts,total
absolūts,totalitarian
absolūts,utter
absorbcija,absorbing
absorbcija,absorption
absorbcija,occlusion
absorbējošs,absorbent
absorbējošs,absorbing
absorbējošs,absorptive
absorbēt,absorb
absorbēt,imbibe
absorbēt,merge
absorbētājs,absorbent
absorbētājs,absorber
absorbēšana,merger
abstrahēt,abstract
abstrakcija,abstract
abstrakcija,abstraction
abstrakti,abstractedly
abstrakti,in the abstract
abstrakts,abstract
abstrakts,academic
abstrakts,discrete
abstrakts,noetic
abstrakts,transcendental
abstrakts jēdziens,abstract
abstrakts jēdziens,abstract idea
absurds,absurd
absurds,absurd
absurds,absurdity
absurds,inept
absurds,ineptitude
absurds,ludicrous
absurds,nonsense
absurds,nonsensical
absurds,preposterous
abu,both
ac,ac
acc,acc
acdbentity,acdbentity
acer,acer
acm,acm
acojamais pumpurs,eye
acot,bud
acs,ace
acs,ear
acs,eye
acs,mesh
acs,optic
acs,orb
acs,peeper
acs dobums,eyehole
acs dobums,orbit
acs ābols,apple of the eye
acs ābols,eyeball
acs ābols,orb
acu apmānīšana,blind
acu uzmetiens,glance
aculiecinieks,bystander
aculiecinieks,eyewitness
acumirklis,eyewink
acumirklis,instant
acumirklis,jiff
acumirklis,jiffy
acumirklis,minute
acumirklis,moment
acumirklis,tick
acumirklis,trice
acumirklis,twinkling
acumirklis,wink
acumirklīga iedoma,humor
acumirklīga iedoma,humour
acumirklīgs,fleeting
acumirklīgs,instantaneous
acumirklīgs,momentary
acīgs,argus-eyed
acīgs,hawk-eyed
acīm redzams,apparent
