English,Other
-some,-etas
-phil,-filas
-phile,-filas
phil,-filas
-ful,-ingas
-some,-ingas
-fy,-inti
fy,-inti
-fy,-oti
fy,-oti
myself,-si
your,-si
yourself,-si
-fy,-uoti
fy,-uoti
-ful,-us
-some,-us
a,a
fl,a
a-,a-
aa,aa
aaa,aaa
aaron,aaron
abacus,abakas
abandon,abandonas
lampshade,abažūras
shade,abažūras
abduction,abdukcija
both ways,abejaip
either way,abejaip
in both ways,abejaip
in two ways,abejaip
both,abeji
apathetic,abejingas
apathetical,abejingas
casual,abejingas
cold,abejingas
cold-blooded,abejingas
disinterested,abejingas
half-hearted,abejingas
impassive,abejingas
incurious,abejingas
indifferent,abejingas
insensitive,abejingas
lackadaisical,abejingas
listless,abejingas
lukewarm,abejingas
matter-of-fact,abejingas
nonchalant,abejingas
supine,abejingas
unconcerned,abejingas
unmoved,abejingas
vacant,abejingas
flat-footed,abejingas kitiems
apathy,abejingumas
indifference,abejingumas
insensibility,abejingumas
torpor,abejingumas
unconcern,abejingumas
doubtful,abejojamas
problematical,abejojamas
questionable,abejojamas
doubtful,abejojantis
dubious,abejojantis
uncertain,abejojantis
challenger,abejojantysis
doubt,abejojimas
impeachment,abejojimas
indecision,abejojimas
doubt,abejonė
dubiety,abejonė
incertitude,abejonė
queries,abejonė
query,abejonė
question,abejonė
questions,abejonė
uncertainty,abejonė
challenge,abejoti
challenged,abejoti
challenges,abejoti
challenging,abejoti
contravene,abejoti
dispute,abejoti
disputes,abejoti
doubt,abejoti
have doubts,abejoti
hover,abejoti
impeach,abejoti
queries,abejoti
query,abejoti
question,abejoti
questions,abejoti
stumble,abejoti
suspect,abejoti
suspected,abejoti
vibrate,abejoti
wabble,abejoti
wobble,abejoti
crane,abejoti dėl sunkumų
disputable,abejotinas
doubtful,abejotinas
dubious,abejotinas
equivocal,abejotinas
queer,abejotinas
questionable,abejotinas
shady,abejotinas
shaky,abejotinas
straw,abejotinas
uncertain,abejotinas
unsafe,abejotinas
aberrance,aberacija
aberrancy,aberacija
aberration,aberacija
variation,aberacija
variations,aberacija
variant,aberantas
aberdeen,aberdeen
both,abi
either,abi
both,abidvi
either,abidvi
bilateral,abipusis
mutual,abipusis
reciprocal,abipusis
reversible,abipusis
bilateral,abipusiškas
mutual,abipusiškas
reciprocal,abipusiškas
mutuality,abipusiškumas
reciprocity,abipusiškumas
ambidexter,abirankis žmogus
abyssal,abisalinis
abyss,abisalė
graduate,abiturientas
graduates,abiturientas
senior,abiturientas
seniors,abiturientas
bilateral,abišalis
mutual,abišalis
reciprocal,abišalis
ablative,abliatyvas
ablative,abliatyvo
ablution,abliucija
season ticket,abonementas
subscription,abonementas
subscriptions,abonementas
subscriber,abonentas
subscribers,abonentas
box,abonentinė pašto dėžutė
boxes,abonentinė pašto dėžutė
subscribe,abonuoti
grapnel,abordažinis kablys
grapple,abordažinis kablys
abo,aborigenas
aboriginal,aborigenas
aborigine,aborigenas
abortion,abortas
miscarriage,abortas
feedbag,abrakinė
nosebag,abrakinė
abraham,abraomas
abrasion,abrazija
abrasive,abrazyvinis
abbreviation,abreviatūra
abrogation,abrogacija
abs,abs
abscess,abscesas
absinth,absentas
absinthe,absentas
absenteeism,absenteizmas
absolution,absoliucija
absolute,absoliutas
absolute,absoliutinis
perfect,absoliutinis
absolute,absoliutus
downright,absoliutus
plenipotentiary,absoliutus
sheer,absoliutus
stark,absoliutus
unconditional,absoliutus
unconditioned,absoliutus
utter,absoliutus
absolutely,absoliučiai
positively,absoliučiai
sheer,absoliučiai
utterly,absoliučiai
wholly,absoliučiai
graduate,absolventas
graduates,absolventas
man,absolventas
senior,absolventas
seniors,absolventas
absorption,absorbavimas
assimilation,absorbavimas
absorption,absorbcija
absorbent,absorbentas
absorber,absorberis
absorptive,absorbuojamasis
absorbing,absorbuojantis
spongy,absorbuojantis
absorb,absorbuoti
assimilate,absorbuoti
imbibe,absorbuoti
abstinence,abstinencija
abstainer,abstinentas
abstinent,abstinentas
abstract,abstrahuoti
abstracts,abstrahuoti
abstract,abstrakcija
abstraction,abstrakcija
abstracts,abstrakcija
abstractedness,abstraktumas
abstractiveness,abstraktumas
abstractness,abstraktumas
abstract,abstraktus
conceptual,abstraktus
discrete,abstraktus
metaphysical,abstraktus
notional,abstraktus
transcendental,abstraktus
abstractedly,abstrakčiai
in the abstract,abstrakčiai
absurd,absurdas
absurdity,absurdas
apple-sauce,absurdas
nonsense,absurdas
nonsense!,absurdas
absurd,absurdiškas
cockamamie,absurdiškas
grotesque,absurdiškas
monstrous,absurdiškas
nonsensical,absurdiškas
preposterous,absurdiškas
priceless,absurdiškas
ridiculous,absurdiškas
unearthly,absurdiškas
abu,abu
both,abu
either,abu
both,abudu
either,abudu
angry,abuojas
bad,abuojas
insufferable,abuojas
intolerable,abuojas
wild,abuojas
abomination,abuojumas
alphabetically,abėcėline tvarka
in alphabetical order,abėcėline tvarka
alphabetic,abėcėlinis
alphabetical,abėcėlinis
index,abėcėlinė rodyklė
indexes,abėcėlinė rodyklė
indices,abėcėlinė rodyklė
alphabetic,abėcėliškas
alphabetical,abėcėliškas
