Other,English
de,the
de,they
de,those
de,those
det,the
det,that
-en,the
-a,the
at,that
den,that
den,it
av,of
og,and
og,besides
i tillegg,besides
til,to
til,for
til,until
en,a
en,one
ei,a
i,in
i,secretly
er,is
er,am
være,be
på,on
på,on
på,at
på,upon
hos,at
ved,by
ved,beside
ved siden av,beside
ved siden av,adjacent
dette,this
dette,this
denne,this
disse,this
disse,these
disse,these
med,with
jeg,i
du,you
dere,you
ikke,not
eller,or
fra,from
som,as
som,as
din,your
deres,your
deres,their
alle,all
alle,everybody
alt,all
alt,everything
ha,have
ny,new
flere,more
flere,several
vi,we
vilje,will
testamente,will
testamente,testament
hjem,home
kan,can
boks,can
boks,tin
boks,canister
tinn,tin
oss,us
oss,ourselves
omkring,about
omkring,around
om,around
om,whether
hvis,if
side,page
side,side
min,my
gjennomsøke,search
leting,search
gratis,free
fri,free
frigi,free
men,but
men,though
skjønt,though
skjønt,although
enda,though
vår,our
vår,spring
fjær,spring
fjær,feather
kilde,spring
kilde,source
annen,other
annen,second
sekund,second
gjøre,do
ingen,no
ingen,neither
ingen,nobody
nei,no
informasjon,information
tid,time
han,he
opp,up
opp,up
kunne,may
hva,what
hvilken,which
hvilken,which
hvilket,which
nyhet,news
ute,out
ute,outside
utenfor,outside
ytterside,outside
bruk,use
bruke,use
bruke,exhaust
bruke,spend
eksos,exhaust
noen,any
noen,some
noen,somebody
der,there
dit,there
se,see
se,look
utseende,look
blikk,look
blikk,glance
titte,glance
bare,only
bare,only
eneste,only
så,so
hans,his
når,when
når,when
kontakt,contact
kontakt,call
kontakt,liaison
kontakte,contact
kontakte,call
samtale,call
samtale,conversation
ringe,call
ringe,ring
navngi,call
ring,ring
her,here
forretning,business
hvem,who
hvem,whose
spindelvev,web
også,also
også,too
for,too
for,prior
nå,now
nå,reach
komme,reach
komme,come
hjelp,help
hjelpe,help
bli,get
bli,become
pm,pm
utsikt,view
utsikt,prospect
online,online
c,c
e,e
først,first
ville,would
hvordan,how
meg,me
s,s
service,service
tjeneste,service
gudstjeneste,service
klikk,click
sin,its
like,like
maken til,like
x,x
enn,than
finne,find
finne,fin
pris,price
dato,date
daddel,date
tilbake,back
tilbake,back
tilbake,back
rygg,back
bakke opp,back
topp,top
topp,summit
lokk,top
lokk,lid
lokk,cap
skyggelue,cap
kappe,cap
kappe,cape
kappe,robe
fjellodde,cape
mennesker,people
liste,list
liste,list
navn,name
akkurat,just
rettferdig,just
rettferdig,fair
rimelig,fair
rimelig,inexpensive
fair,fair
tivoli,fair
over,over
over,above
igjen,over
igjen,again
tilstand,state
stat,state
uttale,state
uttale,pronounce
uttale,pronunciation
år,year
dag,day
inn i,into
e-post,email
to,two
helse,health
