Other,English
-dashës,pro-
-deti,fish
1/4 akre,rood
1000 funtët,kip
24 orë,day
a,do
a,or
aa,aa
aaa,aaa
aaron,aaron
ab,ab
abaci,abbacy
abaci,abbey
abanoz,ebony
abanozi,ebon
abanozi,ebony
abat,abbot
abazhur,lamp-shade
abazhur,shade
abdikim,abdication
abdikim,demise
abdikim,denial
abdikim,disavowal
abdikim,disclaimer
abdikim,disclamation
abdikoj,abdicate
abdikoj,demise
abdikoj,deny
abdikoj,disavow
abdikoj,disclaim
abdomen,abdomen
aberdeen,aberdeen
abetare,abc-book
abetare,children's primer
abetare,primer
abone,abonnement
abone,pass
abone,season ticket
abonim,subscription
abonoj,subscribe
abort,abortion
abort,misbirth
abort,miscarriage
abraham,abraham
abs,abs
absolut,absolute
absolut,all-rounder
absolut,complete
absolut,direct
absolut,irrelative
absolut,perfect
absolut,plenary
absolut,sheer
absolut,total
absolut,utter
absolutisht,absolutely
absolutisht,entirely
absolutisht,implicitly
absolutisht,neck and crop
absolutisht,utterly
absolutësi,absolute
absorbent,absorbent
abstenim,abstention
abstenoj,abstain
abstinent,dry
abstrakt,abstract
absurd,absurd
absurd,absurdly
absurd,farcical
absurd,ludicrous
absurd,nonsensical
absurd,object
absurd,preposterous
absurditet,absurdity
absurditet,ineptitude
absurditet,nonsense
abu,abu
abuzim,abuse
abuzim,malversation
abuzim,misuse
abuzim,overindulgence
abuzoj,abuse
abuzoj,misuse
abuzoj,overindulge
abëcë,abc
abëcë,alphabet
ac,ac
acar,bleakness
acar,freezing cold
acar,frost
acarim,aggravation
acarim,exacerbation
acarim,fluster
acarim,irritation
acarim,snap
acarim,sourness
acarim nervash,jar
acarohet,fester
acaroj,aggravate
acaroj,chafe
acaroj,exacerbate
acaroj,fluster
acaroj,jar
acaroj,nettle
acaroj,peeve
acaroj,sharpen
acarues,aggravating
acarues,maddening
acarues,provoking
acarueshmëri,irritability
acc,acc
acdbentity,acdbentity
acer,acer
acetik,acetous
acid,acid
acid,mordant
acid,sour
acid sulfurik,vitriol
aciditet,acidity
acidoj,acidify
acidoj,acidize
acm,acm
ada,ada
adami,adam
adams,adams
adaptim,adaptation
adaptive,adaptive
adaptoj,adapt
adekvat,adequate
adelaide,adelaide
aderencë,adhesion
aderoj,adhere
adet,custom
adet,habitude
adet,manners
adet,mode
adhurim,adoration
adhurim,deification
adhurim,delight
adhurim,idolatry
adhurim,worship
adhurim i tepëruar,cult
adhuroj,adore
adhuroj,deify
adhuroj,worship
