Other,English
--zingua,unroll
--zongoa,unroll
-a,of
-a ada,-a fees
-a adabu,decent
-a adabu,moral
-a aina mbalimbali,variable
-a aina ya kipekee,unique
-a aina yake,specific
-a ajabu,exotic
-a ajabu,extraordinary
-a ajabu,fantastic
-a ajabu,funny
-a ajabu,mysterious
-a ajabu,odd
-a ajabu,strange
-a ajabu,uncommon
-a ajabu,unusual
-a ajabu/-ema,wonderful
-a ajabu/adhimu,-a strange / rare
-a ajali,casual
-a alfabeti,alphabetical
-a ardhini,underground
-a atomu,atomic
-a awali,former
-a awali,previous
-a baadaye,future
-a bahati,accidental
-a bahati,fortunate
-a bahati,happy
-a bahati mbaya/-a ajabu,weird
-a baina ya,intermediate
-a bandia,counterfeit
-a baridi,cold
-a baridi kidogo,cool
-a bei rahisi,inexpensive
-a binadamu,human
-a binafsi,individual
-a busara,advisable
-a busara,reasonable
-a chini,inferior
-a chini,lower
-a daima,constant
-a daima,eternal
-a daima,permanent
-a dhahabu,golden
-a dhati,true
-a dini,religious
-a duara,round
-a fedha,financial
-a fizikia/-a mwili,physical
-a ghafula,abrupt
-a ghafula,sudden
-a ghafula,unexpected
-a haki,fair
-a haraka/-epesi,quick
-a hatari,dangerous
-a hewani,aerial
-a hiari,voluntary
-a hofu,afraid
-a hospitali,clinical
-a jadi,classical
-a jeshi la wanamaji,naval
-a jinsi ya kike,feminine
-a joto,warm
-a jua,sunny
-a jumla,general
-a juu,upper
-a kahawia,brown
-a kale,antique
-a kale,archaic
-a karibu,adjacent
-a karibu,close
-a kaskazi,northern
-a katikati,central
-a kawaida,lasting
-a kawaida,normal
-a kawaida,ordinary
-a kawaida,regular
-a kawaida,standard
-a kawaida,typical
-a kawaida,usual
-a kemia,chemical
-a kiafrika,african
-a kiamani,peaceful
-a kiasia,asian
-a kiasili,natural
-a kiasili,original
-a kibiblia,biblical
-a kibinafsi,private
-a kibinafsi,subjective
-a kibongo,mental
-a kibuni,creative
-a kidaktari,medical
-a kidemokrasi,democratic
-a kienyeji,local
-a kienyeji,regional
-a kifalme,royal
-a kifalme/-kubwa,imperial
-a kifisha,deadly
-a kifundi,mechanical
-a kigeni,foreign
-a kigeni,overseas
-a kihakiki,critical
-a kihindu,hindu
-a kihistoria,historic
-a kiislamu,islamic
-a kijana,juvenile
-a kijana,youthful
-a kijani,green
-a kijinamizi,ugly
-a kikatoliki,catholic
-a kike,female
-a kike,feminine
-a kikweli,objective
-a kikweli,truthful
-a kila mwaka,annual
-a kila mwezi,monthly
-a kila saa,hourly
-a kila siku,daily
-a kila wiki,weekly
-a kilimo,agricultural
-a kimaendeleo,progressive
-a kimanjano,yellow
-a kimarekani,american
-a kimaridadi,elegant
-a kimataifa,international
-a kimawe,stone
-a kimsingi,principal
-a kimuziki,musical
-a kimya,silent
-a kinyume,contrary
-a kioja,bizarre
-a kiradikali,radical
-a kirafiki,friendly
-a kiroho,spiritual
-a kisasa,modern
-a kisayansi,scientific
-a kiserikali,political
-a kisheria,lawful
-a kisheria,legal
-a kisheria/-a kikanuni,legitimate
-a kishirikiana,cooperative
-a kisiri/-a kificho,secret
-a kistratijiki,strategic
-a kitaaluma,academic
-a kitaifa,national
-a kitongoji,provincial
-a kiuchumi,economic
-a kiungwana,gently
-a kivita,military
-a kiwanda,industrial
-a kiyahudi,jewish
-a kizamani,past
-a kizamani/-a awali,prior
-a kizungu,european
-a kuambukiza,contagious
-a kuambukiza,infectious
-a kuarifu,informative
-a kuathiriana,interactive
-a kubadilishana,mutual
-a kubadilishana,reciprocal
-a kuchekesha,amusing
-a kuchekesha,comical
-a kuchekesha,funny
-a kuchelewa mno,latest
-a kuchochea,motivated
-a kuchochea,provocative
-a kudhuru,harmful
-a kudhuru,unfriendly
-a kudumu,chronic
-a kudumu sana,durable
-a kuenda mbali,extensive
-a kufaa,appropriate
-a kufaa,convenient
-a kufaa,effective
-a kufaa,efficient
-a kufaa,eligible
-a kufaa,relevant
-a kufaa,seemly
-a kufaa,suitable
-a kufaa,useful
-a kufaa,wholesome
-a kufahamu,conscious
-a kufanana,identical
-a kufikika,accessible
-a kuhitaji uangalifu,demanding
-a kujiendesha,automatic
-a kujikinga,defensive
-a kujikinga,protective
-a kujulikana,familiar
-a kukaribia,approximate
-a kukunjika,multiple
-a kuleta mafanikio,productive
-a kulia,right
-a kulingana,compatible
-a kulingana,corresponding
-a kulingana,equivalent
-a kulinganisha,considering
-a kulipa,payable
-a kumetameta,brilliant
-a kumetameta,glossy
-a kunyumbulika,flexible
-a kupendelea,interesting
-a kupendeza sana,delicious
-a kupinga,negative
-a kusanidiwa,synthetic
-a kusema kweli,frank
-a kushangaza,amazing
-a kushangaza,astonishing
-a kushangaza,surprising
-a kushangaza,unimaginable
-a kushoto,left
-a kusikitika,sad
-a kusini,southern
-a kusisimua,exciting
-a kustahiki,worthy
-a kustarehesha,comfortable
-a kusumbua,annoying
-a kutawala,dominant
-a kutekwa,captive
-a kutisha,alarming
-a kutisha,awful
-a kutisha,gruesome
-a kutisha,horrible
-a kutisha,terrible
-a kutisha,terrifying
-a kutoa bidii nyingi,tense
-a kutosha,adequate
-a kutosha,enough
-a kutumika,applicable
-a kutumika,instrumental
-a kuungana,united
-a kuvumbua,innovative
-a kuvutia macho,scenic
-a kuweza kulinganishwa na,comparable
-a kwanza,first
-a lazima,compulsory
-a lazima,essential
-a mababu,ancestors-a
-a macho,alert
-a macho,optical
-a macho,visual
-a mafuta,fatty
-a magharibi,western
-a maisha,vital
-a mambo yote,universal
-a mara kwa mara,periodic
-a mara moja,immediate
-a mara moja/-a mwezi huu,instant
-a mara nyingi,frequent
-a marekani,america-a
-a mashariki,eastern
-a mashariki,oriental
-a mauti -baya,fatal
-a mawe/-gumu,rocky
-a mbali,distant
-a mbali,far
-a mbali,remote
-a mbali,separate
-a mbele,front
-a mchanga,sandy
-a mdomo,oral
-a mdomo,verbal
-a meno,oral
-a mikono,manual
-a mlalo,horizontal
-a moto/-kali,hot
-a moyoni/-a siri,intimate
-a mpokezano,alternate
-a msaada,beneficial
-a msimu,seasonal
-a msingi,basic
-a msingi,fundamental
-a mti,wooden
-a muda,temporary
-a mviringo,oval
-a mwangaza,light
-a mwangaza,shiny
-a mwanzo,initial
-a mwisho,last
-a mwisho,marginal
-a mwisho,ultimate
-a nadra,infrequent
-a nadra,rare
-a nadra/haba,rear
-a nani,whose
-a nasaba,-a dynasty
-a ndani,inner
-a ndani,inside
-a ndani,internal
-a ndani ya vena,intravenous
-a neva,nervous
-a nje,exterior
-a nje,external
-a nje,outer
-a nne,fourth
-a nuklia,nuclear
-a nyuma,back
-a nyumbani,domestic
-a ovyoovyo,random
-a pamoja,common
-a pekee,exceptional
-a pekee,just
-a pekee,lonely
-a pekee,single
-a pili,second
-a porini,wild
-a porini/-kaidi,savage
-a raha,loose
-a rangi ya kijivu,grey
-a saba,seventh
-a saikologia,psychological
-a shirikisho,federal
-a siku zote,continuous
-a siri,confidential
-a sita,sixth
-a tabia,characteristic
-a tano,fifth
-a tarakimu,numerical
-a tatu,third
