English,Other
the,the
flat,caba
flat,-the defe
flat,-the
flat,-yisicaba
flat,ifulathi
of,sa
of,wa-
of,iwa-
dawn,sa
dawn,thi dwi
dawn,ntwela
dawn,ukusa
dawn,uluvivi
dawn,ekuseni ngokusa
dawn,ngovivi lokusa
clearing,ukusa
clearing,ukucwenga
and,na-
and,kanye na-
with,na-
with,kanye na-
with,ne-
including,na-
including,okubala
including,ne-
also,na-
also,futhi
also,njalo
even,na-
even,ngisho
even,noma
even,naye
even,noba
even,-lingeneyo
even,-lingene
even,-linganayo
or,noma
or,kumbe
either,noma
whether,noma
whether,noba
whether,nokuba
though,noma
though,nakuba
though,nokho
though,khona
beside,futhi
beside,ecaleni kwa-
beside,ngaphandle kwa-
too,futhi
too,ngokweqile
too,ngokudlulele
too,kakhulu
besides,futhi
besides,ngaphezu kwa-
besides,ngaphandle
besides,ngale kokuthi
else,futhi
else,'-nye
likewise,futhi
likewise,ngokunjalo
again,futhi
again,-buye
again,phinda
reference,ne-
reference,inkomba
reference,ukubhekisa enkulumeni
reference,ipasi
reference,okukhulunywa ngaye
reference,maqondana no-
always,njalo
always,njalonjalo
ever,njalo
ever,naphakade
ever,nanini
ever,ngunaphakade
ever,nanini nanini
constantly,njalo
constantly,zonke izikhathi
whenever,njalo
whenever,nanini
whenever,zonke izikhathi
sufficient,-lingene
sufficient,-anele
matching,-linganayo
matching,-qhathanisekayo
matching,-fanayo
level,-lingene
level,indawo elingene
adequate,-lingene
adequate,-nele
tolerable,-lingene
tolerable,-bekezeleka
tolerable,-vumekayo
equal,-lingene
equal,-kanye
capable,-lingeneyo
capable,-nekhono
capable,-nokwazi
capable,-qondile
capable,-fanele
maybe,kumbe
maybe,ingabe
maybe,khathisimbe
maybe,mhlawumbe
may,kumbe
may,mhlawumbe
although,nakuba
although,nokho
although,ingani
although,nanxa
extremely,kakhulu
extremely,impela
extremely,kabi
mainly,kakhulu
mainly,imvama
especially,kakhulu
especially,okukakhulukazi
most,kakhulu
most,ngaphambi kwakho konke
very,kakhulu
very,impela
except,ngaphandle
except,kuphela
loud,kakhulu
loud,ngomsindo
loud,ngezwi elikhulu
loud,-nomsindo
loud,-mpompoloza
repeat,phinda
repeat,yenza futhi
rehearse,phinda
rehearse,buyekeza
rehearse,zikhumbuza
fold,phinda
fold,shuqula
fold,songa
fold,pheceza
fold,pheqa
fold,pheca
index,inkomba
index,into ekhombayo
indication,inkomba
indication,isibonakaliso
pass,ipasi
pass,intuba
pass,incwadi yemvume
pass,dlula
pass,qhubekela phambili
never,naphakade
never,nanini
never,bonaze
never,zange
never,phinde
anytime,nanini
anytime,nangasikhathisini nje
anytime,noma nini
forever,naphakade
forever,njalo-njalo
wherever,nanini
wherever,zonke izikhathi
wherever,naphi
wherever,zonke izindawo
to,ku-
to,kwa-
toward,ku-
toward,bheke-
into,ku-
into,phakathi
above,kwa-
above,-phezu kwe-
above,phezulu
regarding,ku-
regarding,nga-
regarding,ngendaba ya-
in,ku-
in,phakathi kwa-
appropriate,-lingene
appropriate,-fanele
appropriate,-lungele
identical,-fanayo
identical,-yikhonakhona
same,-fanayo
same,-nje
same,-njalo
alike,-fanayo
similar,-fanayo
similar,-njenga
equivalent,-lingene
equivalent,-kanye
equivalent,-fana
just,-fanele
just,-qotho
just,-lungile
just,neqiniso
just,fanelekile
just,lunge nqo
direct,-qondile
direct,-sobala
direct,-qonde ngqo
direct,nemba
direct,qondisa
direct,khombisa
direct,yalela
direct,phatha
suitable,-fanele
suitable,-lungelekile
competent,-nekhono
competent,-fanele
competent,-nesandla
worthy,-fanele
worthy,-nokusiza
determined,-qondile
determined,-phikelele
true,-qondile
true,-thembekile
true,-qobo
true,-liqiniso
true,-qotho
true,-qinisile
handy,-nekhono
handy,-sizayo
handy,-wusizo
handy,-eduze
relevant,-fanele
relevant,-qondene
skilful,-nekhono
skilful,-nesandla
straight,-qondile
straight,qotho
straight,ngokuqondile
straight,qonda ngqo
qualified,-lingene
qualified,-nokwazi
qualified,-fundele umsebenzi othile
qualified,-nemfundo
literal,-qondile
medium,-lingene
