Other,English
од,of
од,with
од,from
од,out of
од,off
од,than
од,since
на,of
на,to
на,for
на,at
на,in
на,on
на,upon
на,unto
из,of
из,for
из,from
из,out of
из,on
у,of
у,to
у,at
у,into
у,in
у,within
у,unto
у,inside
у,up in
у,inside of
у,on board
код,of
код,with
код,at
код,in care of
код,code
за означавање другог падежа,to highlight another of cases
отада,since
отада,thence
отада,thenceforth
отада,syne
изван,out of
изван,besides
изван,outside of
изван,without
изван,beyond
без,out of
без,with no
без,without
без,sans
уз,with
уз,up
уз,along
уз,upwards
уз,hereby
с,with
с,from
с,off
с,cum
за,to
за,with
за,for
за,into
за,in
за,unto
за,by
за,towards
за,per
за,after
за,during
за,in favor of
за,around
за,con
после,since
после,after
после,beyond
после,post
после,afterwards
после,later on
после,behind
него,than
него,but
него,nor
са,with
са,from
са,cum
са,after
ван,out of
ван,off
ван,outside of
ван,without
ван,beyond
ван,out
ван,outside
ван,outward
ван,outwards
кроз,out of
кроз,in
кроз,throughout
кроз,through
кроз,out
кроз,thro
кроз,trans-
но,than
према,to
према,in
према,on
према,unto
према,according to
према,toward
према,per
према,opposite
према,vis-a-vis
ка,to
ка,unto
ка,onto
ка,toward
по,for
по,in
по,on
по,according to
по,by
по,per
по,after
по,over
по,through
по,during
по,around
до,to
до,unto
до,by
до,till
до,beside
до,until
до,as far as
до,do
до,c
до,next to
под,on
под,under
под,below
под,beneath
под,floor
под,ground
под,underneath
преко,out of
преко,on
преко,over
преко,through
преко,beyond
преко,trans-
преко,via
преко,across
преко,upward of
при,at
при,in
при,on
при,towards
при,over
при,near
о,on
о,concerning
због,for
због,because of
због,about
због,for the sake of
због,owing to
за мање од,inside
за мање од,inside of
на возу,on board
на броду,on board
на броду,aboard
прописи,code
прописи,regulations
законик,code
законик,pandect
законик,law book
законик,statute book
законик,legal code
зборник,code
зборник,collection
зборник,anthology
зборник,corpus
шифра,code
шифра,password
шифра,cipher
пред,to
пред,before
пред,in view of
пред,to the front of
пред,towards
пред,in front of
пред,prior to
пут,to
пут,onto
пут,towards
пут,time
пут,way
пут,path
пут,road
пут,route
пут,trip
пут,passage
пут,tour
пут,drive
пут,flesh
против,with
против,versus
против,against
против,con
против,counter
против,contra
пошто,for
пошто,since
пошто,after
пошто,whereas
пошто,inasmuch as
пошто,inasmuch
пошто,how much
јер,for
јер,because of
јер,because
лудо а,at
